"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,0
8,"CumDeath",0,0,0,0,0,0,0,0,0
9,"CumDeath",0,0,0,0,0,0,0,0,2.57741675e-09
10,"CumDeath",0,0,0,0,0,0,0,2.257398e-08,8.06605599999997e-08
11,"CumDeath",0,0,0,0,0,0,7.06695e-08,1.5195225e-07,2.81480549999999e-07
12,"CumDeath",0,0,0,0,0,6.7732775e-08,2.895107e-07,4.6082595e-07,6.02683175e-07
13,"CumDeath",0,0,0,0,8.2158e-08,3.28677e-07,6.755877e-07,9.27696849999999e-07,1.12309275e-06
14,"CumDeath",0,0,0,8.7388e-08,3.554e-07,7.3071125e-07,1.210162e-06,1.476539e-06,1.803951e-06
15,"CumDeath",2.54734325e-08,5.6254845e-08,1.419897e-07,4.0756025e-07,8.023805e-07,1.3398875e-06,1.917056e-06,2.336399e-06,2.67177025e-06
16,"CumDeath",3.21923075e-07,3.841448e-07,5.250953e-07,8.5650025e-07,1.366425e-06,2.0699525e-06,2.805439e-06,3.317388e-06,3.86202999999999e-06
17,"CumDeath",7.24405225e-07,8.8061265e-07,1.046012e-06,1.465375e-06,2.09418e-06,3.0083875e-06,3.871729e-06,4.5314e-06,5.32342675e-06
18,"CumDeath",1.280686e-06,1.3869915e-06,1.700902e-06,2.229385e-06,2.941125e-06,4.0820525e-06,5.253869e-06,5.8540135e-06,6.93082225e-06
19,"CumDeath",1.886617e-06,2.1067855e-06,2.435548e-06,3.134005e-06,4.040395e-06,5.4809575e-06,6.824426e-06,7.4940535e-06,8.8122515e-06
20,"CumDeath",2.6732375e-06,2.993714e-06,3.334836e-06,4.25018e-06,5.33581e-06,7.0448175e-06,8.664112e-06,9.47816e-06,1.10400725e-05
21,"CumDeath",3.57839875e-06,4.0253055e-06,4.488845e-06,5.5691975e-06,6.94526e-06,8.893195e-06,1.065327e-05,1.186885e-05,1.3312635e-05
22,"CumDeath",4.789186e-06,5.3325025e-06,5.888682e-06,7.09693e-06,8.8198e-06,1.1059025e-05,1.31827e-05,1.477019e-05,1.59470575e-05
23,"CumDeath",6.2676525e-06,6.9118545e-06,7.61833e-06,9.0536975e-06,1.102375e-05,1.3708425e-05,1.626146e-05,1.818739e-05,1.901416e-05
24,"CumDeath",8.16016375e-06,8.838037e-06,9.746865e-06,1.1311925e-05,1.370675e-05,1.6818825e-05,1.964644e-05,2.2026055e-05,2.32663575e-05
25,"CumDeath",1.051415e-05,1.116142e-05,1.239218e-05,1.42098e-05,1.69942e-05,2.0442625e-05,2.39547e-05,2.653274e-05,2.87009e-05
26,"CumDeath",1.32598575e-05,1.40064e-05,1.543677e-05,1.7663675e-05,2.09816e-05,2.475355e-05,2.902101e-05,3.1988745e-05,3.388144e-05
27,"CumDeath",1.641302e-05,1.7750475e-05,1.916171e-05,2.16619e-05,2.576595e-05,2.9949325e-05,3.544923e-05,3.863087e-05,4.01925875e-05
28,"CumDeath",2.023242e-05,2.193343e-05,2.368045e-05,2.652135e-05,3.124345e-05,3.612045e-05,4.212735e-05,4.6102905e-05,4.77354475e-05
29,"CumDeath",2.49703925e-05,2.692386e-05,2.883141e-05,3.2666175e-05,3.781125e-05,4.36348e-05,5.038368e-05,5.5520535e-05,5.68405975e-05
30,"CumDeath",3.0461355e-05,3.3302565e-05,3.527696e-05,3.96956e-05,4.53824e-05,5.25219e-05,5.997213e-05,6.593428e-05,6.86438725e-05
31,"CumDeath",3.756601e-05,4.00023e-05,4.243026e-05,4.79352e-05,5.441985e-05,6.2641025e-05,7.138307e-05,7.774676e-05,8.14042475e-05
32,"CumDeath",4.571777e-05,4.7636185e-05,5.071532e-05,5.70703e-05,6.474015e-05,7.46568e-05,8.442524e-05,9.178803e-05,9.5883165e-05
33,"CumDeath",5.419744e-05,5.675483e-05,6.058673e-05,6.78258e-05,7.618265e-05,8.756405e-05,9.943463e-05,0.0001080549,0.000113038175
34,"CumDeath",6.4290225e-05,6.700586e-05,7.124492e-05,7.9753575e-05,8.913895e-05,0.00010298125,0.0001174303,0.00012624455,0.000132503825
35,"CumDeath",7.51473875e-05,7.8503205e-05,8.320457e-05,9.2847225e-05,0.0001037765,0.000119558,0.0001366478,0.0001462381,0.000154600225
36,"CumDeath",8.65660025e-05,9.1122335e-05,9.607052e-05,0.00010666625,0.000119498,0.00013715625,0.0001568599,0.00016777215,0.000176857825
37,"CumDeath",9.99587775e-05,0.0001046434,0.0001099176,0.000121356,0.000136278,0.00015594625,0.0001788151,0.00019037355,0.000200782075
38,"CumDeath",0.000114359525,0.00011883295,0.0001247962,0.00013677525,0.0001539855,0.00017596525,0.0002030566,0.00021620255,0.0002279551
39,"CumDeath",0.000128944025,0.00013276205,0.0001406403,0.00015346775,0.0001729275,0.000196614,0.0002264388,0.00024043345,0.00025483735
40,"CumDeath",0.000143480125,0.000148455,0.000156835,0.00016986425,0.000190642,0.00021802475,0.0002524407,0.0002655377,0.00028283355
41,"CumDeath",0.0001587406,0.00016370265,0.0001719924,0.00018701525,0.0002095135,0.0002406735,0.0002785784,0.0002927638,0.000310000225
42,"CumDeath",0.00017547335,0.00017914525,0.0001884614,0.00020477425,0.000228317,0.00026311575,0.0003046399,0.0003214184,0.0003364497
43,"CumDeath",0.000190588625,0.0001954026,0.0002049913,0.00022258,0.0002477875,0.00028637475,0.000326784,0.00034991215,0.000365459175
44,"CumDeath",0.00020631165,0.0002114598,0.0002219464,0.00024122575,0.000267574,0.00030946,0.0003535448,0.00037720585,0.000394599825
45,"CumDeath",0.000221707775,0.000226938,0.0002389031,0.0002599315,0.000287076,0.00033256925,0.0003781216,0.00040441995,0.000423029125
46,"CumDeath",0.00023646675,0.00024213645,0.000256438,0.0002778335,0.000305875,0.0003550115,0.0004014556,0.00043165405,0.000450707025
47,"CumDeath",0.00025113085,0.0002574892,0.0002728812,0.000295797,0.000324967,0.00037628325,0.0004255602,0.00045761015,0.00047752525
48,"CumDeath",0.00026537845,0.000272344,0.0002889728,0.00031313075,0.0003446045,0.00039745625,0.0004499687,0.00048359465,0.000501549375
49,"CumDeath",0.000279854675,0.00028773575,0.0003040333,0.000330571,0.0003640945,0.00041866775,0.0004730181,0.000508925,0.000527749975
50,"CumDeath",0.00029342385,0.00030170025,0.000318875,0.00034762525,0.000383148,0.0004396145,0.0004963279,0.0005336237,0.000555801275
51,"CumDeath",0.00030688315,0.00031630665,0.0003331504,0.00036432475,0.0004014415,0.00046042175,0.0005199982,0.00055790945,0.0005820141
52,"CumDeath",0.00032041295,0.000330712,0.0003479746,0.00038082775,0.000418798,0.00048049425,0.0005432288,0.0005809864,0.0006047959
53,"CumDeath",0.000333696725,0.0003448834,0.0003624819,0.00039663575,0.0004360645,0.000498945,0.0005645095,0.0006027808,0.000627697575
54,"CumDeath",0.000346732325,0.00035879375,0.0003756883,0.0004120795,0.0004523285,0.000516748,0.0005848719,0.00062276535,0.000651380225
55,"CumDeath",0.000359523175,0.00037243565,0.0003889088,0.00042756,0.0004675735,0.00053571975,0.0006045865,0.0006420332,0.000675214475
56,"CumDeath",0.000372451625,0.00038522,0.0004023108,0.000443319,0.0004835215,0.00055403275,0.0006234241,0.00066164075,0.00069587915
57,"CumDeath",0.000384945225,0.0003981154,0.0004158693,0.0004578215,0.0004992385,0.00056984225,0.0006423997,0.0006820363,0.000715737
58,"CumDeath",0.000396825,0.00041110705,0.0004285663,0.000472432,0.000514135,0.00058474375,0.0006606749,0.00070167745,0.000734855675
59,"CumDeath",0.0004085386,0.00042369645,0.0004405517,0.00048615025,0.0005288725,0.000598726,0.00067809,0.00072062825,0.000753731375
60,"CumDeath",0.000419633825,0.00043578125,0.0004517824,0.0004989745,0.0005434475,0.00061289075,0.0006940605,0.00073784985,0.00077288125
61,"CumDeath",0.000430460725,0.0004462762,0.0004636756,0.00051201675,0.0005568585,0.00062794675,0.0007081201,0.00075337905,0.000791365575
62,"CumDeath",0.0004410041,0.00045745485,0.0004759969,0.00052465175,0.00056933,0.00064254875,0.0007248119,0.00076816905,0.0008091795
63,"CumDeath",0.000451265125,0.0004682894,0.0004879659,0.00053620725,0.000581844,0.00065705125,0.000738606,0.0007830787,0.000826336475
64,"CumDeath",0.0004612416,0.00047873585,0.0004994574,0.00054798125,0.000594339,0.00067108775,0.0007514698,0.00079864955,0.00084245075
65,"CumDeath",0.000470855775,0.00048880385,0.0005098343,0.000558511,0.0006067825,0.0006839035,0.0007643465,0.0008121009,0.00085717425
