"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 3982.92 13.7355 4.42615 8.37587 3.49614 7.73305 0.0329385 115.901 15.8362 9.06712 1.01684 0.375111 0.988819 0.738083 0.265288 20.4135 4.47064 0.228723 0.150837 10.2669 13.081 63.1665 0.73841 76.0436 7.71448 6.18182 -60.40625 -1420.249 -1480.655
66300 2022.94 19.0985 4.21383 16.0615 2.11143 7.01315 0.0239041 105.331 14.8066 6.86843 2.5479 0.410217 0.491074 0.699972 0.313479 19.6391 3.77442 0.211376 0.108478 9.46599 11.3345 75.6736 0.588844 64.8988 8.05861 5.43796 -54.70614 -1419.596 -1474.302
200000 5304.84 10.8652 4.3094 14.9167 2.49581 8.15111 0.034502 121.685 17.2832 8.04348 2.09859 0.459824 0.851818 0.748396 0.313677 19.0798 4.46086 0.361894 0.151322 10.5554 13.9429 68.9855 0.589609 48.8771 6.8841 4.60319 -55.95436 -1420.863 -1476.817
161800 6056.82 16.2838 4.25619 9.02449 2.95314 7.48749 0.0223495 121.234 16.9347 10.7963 1.58432 0.185933 0.895726 0.631306 0.232801 18.9257 3.74172 0.100289 0.139453 9.79522 13.7835 64.8952 0.606885 77.7459 8.035 5.99818 -56.04208 -1422.041 -1478.083
170600 6743.41 18.8573 3.88073 13.1 3.78538 5.31306 0.0167567 103.575 12.184 6.72126 2.62157 0.382964 0.208059 0.908697 0.39023 18.6715 3.86182 0.421614 0.0975323 8.43633 11.2493 74.6725 0.673277 53.9143 8.38019 4.90842 -55.43349 -1424.84 -1480.274
168200 3000.48 9.85441 3.73224 14.9942 3.1432 6.02307 0.0157532 102.7 10.976 5.79816 2.02651 0.339221 0.392313 0.631694 0.362009 21.6314 3.54677 0.26454 0.0805384 5.61089 8.7859 82.0986 0.781458 63.152 7.34324 4.2924 -56.03021 -1424.131 -1480.161
67100 1639.2 7.95244 4.11139 15.5595 3.90934 5.33129 0.026875 106.175 14.9957 7.86083 1.94533 0.102792 0.745781 0.763221 0.313099 18.1733 3.74733 0.156379 0.137721 9.42394 11.3904 79.099 0.603 47.9101 6.06775 4.99694 -52.38274 -1424.351 -1476.734
106100 543.828 8.42917 4.41503 15.3339 2.48931 5.21217 0.0235495 113.945 21.321 4.44402 2.28652 0.518417 0.216903 0.718532 0.317676 21.0039 3.88297 0.10106 0.419091 6.65715 9.93003 55.2336 0.26936 52.9532 5.63243 4.87311 -54.21865 -1430.017 -1484.236
168900 1159.57 20.1927 4.49864 10.1312 3.53058 5.79229 0.0218972 109.928 15.636 11.3728 2.05287 0.0425466 0.929766 0.789794 0.259571 19.407 3.95469 0.112997 0.0847522 7.78727 11.1278 76.1493 0.502747 51.6004 6.74255 6.87439 -56.25078 -1421.17 -1477.421
47000 4099.7 17.3577 3.52381 12.5758 2.69905 5.83635 0.0220887 108.241 14.7859 9.39102 2.35122 0.266412 0.861792 0.636796 0.474046 18.564 4.65711 0.656192 0.133791 11.3932 13.3019 64.0272 0.679619 47.868 7.49025 5.55514 -55.38158 -1421.807 -1477.188
