Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	730.561	9.08204	3.85181	8.92978	2.49013	5.35036	0.0228209	94.5504	7.50636	9.03103	2.37622	0.47807	0.838898	0.448629	18.0009	4.69069	0.457149	0.160379	5.10296	7.57716	72.0753	0.377301	59.2808	0.110107	0.401585	0.186903	0.0444082	0.353039	0.0677976	0.0806197	18.0009	72.0753	0.377301	59.2808	0.918265	0.00290618	0.000252082	4.8151e-05	0.000423772	4.49729e-05	0.000167833	0.0626216	0.0139199	0.00145592	0.448629	0.693203	0.160379	0.0444082	0.353039	0.0677976	0.0156287	5.69597	0.0558858	1.15546	1.06102	109.433	1e-15	0.00611736	0
1	1682.79	19.9253	3.56818	16.1602	2.37905	5.57832	0.0195506	92.6939	8.93637	5.34529	2.57422	0.295844	0.756066	0.433106	17.5144	3.97877	0.355103	0.0922601	11.0279	10.1733	75.7411	0.488654	67.6003	0.0501875	0.420336	0.179265	0.0418457	0.293707	0.0947604	0.0395819	17.5144	75.7411	0.488654	67.6003	0.898258	0.0101683	0.000352699	3.58471e-05	0.000625309	3.70951e-05	0.000179364	0.0757837	0.0132909	0.00151279	0.433106	0.74294	0.0922597	0.0418456	0.293706	0.09476	0.0157875	10.3595	0.029407	1.25066	1.12342	235.736	18.3103	0.0147134	0.00148513
2	908.956	7.00759	3.69982	14.4956	3.49341	6.71188	0.0353274	91.4776	8.26232	5.67557	2.22581	0.549414	0.676281	0.536056	17.7833	4.277	0.222443	0.377373	8.52649	6.1416	77.5821	0.53837	41.2197	0.142702	0.286253	0.14899	0.0654662	0.303836	0.145439	0.0380277	17.7833	77.5821	0.53837	41.2197	0.951775	0.00574615	0.000164009	9.94055e-05	0.000213855	6.2591e-05	0.000200024	0.0273216	0.0132625	0.00128644	0.536056	0.870492	0.377373	0.0654662	0.303836	0.145439	0.0128392	11.3911	0.0331028	1.09476	1.04197	223.998	17.517	0.014632	0.00127078
3	2400.63	7.92	4.26336	15.981	4.53871	5.35138	0.0221356	97.9559	10.9536	4.23373	1.70453	0.31284	0.629356	0.356668	18.2832	4.19891	0.389682	0.113367	10.9002	10.7358	74.1948	0.597481	67.4721	0.126263	0.220327	0.186868	0.0465046	0.369226	0.217446	0.049852	18.2832	74.1948	0.597481	67.4721	0.906533	0.00351322	0.000569144	7.27637e-05	0.000497255	2.63679e-05	0.000149614	0.0759919	0.0113359	0.00165865	0.356668	0.669153	0.11336	0.0465017	0.369202	0.217433	0.0183124	10.3905	0.0333586	1.31689	1.19381	205.751	17.2894	0.0129116	0.00163081
4	1375	11.6552	3.84618	10.9901	2.56483	5.07724	0.0182689	98.9429	12.8803	7.47794	2.81403	0.557048	0.623283	0.401862	17.8079	4.06846	0.408919	0.094337	10.9603	12.2336	64.9125	0.391496	51.4479	0.0857986	0.389889	0.196957	0.0464297	0.221491	0.133871	0.0689287	17.8079	64.9125	0.391496	51.4479	0.890969	0.00392871	0.000453225	4.7191e-05	0.000684548	4.97184e-05	0.00018759	0.0898654	0.0123818	0.00163178	0.401862	0.68881	0.0943099	0.0464164	0.221428	0.133833	0.0168734	6.99004	0.0474788	1.23505	1.10039	262.666	18.98	0.0138798	0.00159594
5	3034.69	12.2543	4.02001	9.50198	5.06947	6.97841	0.0339944	89.4361	7.23484	6.6187	1.54147	0.531315	0.745888	0.372482	17.8697	4.13163	0.169066	0.220837	13.6151	9.54121	70.2711	0.486645	64.248	0.081604	0.197259	0.143299	0.059876	0.483881	0.16485	0.0606257	17.8697	70.2711	0.486645	64.248	0.943917	0.00434248	0.000351068	9.95026e-05	0.000324333	2.96659e-05	0.000207071	0.0365797	0.0131352	0.00145379	0.372482	0.84623	0.220837	0.059876	0.483881	0.16485	0.0135186	6.06214	0.0513033	1.19269	1.1258	224.307	18.8952	0.0145433	0.00142753
6	4644.93	16.7346	3.72211	11.0137	3.78026	5.58077	0.0199103	99.9138	10.5248	11.3427	2.69747	0.543002	0.779682	0.414434	18.0451	3.8822	0.486713	0.106182	10.2887	11.2955	69.2592	0.504316	52.8846	0.0597564	0.264532	0.179187	0.0373252	0.289042	0.0816758	0.0605566	18.0451	69.2592	0.504316	52.8846	0.877242	0.00664082	0.000523312	6.21621e-05	0.000602448	4.27287e-05	0.000168983	0.101048	0.0125264	0.00181776	0.414434	0.651344	0.106177	0.0373233	0.289027	0.0816717	0.0164441	7.81691	0.0394432	1.27286	1.11661	224.932	18.0646	0.014295	0.0017876
7	828.396	12.9822	4.20292	13.4437	2.62138	5.20381	0.0227342	97.4901	12.3723	10.6839	2.46384	0.755528	0.831295	0.43721	17.3753	4.57057	0.612513	0.0846932	11.9242	12.3017	73.2214	0.551911	52.501	0.0770285	0.381478	0.192167	0.0587863	0.337398	0.0684724	0.0600774	17.3753	73.2214	0.551911	52.501	0.913782	0.00401814	0.00038827	3.59177e-05	0.0005276	3.13426e-05	0.000178053	0.0670193	0.012541	0.00159882	0.43721	0.602446	0.0846777	0.0587755	0.337337	0.0684599	0.0166719	10.0554	0.0361934	1.32748	1.21302	237.001	16.767	0.0139982	0.00156629
8	3504.85	11.1224	4.06121	7.09513	3.82555	6.56251	0.0279061	101.407	13.1271	5.12438	1.79971	0.49372	0.662095	0.286572	17.1422	3.85507	0.11178	0.107005	12.4815	13.8388	57.8993	0.373927	65.4817	0.0899087	0.2614	0.152381	0.063791	0.36789	0.187755	0.0872218	17.1422	57.8993	0.373927	65.4817	0.927467	0.00156839	0.000397791	4.76364e-05	0.000448155	2.17562e-05	0.000204737	0.0572617	0.0114297	0.00166209	0.286572	0.86962	0.106962	0.0637653	0.367741	0.18768	0.0138799	3.92603	0.0758498	1.23036	1.14112	225.569	18.0314	0.0129683	0.00162493
9	2481.97	20.1781	3.94008	11.8337	4.08404	5.0132	0.0213753	105.088	11.2685	4.53555	2.52586	0.463939	0.660248	0.438046	18.0495	3.82428	0.584944	0.101258	6.66878	10.5561	69.0066	0.511845	45.5312	0.0495587	0.244856	0.199473	0.0675364	0.261395	0.134509	0.0664155	18.0495	69.0066	0.511845	45.5312	0.893101	0.0064402	0.000450898	5.07876e-05	0.000402465	3.08411e-05	0.000158846	0.0845169	0.0134315	0.00177637	0.438046	0.617034	0.101242	0.067526	0.261355	0.134489	0.0156314	8.58747	0.0409806	1.18461	1.05798	233.943	16.2671	0.0151898	0.00175093
10	1477.2	20.7169	3.96057	10.8606	3.17865	5.18023	0.0191853	95.6099	8.93198	9.16334	1.71341	0.204713	0.870784	0.470259	18.2546	4.04707	0.648991	0.199431	6.32706	7.6671	75.0999	0.463677	58.06	0.0482698	0.314599	0.193042	0.0194537	0.508217	0.0754145	0.0703971	18.2546	75.0999	0.463677	58.06	0.878134	0.015576	0.000358546	8.9317e-05	0.000515945	4.74519e-05	0.000160191	0.0900667	0.0137333	0.00153264	0.470259	0.612844	0.19943	0.0194536	0.508214	0.0754141	0.0162604	7.4343	0.0431424	1.20836	1.0611	233.892	17.8673	0.0153635	0.0015128
11	1105.2	12.0288	4.03807	10.7314	3.70428	5.55286	0.0254889	97.4315	9.14121	5.60067	1.27083	0.668793	0.653443	0.456385	17.7133	4.577	0.497544	0.115011	5.29083	8.71412	75.1613	0.514961	54.2494	0.0831338	0.269958	0.180087	0.0780296	0.514186	0.272701	0.0677643	17.7133	75.1613	0.514961	54.2494	0.931712	0.00334303	0.000399106	5.1866e-05	0.000394266	1.74047e-05	0.000193564	0.0490508	0.0135732	0.00142467	0.456385	0.676865	0.11501	0.0780289	0.514182	0.272699	0.0144712	7.72881	0.0458673	1.21545	1.13245	260.234	18.3273	0.0150344	0.00140105
12	2724.22	20.9377	3.35407	10.1408	5.27548	5.83363	0.0343731	91.8477	6.38174	9.56956	1.43642	0.653815	0.735494	0.464047	17.4673	4.69419	0.102866	0.338106	8.74886	6.50184	78.8775	0.707503	58.5003	0.0477607	0.189556	0.17142	0.0502507	0.512033	0.184143	0.0566971	17.4673	78.8775	0.707503	58.5003	0.933984	0.0137936	0.000344448	0.00017595	0.000279156	4.69021e-05	0.000193504	0.0371047	0.013054	0.00141914	0.464047	0.924061	0.338106	0.0502507	0.512033	0.184143	0.016172	7.83822	0.0523916	1.2262	1.14525	255.612	20.7743	0.0145488	0.00139924
13	223.959	14.8747	3.79402	13.6981	2.11769	5.7904	0.0395442	85.4405	7.95772	7.09968	2.65404	0.570401	0.852111	0.685671	16.6494	4.28909	0.714637	0.403807	12.5571	7.17828	73.3312	0.516869	50.0853	0.0672282	0.472213	0.1727	0.0684601	0.321062	0.0557222	0.0478333	16.6494	73.3312	0.516869	50.0853	0.952789	0.01101	7.89219e-05	5.34545e-05	0.000154613	6.69447e-05	0.000173086	0.020251	0.0141771	0.00127812	0.685671	0.763629	0.403807	0.0684601	0.321062	0.0557222	0.0144141	11.6179	0.0365269	1.04911	0.999583	223.553	17.6568	0.0154941	0.00126002
