"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 2225.81 11.1842 4.41135 8.86048 3.98885 5.70811 0.00810993 123.481 13.4622 8.74865 1.28478 0.479932 0.714819 0.264641 19.348 3.94965 0.183481 0.104981 8.01817 11.2754 68.9876 0.598241 52.5923 13.2089 10.3719 -52.71763 -1243.873 -1296.59
66300 1720.72 9.67914 3.98525 9.84793 2.8032 5.21464 0.00545493 122.076 13.8411 11.9458 1.03413 0.271819 0.681142 0.293627 19.2332 3.49968 0.100105 0.137354 8.529 10.203 71.7556 0.441452 46.2829 11.5821 11.9741 -55.31291 -1235.384 -1290.697
200000 643.631 8.36143 4.26938 13.6256 2.58366 5.07695 0.00709159 122.094 13.9672 5.22623 1.197 0.268628 0.640593 0.328029 19.3812 3.13803 0.28757 0.137263 5.97249 10.604 69.4524 0.569395 52.372 12.8531 25.2203 -53.69027 -1239.123 -1292.813
161800 1651.46 12.2552 4.36423 7.26989 2.84458 5.75422 0.0061295 124.128 13.88 10.5713 1.00007 0.203914 0.781548 0.280184 19.2508 4.34383 0.158555 0.180858 9.62939 9.53519 70.727 0.410663 45.1274 10.9559 18.6632 -56.442 -1232.944 -1289.386
170600 1230.85 12.1838 4.42867 19.9609 3.51076 5.19329 0.00806183 126.171 13.8832 8.08236 1.05425 0.33859 0.756322 0.308411 19.3002 4.42997 0.268369 0.19478 6.48173 10.1372 71.3379 0.678828 52.9397 10.7181 19.6702 -54.5733 -1232.342 -1286.916
168200 2648.92 19.5322 4.26817 15.9417 3.9364 5.24974 0.0061724 125.94 13.981 10.5519 1.00483 0.307168 0.696203 0.289774 19.3992 3.66596 0.176735 0.177111 8.59539 9.54549 70.7006 0.563496 45.1716 17.5312 19.969 -56.08119 -1236.297 -1292.378
67100 3293.3 11.1733 3.79715 7.39409 3.07547 5.09992 0.00475348 124.643 13.7619 9.20466 1.32942 0.214085 0.757906 0.311683 19.3233 3.47515 0.124904 0.0979504 7.56007 9.89254 71.5002 0.642689 56.032 12.7035 16.7463 -55.67753 -1233.484 -1289.162
106100 1677.96 17.3203 4.23269 13.652 3.36855 5.28202 0.0059368 120.53 13.318 8.19689 1.25474 0.266007 0.699716 0.31764 19.2239 4.15793 0.239008 0.142436 7.65394 9.73269 70.5625 0.514238 47.7732 11.1351 20.1174 -52.6557 -1241.553 -1294.209
168900 1229.31 7.02394 4.02588 16.5686 3.4147 5.2188 0.0115044 124.196 13.953 9.64637 1.02248 0.451461 0.867798 0.27781 18.6287 3.37914 0.078543 0.231748 6.36268 9.49433 71.7873 0.591851 52.2922 13.6191 10.7121 -54.8353 -1238.056 -1292.892
47000 2257.95 8.94891 3.51733 18.2348 2.94813 5.08574 0.00899265 122.324 13.5661 11.1984 1.13661 0.317771 0.831912 0.35093 19.3465 4.84228 0.222169 0.215229 13.5654 10.5844 60.9169 0.667396 58.2275 12.4499 10.7253 -54.64743 -1246.913 -1301.56
64700 1309.83 17.0392 4.07552 8.89299 2.25045 5.50943 0.00502129 121.499 13.9433 8.14049 1.09546 0.202561 0.605818 0.320365 19.0903 3.79359 0.188769 0.129578 7.53925 9.93475 71.679 0.461564 44.6629 11.2544 16.9994 -55.47388 -1234.62 -1290.094
108800 1760.28 15.8695 4.3029 8.84171 3.68584 5.10539 0.00763259 125.385 13.8859 9.63316 1.14121 0.45189 0.669909 0.308818 18.8956 3.42213 0.259941 0.192203 7.44937 9.72856 66.4915 0.580231 55.3974 11.0584 14.8081 -52.57043 -1237.342 -1289.912
85300 553.565 16.4642 4.26521 11.4705 2.22579 5.03622 0.00509216 126.081 13.9722 9.69653 1.03178 0.227559 0.7132 0.31114 19.3183 4.41026 0.162875 0.172049 1.52065 8.26251 69.3675 0.413025 53.4529 13.6753 17.3889 -55.22339 -1238.173 -1293.397
78100 1155.08 8.99377 3.9593 14.6167 2.54607 5.23537 0.00620402 124.604 13.7861 10.9947 1.00409 0.479502 0.649006 0.330459 19.1701 5.1294 0.206412 0.130846 6.3287 9.17909 71.5318 0.51697 47.4751 13.1248 27.857 -54.51639 -1240.251 -1294.767
177000 1514.98 15.5168 4.03134 12.7613 2.71054 5.22269 0.0056412 125.138 13.9645 10.1557 1.20505 0.491221 0.640081 0.317789 19.0623 3.3502 0.20445 0.0663853 6.62942 10.2408 71.4985 0.64752 66.2037 11.2322 15.8975 -54.68278 -1236.495 -1291.178
50600 1056.87 9.26456 4.07457 17.2482 2.57147 5.49316 0.00716717 125.111 13.8855 8.70772 1.48814 0.421634 0.747629 0.305703 19.373 3.55751 0.17827 0.130163 4.85788 9.01316 71.2201 0.535631 51.2491 10.9411 18.1977 -52.39278 -1240.596 -1292.989
121500 1613.95 12.6784 4.37841 8.41967 3.34461 5.14605 0.00691278 121.4 13.9442 10.2349 1.26608 0.209819 0.813296 0.381403 18.9666 3.54333 0.542054 0.159135 8.32607 9.89956 71.8049 0.613886 40.6162 11.4103 11.9654 -55.49781 -1236.31 -1291.808
122100 2099.39 7.52533 4.23349 16.7296 4.14457 5.00774 0.00861164 123.873 13.8056 9.36662 1.1349 0.251469 0.796384 0.297108 19.2049 3.30686 0.203778 0.268842 7.0521 9.45631 68.5091 0.525153 48.8142 8.13401 23.2825 -54.34789 -1238.698 -1293.046
