"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1417.54 13.1267 2.80869 7.54982 4.03272 6.12714 0.0174726 102.097 8.9331 8.18075 2.38962 0.471724 0.308483 0.849618 0.203565 19.3064 5.72536 0.407353 0.53085 2.08105 10.5197 25.6188 1.59976 15.793 4.4779 18.863 -54.12801 -657.6983 -711.8263
66300 333.709 11.9071 3.70431 13.3978 2.80983 10.7797 0.0153158 97.5632 11.795 9.35554 1.88997 0.224909 0.15034 0.785229 0.326474 18.3787 3.57079 0.47443 0.569319 5.16725 4.06979 31.8017 1.08692 16.1727 6.19362 2.09947 -48.19259 -656.3522 -704.5447
200000 266.005 13.3827 3.13952 8.79518 3.70002 5.89358 0.013725 104.547 12.8245 11.8104 1.01829 0.135702 0.219475 0.713275 0.268607 18.7993 4.9095 0.195101 0.568816 8.179 7.28702 28.0077 0.807701 18.7702 8.03227 1.77107 -49.17787 -657.0213 -706.1991
161800 469.469 16.9411 3.45299 18.1706 5.6366 7.56219 0.0104519 100.219 11.427 5.49892 2.51806 0.386227 0.453512 0.612474 0.296541 18.1533 6.10728 0.339593 0.484632 4.75296 3.91202 25.8338 0.868519 14.9345 7.19042 1.75285 -48.49254 -662.5566 -711.0491
170600 383.766 19.2175 3.39979 12.9095 2.22094 6.31577 0.0129065 102.742 9.69601 7.32026 2.30233 0.263721 0.0600677 0.653229 0.219821 17.6341 5.62735 0.24867 0.661389 4.51169 7.75479 32.2261 1.28687 17.3844 5.71966 20.0836 -52.27117 -651.9206 -704.1918
168200 2005.95 17.8592 2.50528 13.5114 4.68325 7.0244 0.0113964 103.53 12.6612 11.8464 2.25438 0.157784 0.0586955 0.714809 0.245466 17.2969 4.40354 0.181012 0.523942 2.11907 10.2223 25.3572 0.948655 26.7436 6.85551 3.00785 -51.72889 -653.4319 -705.1608
67100 388.246 11.2212 3.4532 8.45216 4.43937 7.87194 0.0125461 99.2228 13.7572 9.11935 1.82543 0.381032 0.132739 0.623307 0.396001 16.9746 1.78561 0.339246 0.733167 2.72529 4.03531 32.8976 1.35279 27.6752 6.60183 2.63068 -50.97393 -658.3488 -709.3227
106100 1106.47 17.7764 2.89259 10.6481 4.37852 9.72143 0.019755 103.229 9.18728 9.93817 1.06709 0.414179 0.413699 0.782451 0.195068 20.0919 4.34733 0.215291 0.724492 3.03926 8.71488 28.5479 1.94453 25.7119 5.2661 1.31537 -51.6679 -657.6129 -709.2808
168900 467.864 17.0045 3.19643 19.0837 3.44572 7.97489 0.0139943 99.3865 13.2514 5.65084 2.54325 0.471888 0.350603 0.691883 0.349738 18.2784 3.64548 0.416552 0.545438 9.64224 11.3656 24.8713 1.22189 23.2003 5.91729 3.08293 -49.78114 -661.7323 -711.5134
47000 3349.04 8.19873 2.69881 16.3954 4.34702 7.87907 0.0109921 105.884 11.1604 4.91122 1.33257 0.433379 0.0164587 0.661705 0.27882 18.823 5.59017 0.299623 0.510525 4.37602 8.58737 36.0194 1.01924 15.6227 5.70459 7.06686 -52.16635 -653.0358 -705.2021
64700 1744.94 18.3737 2.40927 12.7895 4.15009 7.00296 0.0122261 101.159 12.7114 8.24506 1.46016 0.449272 0.190003 0.611734 0.382534 16.8257 3.6513 0.372053 0.540523 4.75848 10.4739 29.5703 1.44855 17.0628 5.63387 1.30793 -50.05885 -657.758 -707.8168
