"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"alpha",0.0494385175,0.051575215,0.05407418,0.06292625,0.0807309,0.099981825,0.12008,0.12898485,0.136134425
1,"beta",0.00597109975,0.0066064785,0.007862657,0.0107918,0.0144649,0.020453275,0.026027,0.030088795,0.034829645
1,"beta0",0.0093447875,0.01069837,0.01252319,0.01636055,0.02132975,0.02999805,0.03879328,0.0451712199999999,0.0536836499999999
1,"c",4.03011825,4.3354785,5.10893,6.5167975,8.414705,11.039075,13.43033,16.26249,18.8597575
1,"CumDeath",8.33047225e-05,8.6385635e-05,9.083225e-05,0.00010072125,0.0001115615,0.0001280665,0.0001557976,0.00017739955,0.00019259335
1,"CumPosTest",0.00224461475,0.0023643055,0.002400394,0.0025014425,0.002608395,0.0027061525,0.002791333,0.002843991,0.00286588525
1,"D_pos",0.30664095,0.32611715,0.3497609,0.39608525,0.454364,0.5187755,0.5860388,0.6323534,0.66451455
1,"delta",0.0009721423,0.001075618,0.00117536,0.001427865,0.00180828,0.002336335,0.002950102,0.00333538,0.00374331875
1,"E",1.9228035e-05,2.3649645e-05,2.83858e-05,4.17421e-05,6.265065e-05,9.552075e-05,0.0001260552,0.0001565853,0.000187016175
1,"E_C",4.796989e-06,6.3305445e-06,9.005112e-06,1.4046525e-05,2.581705e-05,4.1575675e-05,5.71621e-05,6.6809565e-05,7.5144775e-05
1,"F_T",8.5288635e-05,8.812695e-05,9.302072e-05,0.000103956,0.0001147265,0.0001321965,0.000160552,0.00018068125,0.00019598135
1,"FTraced",0.0668371575,0.085124875,0.1070469,0.17400925,0.2856185,0.41800925,0.5708214,0.6419638,0.711777575
1,"HygieneFit",0.427131625,0.46115245,0.5271823,0.59136475,0.6731655,0.75597325,0.8283347,0.87230495,0.89986935
1,"I_C",3.9316825e-06,5.172628e-06,7.010603e-06,1.1896925e-05,2.01087e-05,3.180865e-05,4.322668e-05,5.28174649999999e-05,5.950126e-05
1,"I_T",8.06640825e-05,8.5388745e-05,9.647254e-05,0.00011832575,0.000150783,0.00019290975,0.0002486415,0.00027743355,0.00031439975
1,"I_U",5.62545e-05,7.3303155e-05,8.953163e-05,0.0001211865,0.0001840285,0.00026947725,0.0003823145,0.00044975495,0.000525840875
1,"kappa",0.17286195,0.181874,0.1964082,0.22031475,0.257733,0.30752275,0.366473,0.4106339,0.447472625
1,"lambda",0.006566708,0.008773345,0.01205904,0.020384075,0.03099295,0.044773675,0.0596425,0.0712227699999999,0.0888788475
1,"lambda_C",0.114915675,0.12360525,0.1380063,0.17558675,0.233221,0.31205925,0.4023022,0.4463669,0.52079265
1,"lambda0",0.00751651,0.010340265,0.01411195,0.02331375,0.0367483,0.053341925,0.07381917,0.08774412,0.1053996
1,"lambda0_C",0.1394028,0.1473874,0.165763,0.21011325,0.2763855,0.36628075,0.4481754,0.51862245,0.59222805
1,"N_pos",12.4143325,12.85755,13.64653,14.9877,16.4673,18.14045,19.93239,21.423765,22.699805
1,"R_T",0.001957639,0.00205757,0.002149201,0.002245835,0.002364645,0.00246966,0.002541422,0.002584958,0.00264937225
1,"R_U",0.008945687,0.010249185,0.01129934,0.014882375,0.02055305,0.030933625,0.04155031,0.05402457,0.06755741
1,"Refft",0.373785175,0.411811,0.4629849,0.551616,0.6290905,0.713665,0.7762018,0.81146965,0.8415088
1,"rho",0.05081219,0.055613285,0.06183163,0.0784461,0.09582735,0.11415625,0.1360854,0.15430185,0.161837075
1,"rho_C",0.04904598,0.054127755,0.06705948,0.090089075,0.1254515,0.177703,0.228654,0.24804345,0.272248225
1,"rho0_C",0.0547867575,0.063539205,0.08168947,0.10793325,0.15001,0.20257975,0.2586498,0.27902145,0.305195275
1,"rMax",0.077816045,0.11430855,0.1848129,0.28261225,0.442448,0.66249525,0.8748309,1.091625,1.272291
1,"Rt",0.39043735,0.41986475,0.4855067,0.57426425,0.6555035,0.73445475,0.8025941,0.8452842,0.870164225
1,"S",0.9241501,0.933857,0.9439703,0.95771975,0.9681845,0.976321,0.9812183,0.98339835,0.98549435
1,"S_C",0.00117555525,0.0016827245,0.002356402,0.00367689,0.00672842,0.011075675,0.0177273,0.02325857,0.0294765825
1,"TauR",15.9117925,19.474115,25.1255,44.5242,64.73075,80.02505,92.25049,96.481845,99.516105
1,"TauS",21.49017,21.89332,22.78952,24.58875,28.50425,33.996325,40.33828,44.088125,49.7841575
1,"TauTheta",16.0653975,16.345785,16.77238,17.557275,18.4263,19.334025,20.2997,20.93344,21.21838
1,"ThetaFit",0.129187175,0.1714046,0.2187051,0.296934,0.36787,0.4341505,0.4996303,0.5403591,0.580811625
