Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	7211.61	10.4742	4.32683	16.351	2.33888	6.58655	0.00842726	169.27	33.0286	8.86731	2.5859	0.0972996	0.607288	0.867126	0.319913	17.2405	5.38997	0.533055	0.116	3.7423	11.2622	67.585	0.734958	36.138	0.0954727	0.427555	0.151825	0.0593861	0.335329	0.051384	0.0401761	17.2405	67.585	0.734958	36.138	0.839696	0.0109779	0.000755507	6.96655e-05	0.00133279	8.60269e-05	0.00041803	0.139939	0.00635191	0.000901461	0.319913	0.544697	0.0859636	0.044009	0.2485	0.0380789	0.00471219	13.4037	0.0218838	1.40768	1.18202	213.496	1e-15	0.00149265	0
1	7779.03	16.021	3.66703	16.637	2.9209	5.12943	0.00898499	165.992	35.3407	6.33951	2.03216	0.127244	0.478342	0.862374	0.331335	17.6789	3.85241	0.365569	0.18686	2.27074	12.2223	62.5037	0.642485	40.9468	0.0624181	0.34236	0.194953	0.0650697	0.424363	0.067724	0.0429705	17.6789	62.5037	0.642485	40.9468	0.847478	0.0178285	0.000824982	0.000130355	0.000947702	0.0001008	0.000339765	0.125122	0.00696194	0.000850394	0.331335	0.667766	0.13933	0.0485183	0.316421	0.0504975	0.00619658	12.6598	0.0286943	1.3248	1.12274	760.15	14.2144	0.00805067	0.000828127
2	7696.52	17.9955	4.09256	12.0821	2.45698	5.26226	0.00627033	172.281	33.1715	11.046	2.01558	0.532069	0.623351	0.84456	0.389416	18.6418	7.74945	0.507933	0.133786	2.52078	10.7913	59.2935	0.75414	36.404	0.0555694	0.407004	0.190032	0.0476604	0.419016	0.0771192	0.0643695	18.6418	59.2935	0.75414	36.404	0.58951	0.0230328	0.00168014	0.000175631	0.00137454	9.06705e-05	0.000345242	0.375326	0.00633966	0.000895719	0.389416	0.619381	0.096642	0.0344281	0.302681	0.0557081	0.00557045	10.2684	0.0398692	1.80645	1.06492	736.129	14.6969	0.00746388	0.000876627
3	6393.65	9.11877	3.69951	16.022	2.37163	5.15113	0.00902471	175.169	38.6886	10.1529	2.8507	0.157756	0.559155	0.659278	0.321182	18.7352	4.34263	0.393378	0.482571	2.14202	9.89782	49.2027	0.77102	52.2893	0.109664	0.421651	0.194132	0.0363087	0.231269	0.119522	0.0448255	18.7352	49.2027	0.77102	52.2893	0.825672	0.0248183	0.000452126	0.000213482	0.00072911	0.00030962	0.000303745	0.140592	0.00653306	0.000796169	0.321182	0.639686	0.327247	0.0246221	0.156831	0.081052	0.00620293	13.5316	0.0286742	1.21715	1.00497	663.338	14.897	0.00759494	0.000778775
4	5223.38	9.69634	4.23301	11.2192	2.16763	6.01578	0.00577418	177.23	41.2646	8.19001	2.78437	0.3605	0.307918	0.801746	0.258983	20.7094	4.52541	0.259017	0.244284	1.64174	8.33653	49.0888	0.729641	69.0209	0.103132	0.461333	0.166229	0.0301431	0.287945	0.0712025	0.0627185	20.7094	49.0888	0.729641	69.0209	0.708681	0.0215668	0.00160163	0.000299939	0.00209439	0.000316757	0.00045668	0.255743	0.00750977	0.000733415	0.258983	0.704737	0.160428	0.0197958	0.189101	0.0467605	0.00452347	8.97154	0.0442	1.86651	1.32276	985.85	13.6512	0.00863444	0.000718934
5	7397.42	12.5818	4.27121	12.9165	2.57463	6.02463	0.00890999	155.724	30.5071	4.68149	2.4123	0.500458	0.451222	0.607306	0.277555	19.2435	4.0815	0.315301	0.124692	3.69042	10.1472	61.6762	0.656458	38.8632	0.0794799	0.388405	0.165985	0.0585347	0.251754	0.162788	0.0548878	19.2435	61.6762	0.656458	38.8632	0.734182	0.0220105	0.00205877	0.000233815	0.00163649	0.000120794	0.000497227	0.230313	0.00655927	0.000876997	0.277555	0.667556	0.103438	0.0485576	0.208843	0.135041	0.00575844	9.71075	0.0366406	1.70459	1.25148	961.216	18.6845	0.00765902	0.000852681
6	9241.94	8.30752	3.89695	8.26547	2.15616	6.13845	0.0085485	159.905	31.4965	8.77999	2.28175	0.230026	0.5829	0.794891	0.313267	17.3985	5.94965	0.396788	0.204073	3.00362	12.3707	56.9674	0.731749	53.2164	0.120373	0.463787	0.162908	0.0527725	0.348369	0.0898911	0.0768066	17.3985	56.9674	0.731749	53.2164	0.816774	0.00788167	0.000637689	0.000122824	0.0010113	0.000117238	0.000381644	0.165537	0.00713987	0.000885256	0.313267	0.630936	0.163704	0.0423332	0.279456	0.0721091	0.0047356	6.74283	0.04846	1.41103	1.15249	729.137	11.9514	0.00828326	0.000866239
7	8064.36	7.46245	4.01151	18.1304	2.89311	5.91029	0.0101974	177.21	33.877	4.80684	2.46135	0.267101	0.633145	0.750221	0.268215	17.6522	4.98373	0.253623	0.261806	2.63696	11.3303	68.7337	0.61505	30.9246	0.134004	0.345649	0.169196	0.0988172	0.304801	0.10148	0.0374362	17.6522	68.7337	0.61505	30.9246	0.844084	0.0145237	0.000827184	0.00017601	0.000829577	0.000148376	0.000427075	0.131757	0.0067184	0.000828648	0.268215	0.716226	0.180123	0.0679866	0.209704	0.0698189	0.0047934	13.0231	0.0268128	1.33658	1.12819	850.316	13.639	0.00783055	0.000808675
8	7196.43	15.2709	3.8885	15.0405	2.38045	5.6436	0.0108703	155.086	28.2535	7.18328	2.58126	0.0359588	0.568393	0.80683	0.327786	16.6605	4.45433	0.455031	0.235871	4.51732	11.5948	60.9182	0.826301	41.1945	0.065484	0.420089	0.177192	0.0638422	0.312572	0.0748355	0.0458103	16.6605	60.9182	0.826301	41.1945	0.858424	0.0198068	0.000472811	0.000116584	0.000778519	0.00013626	0.000377291	0.112986	0.00662382	0.000953304	0.327786	0.601975	0.20039	0.0542386	0.265553	0.0635782	0.00569509	13.2843	0.0275767	1.27966	1.09849	754.124	15.243	0.00777247	0.000931477
9	6216.01	10.1088	3.69619	17.1547	2.69246	5.52892	0.00945457	148.004	23.9916	4.94683	2.2407	0.119403	0.566389	0.696162	0.307366	19.3558	5.44854	0.351286	0.169016	1.6059	11.1769	60.1278	0.699592	31.1488	0.0989237	0.371408	0.180867	0.0797073	0.31069	0.1356	0.03897	19.3558	60.1278	0.699592	31.1488	0.852496	0.00980338	0.000425683	7.65634e-05	0.000536562	6.03684e-05	0.000282227	0.128901	0.00702485	0.000897799	0.307366	0.660725	0.154084	0.0726654	0.283241	0.12362	0.0050256	13.5853	0.0257485	1.2231	1.04269	556.541	11.8499	0.00814177	0.000882958
