"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 133.978 12.5051 4.17408 14.8551 2.06304 6.86235 0.012366 105.687 13.0695 7.82673 2.0683 0.318179 0.271155 0.677259 0.473053 15.9342 4.81988 0.247042 0.480169 5.67998 6.86494 89.9358 0.593763 16.1659 2.62442 7.20479 -54.90609 -1199.646 -1254.552
66300 320.925 10.716 3.67718 10.1852 3.65708 6.44751 0.0118954 104.05 11.97 7.91583 1.71317 0.286805 0.29018 0.687233 0.495935 17.621 4.32936 0.138681 0.504057 6.681 6.02778 87.397 0.920018 31.7531 2.63598 7.45248 -51.67058 -1202.128 -1253.798
200000 166.202 14.5319 4.25692 16.0858 3.96963 5.01584 0.0113077 105.363 12.8068 8.71683 2.37676 0.10385 0.226233 0.706844 0.407014 17.7582 8.03161 0.226531 0.412752 1.24312 8.72256 85.5232 0.675919 25.6954 2.36144 8.58251 -55.06767 -1199.676 -1254.744
161800 197.379 18.0256 4.22852 14.5872 5.53849 5.66326 0.0145315 104.489 13.7309 4.4129 1.59871 0.265441 0.381725 0.661353 0.513962 20.7136 3.96469 0.439277 0.479684 12.134 5.95842 70.0972 0.867929 33.1968 2.15009 3.94957 -54.36658 -1212.218 -1266.584
170600 184.95 9.86669 3.71511 10.9255 4.34018 5.44432 0.0119408 105.896 12.1432 10.9012 1.12822 0.0475812 0.0202446 0.77892 0.56807 16.9946 7.78454 0.461341 0.549486 2.41208 3.66186 72.3793 0.707221 47.7186 2.60823 5.27343 -52.72369 -1204.519 -1257.242
168200 177.447 13.711 3.94326 15.3258 3.60865 5.42061 0.00970544 103.254 11.4149 7.35887 1.83099 0.204173 0.283171 0.702069 0.508587 17.5956 6.10217 0.405366 0.394268 4.70359 6.0729 83.4386 1.08413 48.7128 2.27186 7.52537 -50.99174 -1204.215 -1255.207
67100 84.1742 17.0491 4.16492 13.8796 2.56546 5.4728 0.0131137 105.506 13.7236 9.84157 1.38595 0.464765 0.278444 0.733231 0.458968 16.4658 3.80652 0.187532 0.505644 1.48534 5.83465 83.3419 0.816504 35.8538 2.25874 7.4164 -54.62834 -1195.968 -1250.596
106100 1493.42 19.8328 2.80543 17.3464 4.45469 5.11415 0.00894788 105.341 11.6044 10.7825 1.74228 0.505891 0.226615 0.723531 0.586505 17.4744 7.35499 0.102074 0.378384 3.48193 7.19985 67.518 0.518097 73.379 1.73864 6.3558 -49.69569 -1211.444 -1261.139
168900 1097.98 8.5813 3.1292 9.68184 2.66237 8.16923 0.011404 105.113 11.5724 8.05437 2.90384 0.227946 0.249035 0.671602 0.546639 19.0577 2.45724 0.352714 0.35094 5.91271 7.31746 76.4084 1.13584 59.0892 2.29315 5.18111 -52.38132 -1209.856 -1262.238
47000 1213.64 11.7976 2.46196 16.7471 3.85023 5.27282 0.0117335 105.194 10.3424 10.0642 2.23691 0.309714 0.380238 0.797308 0.605965 17.7984 5.82222 0.115086 0.355429 3.23202 5.65214 71.2916 0.962049 44.9903 2.48397 7.33107 -49.59635 -1208.959 -1258.555
64700 1897.35 15.8037 4.04666 16.5645 4.31873 6.39521 0.00806797 105.733 8.66286 9.89018 1.50337 0.315852 0.106732 0.834628 0.377122 17.643 6.21449 0.296053 0.265827 3.87054 7.01869 79.9613 0.611792 50.4297 1.69687 6.4276 -49.7409 -1207.027 -1256.768
108800 266.944 13.1263 3.53997 15.8802 3.59002 6.06293 0.0118409 105.853 13.7052 8.06038 2.20355 0.2142 0.284778 0.733848 0.483526 16.688 7.1169 0.0561562 0.488232 3.71452 4.66763 85.4626 0.731637 28.4369 2.71625 6.41425 -52.45962 -1197.378 -1249.837
85300 233.881 15.6279 3.8919 13.5799 3.64684 5.32723 0.0124478 104.582 12.8002 8.964 2.50754 0.231905 0.334832 0.654037 0.445676 17.5026 8.73747 0.220997 0.43788 9.185 8.69994 74.4314 0.729114 46.284 2.18144 8.18395 -50.96744 -1201.612 -1252.579
78100 1115.33 19.3046 3.0676 11.679 4.25923 6.21752 0.0107543 105.031 10.3748 10.8783 2.47704 0.15291 0.516144 0.712897 0.490316 18.6807 8.14336 0.195394 0.287994 5.08043 7.57951 79.2068 0.636187 25.2384 2.45905 3.81248 -49.85133 -1206.761 -1256.613
177000 438.367 17.0735 3.1732 15.2081 3.84231 5.79456 0.00979538 104.971 11.6181 10.0818 1.96608 0.341733 0.395566 0.622337 0.606949 19.8356 4.45829 0.293926 0.460785 4.48963 4.5988 77.0186 0.694871 24.5476 2.29188 6.94486 -49.91946 -1204.945 -1254.865
50600 171.683 17.0507 3.43763 13.0215 3.7612 5.97165 0.0144158 103.302 13.395 6.43038 1.65831 0.0266118 0.410775 0.699889 0.61926 15.6629 5.16416 0.346155 0.450247 2.3524 3.99052 82.122 1.2992 56.1403 2.1652 7.2742 -55.75114 -1202.314 -1258.065
121500 92.2128 15.3316 2.92401 19.7298 2.52237 5.13481 0.0143672 102.839 13.0482 3.08671 2.02987 0.074815 0.227586 0.815126 0.670388 17.3469 6.72406 0.27442 0.403448 1.21903 5.4815 78.4988 0.949722 32.3231 1.80505 9.33496 -55.75978 -1202.7 -1258.46
