Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.56971	19.9456	3.76007	0.50281	0.231006	9.06954	8.8852	27.5756	0.688545	40.1947	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.531593	21.3962	2.20029	0.93024	0.0686265	9.67913	7.15465	25.4219	0.40498	24.8561	16.6249	16.7727	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.31041	18.4962	3.75739	0.524034	0.277744	6.85205	8.12573	32.9921	0.85105	20.9018	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.462076	20.7207	5.74993	0.198644	0.13848	10.2742	9.96297	32.8628	0.36614	36.1634	12.6164	20.4447	10.7521
4	383.748	20.0509	2.73766	10.3021	4.27417	7.12948	0.00442567	82.9477	8.5235	7.83194	1.43674	0.45609	0.604228	0.107339	15.9033	3.40661	0.441853	0.170077	3.66117	2.28453	19.3525	0.591516	48.454	8.57277	10.0969	383.748
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.182716	19.0328	3.52303	0.599002	0.3503	13.033	10.3079	41.7041	0.713084	9.11921	19.1056	23.0427	5105.93
6	17.6369	11.9345	2.01041	14.7635	3.32069	8.42992	0.00614356	84.4278	5.48268	4.0284	1.98755	0.441663	0.602922	0.214783	16.6597	6.24231	0.422443	0.460089	6.33437	1.76629	21.449	0.592065	20.5604	4.24766	17.4799	17.6369
7	3717.8	8.67197	2.07638	10.4605	5.15814	19.8234	0.0231346	87.159	5.00471	5.56267	2.64386	0.516371	0.727415	0.508423	19.5135	5.71591	0.696876	0.565742	2.91334	7.47599	33.3488	0.43428	37.6532	5.28072	17.2144	3717.8
8	111.803	10.3947	2.98953	12.4561	3.98602	15.2742	0.0160791	77.4644	6.87515	8.56281	1.93967	0.554502	0.789281	0.208182	21.8013	2.93292	0.409986	0.167274	4.15634	5.56897	32.7537	0.44335	41.2043	16.8014	20.24	111.803
9	723.177	11.0231	2.88749	19.1446	3.1814	17.0161	0.011506	77.5234	13.6059	7.37764	1.05942	0.621516	0.712324	0.583135	17.2534	6.06387	0.809036	0.376036	12.9485	5.72393	52.2307	0.835936	45.7419	8.99581	25.9377	723.177
10	33.9519	19.1193	2.27481	18.2925	3.30761	13.6404	0.0133256	101.392	4.6771	7.2529	1.20149	0.671186	0.81622	0.789422	17.5346	3.91843	0.789229	0.724029	7.76293	9.69301	51.8386	0.611125	9.13753	16.4337	8.58843	33.9519
11	6987.65	7.35828	1.77797	14.6146	4.65076	17.3857	0.0197249	105.959	10.7714	5.99317	2.56586	0.545488	0.650689	0.461707	21.0362	3.26308	0.453184	0.116351	9.16549	10.3684	32.9212	0.935095	16.83	9.97724	19.1811	6987.65
12	20.3091	18.1395	3.43735	18.1402	5.15297	12.7569	0.00923542	98.0119	1.71692	10.2931	1.8959	0.343538	0.751277	0.600144	18.0074	3.14564	0.767869	0.209594	8.38679	5.10953	36.861	0.620046	44.8084	25.4736	13.6565	20.3091
13	19.364	8.25153	3.13661	18.6171	2.79746	7.56466	0.0156537	89.3525	6.30244	9.86959	2.14612	0.297898	0.739219	0.359508	18.2183	4.3743	0.15724	0.187154	2.93193	3.26001	23.3646	0.455724	24.929	16.4082	24.9764	19.364
14	1016.83	11.9543	3.01291	18.0289	3.51915	11.4972	0.00281951	88.7168	5.97545	2.8537	2.9846	0.548217	0.649596	0.663837	14.1584	3.77678	0.640847	0.224131	6.68802	5.02519	31.1346	0.360791	40.5135	4.68829	35.1385	1016.83
15	4549.74	7.27295	3.59571	15.3793	4.48987	5.97329	0.00799324	101.3	8.60684	7.68183	2.86868	0.2628	0.604451	0.330216	15.8542	2.13628	0.510818	0.452919	5.1029	1.89723	33.2818	0.562249	9.96228	10.3591	23.5399	4549.74
16	15.9831	9.92443	4.10583	16.6258	3.06988	8.55792	0.0247761	135.017	6.13705	3.74086	2.85298	0.378711	0.61465	0.210271	17.7624	4.82421	0.809783	0.338012	8.04318	4.63559	29.3617	0.713863	36.9808	36.3698	19.3871	15.9831
17	3.43494	13.3991	2.41716	11.0655	2.79537	15.4759	0.00400353	80.8667	4.43481	2.08818	2.19734	0.416963	0.730946	0.019172	16.2237	3.57051	0.175193	0.336387	12.1473	2.78893	24.0301	0.737832	5.52502	5.99024	24.0924	3.43494
18	845.125	14.7311	2.26439	10.3943	6.37961	14.6828	0.00946485	130.684	10.0515	6.37377	2.52788	0.545932	0.858768	0.734829	18.9512	4.81874	0.411009	0.364958	5.89644	13.8463	34.9159	0.408145	49.1095	7.0537	18.5971	845.125
19	2202.53	7.67397	2.12811	16.1253	3.69153	11.0573	0.00197204	137.186	5.88205	5.74258	1.18566	0.587306	0.664494	0.688682	15.6919	3.78608	0.427594	0.407132	5.73017	9.73244	23.91	0.733221	55.7856	25.8299	26.1901	2202.53
20	579.447	12.3591	2.87151	14.9271	2.89958	7.27852	0.0166068	71.1982	8.75608	9.90076	2.76622	0.516791	0.822658	0.466341	22.2679	5.25284	0.391508	0.906284	6.96502	8.7862	46.563	0.479304	28.2245	28.712	31.546	579.447
21	52.7613	9.89034	3.08092	9.64475	4.56873	7.806	0.00770792	77.9092	6.82955	6.50408	2.01836	0.534855	0.655108	0.509012	15.951	2.18768	0.416141	0.26975	2.89444	1.43584	39.3292	0.856854	54.2041	33.5089	19.4965	52.7613
