Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	2674.82	9.40544	3.3128	12.95	5.1967	11.4731	0.0115936	85.8728	8.63046	9.03057	1.37509	0.437242	0.308662	0.646498	0.580919	20.5353	3.89063	0.503543	0.138601	4.12403	6.79634	63.2256	0.778702	33.3132	0.106321	0.19243	0.0871604	0.0220971	0.47015	0.257076	0.0222969	20.5353	63.2256	0.778702	33.3132	0.706406	0.155803	0.00978874	0.00157503	0.00850152	0.000230606	0.00271515	0.0934412	0.0125736	0.000597881	0.580919	0.760715	0.138601	0.0220971	0.470149	0.257075	0.00400631	11.749	0.0169616	1.74532	1.23291	322.672	1e-15	0.00558179	0
1	645.82	13.596	4.25279	16.3874	5.2236	8.44731	0.0139555	84.8907	11.6056	8.7611	1.26866	0.277309	0.0837975	0.729528	0.408417	21.063	4.40945	0.199019	0.395935	5.95456	5.68352	44.2612	0.854906	68.0238	0.073551	0.191439	0.118381	0.00697773	0.575038	0.213195	0.0307217	21.063	44.2612	0.854906	68.0238	0.688786	0.232043	0.00423414	0.002775	0.00394499	0.000475631	0.00203325	0.0510615	0.0116765	0.000560697	0.408417	0.836763	0.395921	0.00697749	0.575018	0.213188	0.00535509	14.9808	0.0257068	1.8861	1.29912	884.402	27.912	0.014118	0.00050311
2	478.414	15.8732	3.39603	12.9537	4.7955	5.10275	0.0114529	93.5728	9.78636	8.80288	2.71706	0.360746	0.689633	0.690291	0.462276	19.6655	5.37806	0.242957	0.260354	3.86143	6.07566	29.9519	0.530104	52.0799	0.0629993	0.208529	0.195973	0.0540786	0.254058	0.113987	0.0513776	19.6655	29.9519	0.530104	52.0799	0.794781	0.105026	0.0044432	0.00156395	0.00229909	0.000555605	0.00125421	0.0721502	0.0152964	0.000574155	0.462276	0.829059	0.260351	0.0540779	0.254055	0.113985	0.00683812	9.68063	0.042595	1.34114	1.06591	778.583	24.0427	0.0166523	0.000523563
3	760.052	7.58345	2.55641	10.2981	2.62172	5.63997	0.00917792	91.8725	11.0472	9.50483	2.21722	0.459297	0.536336	0.68629	0.58109	20.9486	6.64648	0.315357	0.112615	2.28284	8.60475	57.2112	0.916008	54.4953	0.131866	0.381429	0.177306	0.0387258	0.309527	0.141488	0.0440146	20.9486	57.2112	0.916008	54.4953	0.737279	0.0833383	0.0100118	0.00127049	0.00840306	0.000547969	0.00226527	0.132024	0.0149572	0.000645871	0.58109	0.84266	0.112611	0.0387243	0.309515	0.141482	0.00716324	9.93576	0.0370893	1.66558	1.228	1406.6	34.7926	0.0171512	0.000526223
4	699.925	16.9273	3.38146	15.578	3.41329	6.36865	0.0153388	100.262	11.7899	4.75817	1.84079	0.368997	0.462476	0.637633	0.50386	15.2988	3.1468	0.343653	0.181903	1.94733	9.83663	73.6582	0.924039	26.6374	0.0590762	0.292972	0.157019	0.0619755	0.346391	0.196854	0.0340836	15.2988	73.6582	0.924039	26.6374	0.70483	0.188552	0.0065599	0.00145822	0.00496072	0.000476715	0.00241959	0.0715673	0.0139808	0.000722794	0.50386	0.790129	0.181876	0.0619661	0.346339	0.196824	0.00725152	14.9909	0.0269304	1.72789	1.21787	1359.64	36.2869	0.0165398	0.000576762
5	3938.33	14.0556	3.12644	13.4245	3.91257	10.5446	0.0109722	93.7443	10.1319	7.1597	2.60603	0.359908	0.200863	0.625339	0.429914	21.4416	1.349	0.216916	0.140584	1.77032	5.98005	51.3305	0.72663	37.9806	0.071146	0.255586	0.0948353	0.0175437	0.239958	0.143767	0.0220862	21.4416	51.3305	0.72663	37.9806	0.684526	0.178632	0.00648155	0.00106022	0.00846727	0.000440452	0.00219847	0.100836	0.0116156	0.000656982	0.429915	0.832674	0.140581	0.0175433	0.239954	0.143764	0.00492914	11.3324	0.0183906	1.69993	1.16365	746.506	29.0806	0.0142086	0.000595333
6	325.021	9.01331	4.28801	9.90906	4.23539	6.67633	0.012161	99.243	12.0222	6.90703	1.92978	0.109391	0.461722	0.623317	0.464566	19.3855	2.91969	0.533264	0.339491	2.43511	9.49284	47.8419	0.947785	47.0307	0.110947	0.236106	0.149783	0.0416676	0.322999	0.195195	0.0648165	19.3855	47.8419	0.947785	47.0307	0.844616	0.0795923	0.00364257	0.00187154	0.00353939	0.000726237	0.00210294	0.0480097	0.0146139	0.000582066	0.464566	0.664429	0.339435	0.0416607	0.322946	0.195163	0.00530801	9.63203	0.0430659	1.47483	1.24567	1110.44	25.3687	0.0169509	0.00048894
7	735.29	11.791	3.85355	13.6282	5.73705	8.66576	0.0175234	101.71	9.35487	4.3949	2.81866	0.233632	0.519055	0.788815	0.418171	19.8412	4.47379	0.167735	0.239191	2.11367	6.47571	55.6018	0.688374	14.9012	0.0848104	0.174306	0.115397	0.0931622	0.279855	0.0749239	0.0326299	19.8412	55.6018	0.688374	14.9012	0.877007	0.0675242	0.00331669	0.00104268	0.00197219	0.000375902	0.00211389	0.0312703	0.0137589	0.000521045	0.418171	0.863948	0.239187	0.0931605	0.27985	0.0749226	0.00395724	11.1572	0.0281906	1.36381	1.19607	841.183	22.1707	0.016001	0.000469906
8	1621.14	11.2674	2.91832	16.5822	3.85503	9.89594	0.00840303	83.1963	5.8267	9.81426	1.93978	0.176502	0.136669	0.700806	0.545081	22.0743	5.60795	0.138523	0.169263	11.9447	4.91899	58.054	0.864081	59.348	0.0887516	0.259401	0.101052	0.00975911	0.361281	0.154241	0.0177842	22.0743	58.054	0.864081	59.348	0.653626	0.22136	0.00709661	0.00144594	0.0114676	0.000579205	0.002497	0.0858082	0.0128733	0.000600095	0.545081	0.919377	0.169263	0.00975911	0.361281	0.154241	0.00463047	15.5569	0.0163504	1.93942	1.26766	872.921	30.6076	0.0148047	0.000546395
9	910.92	10.5674	3.78987	10.7303	3.1645	8.59945	0.0100618	91.2998	10.0694	4.6613	2.25221	0.410735	0.198487	0.677747	0.346764	20.1156	5.27424	0.111395	0.0798272	4.53615	6.41286	63.4237	0.53884	40.2749	0.0946307	0.316006	0.116287	0.0288598	0.300925	0.143083	0.0410716	20.1156	63.4237	0.53884	40.2749	0.730896	0.0877593	0.0143404	0.00124404	0.0147408	0.000486639	0.00351628	0.1196	0.0138643	0.000656354	0.346764	0.888714	0.0798261	0.0288594	0.300921	0.143081	0.00515445	7.49784	0.0365009	1.91188	1.39739	1497.89	40.649	0.0162637	0.00055486
10	640.422	8.72251	3.1267	14.6006	3.17835	7.27553	0.0110881	96.1312	13.0074	8.48273	2.42197	0.335289	0.658849	0.764463	0.469894	21.097	4.29546	0.237742	0.0649774	5.53941	7.75567	49.2628	0.494608	42.5451	0.114646	0.314629	0.137447	0.0593754	0.315637	0.0972502	0.0294341	21.097	49.2628	0.494608	42.5451	0.851048	0.0422754	0.00628938	0.000436915	0.0059793	0.000210057	0.00251244	0.0716486	0.0148549	0.000560723	0.469894	0.835643	0.0649611	0.0593606	0.315558	0.0972258	0.00475373	10.6889	0.0245964	1.42996	1.21697	1120.11	28.8484	0.0160874	0.000477041
11	276.588	17.8402	3.19119	16.7755	3.73701	5.16148	0.0121214	87.5229	11.8388	6.57668	1.87489	0.503162	0.337463	0.773593	0.493594	21.5927	6.0011	0.0787768	0.223099	7.99784	6.38123	71.4033	1.0482	47.5231	0.0560532	0.267594	0.193743	0.0396947	0.412607	0.120757	0.0368556	21.5927	71.4033	1.0482	47.5231	0.582088	0.270023	0.0105667	0.00303411	0.00522437	0.000714773	0.0020691	0.102982	0.0147916	0.000643973	0.493594	0.945899	0.223087	0.0396925	0.412585	0.120751	0.00802717	17.185	0.0348616	2.19943	1.28026	1314.35	37.0737	0.0160922	0.000551582
12	455.432	16.1516	3.58848	10.5565	4.13972	9.15309	0.0240538	69.0368	9.8439	4.47594	2.96594	0.0724604	0.668632	0.909289	0.714542	20.9064	6.38055	0.165598	0.154332	13.2338	11.7321	43.0867	0.568498	36.3951	0.0619134	0.241562	0.109253	0.135833	0.306577	0.0305842	0.0371384	20.9064	43.0867	0.568498	36.3951	0.93791	0.0294728	0.00179233	0.000327094	0.00153769	0.000207549	0.00208526	0.0126121	0.0133592	0.000554542	0.714542	0.945861	0.154332	0.135833	0.306577	0.0305842	0.00449244	9.2562	0.0351277	1.223	1.14707	686.488	22.6909	0.013518	0.000455172
13	645.567	11.9692	2.54619	16.413	3.28257	5.14822	0.0145434	93.5602	10.4991	7.16914	1.35563	0.543056	0.545526	0.813131	0.540918	19.7707	5.9937	0.0823248	0.122749	4.63165	7.86597	68.3097	0.645533	39.4239	0.0835478	0.304639	0.194242	0.0618741	0.599818	0.137847	0.0301332	19.7707	68.3097	0.645533	39.4239	0.771439	0.103266	0.007413	0.00103722	0.0036372	0.000189221	0.00144339	0.0928554	0.0120242	0.000634553	0.540918	0.950671	0.122746	0.0618724	0.599802	0.137843	0.00950539	13.7421	0.0286468	1.58166	1.22015	920.912	31.2195	0.0131276	0.000539515
14	442.403	8.68237	4.39126	15.8597	3.95274	7.66593	0.0107771	81.4866	11.918	6.02933	2.47798	0.287844	0.115863	0.700462	0.447316	17.7847	3.66104	0.283749	0.29445	5.69643	5.40981	73.3011	0.410691	26.7199	0.115176	0.252989	0.130447	0.0134605	0.282675	0.12088	0.0361185	17.7847	73.3011	0.410691	26.7199	0.777457	0.123688	0.00433336	0.00180833	0.0047975	0.000774632	0.00181476	0.0687075	0.0132078	0.000567742	0.447316	0.795907	0.29444	0.01346	0.282665	0.120876	0.00537691	10.6942	0.0287469	1.55203	1.20664	822.958	25.8328	0.0152425	0.00051788
15	2046.24	12.0722	2.8649	17.3254	4.69432	7.22201	0.00989812	85.7687	8.3214	5.75796	2.78689	0.138936	0.202794	0.647126	0.540195	16.6033	3.54591	0.282739	0.155573	3.66893	8.76528	60.66	1.03337	56.555	0.0828349	0.213023	0.138466	0.0227916	0.232204	0.126619	0.0228964	16.6033	60.66	1.03337	56.555	0.743884	0.157181	0.00786017	0.00144812	0.00748779	0.000684635	0.00184114	0.0665711	0.0115373	0.000572978	0.540195	0.840198	0.155573	0.0227916	0.232203	0.126619	0.00652251	17.5912	0.0192375	1.81263	1.34839	923.206	26.0611	0.0133611	0.000482536
16	34.9241	8.00702	3.50378	12.2658	2.26984	6.43283	0.0213802	77.3266	7.09118	3.18755	1.03561	0.0209893	0.591539	0.664202	0.796599	23.5827	2.14178	0.25299	0.317248	7.29596	6.64834	46.4901	0.714678	62.7598	0.12489	0.44056	0.155453	0.123261	0.641363	0.324251	0.0444057	23.5827	46.4901	0.714678	62.7598	0.938926	0.0292879	0.000876761	0.000407396	0.00125797	0.000178032	0.0014575	0.0145556	0.0124524	0.000545648	0.796599	0.944093	0.317248	0.123261	0.641363	0.324251	0.00676515	11.554	0.0419231	1.20631	1.13263	730.862	25.2043	0.0134121	0.000484819
17	1215.62	16.8847	2.69429	11.6378	3.64574	6.04496	0.0108996	95.0744	11.1834	3.64037	1.35811	0.076652	0.168064	0.670349	0.451137	19.3905	1.5472	0.0604905	0.137756	6.924	11.4071	47.1488	0.695716	64.5826	0.0592252	0.274293	0.165427	0.0309478	0.49359	0.242728	0.0382983	19.3905	47.1488	0.695716	64.5826	0.825068	0.0825489	0.00592008	0.000945728	0.00653205	0.000312144	0.00170608	0.0640022	0.0119775	0.000670415	0.451137	0.952991	0.137748	0.030946	0.493561	0.242713	0.00829693	9.69417	0.036498	1.57585	1.30018	929.068	27.532	0.01311	0.000538504
18	579.362	17.04	2.7647	10.2708	4.08773	5.67903	0.0113392	83.7052	9.26377	7.50294	2.4287	0.416577	0.533971	0.692196	0.635172	21.0182	3.03338	0.215397	0.238513	4.41392	6.10504	54.5003	0.710798	60.4844	0.0586854	0.244635	0.176086	0.0492624	0.285007	0.126736	0.047399	21.0182	54.5003	0.710798	60.4844	0.787507	0.113677	0.00483635	0.00151483	0.00282223	0.00050269	0.00139004	0.070007	0.0141147	0.000515171	0.635172	0.906867	0.238512	0.0492623	0.285006	0.126736	0.00623528	9.18714	0.0429846	1.48997	1.17336	804.447	22.601	0.0154326	0.000465571
19	418.339	12.8598	3.43617	7.16972	3.70079	9.65716	0.017878	82.1664	10.3716	5.56258	2.3319	0.0617239	0.412273	0.693331	0.613294	19.7625	4.332	0.274448	0.230347	12.5783	6.92495	45.7801	0.578158	47.7452	0.0777617	0.270213	0.10355	0.0513865	0.297324	0.13151	0.0496276	19.7625	45.7801	0.578158	47.7452	0.903163	0.0477139	0.00243256	0.000728021	0.003543	0.000412685	0.00237272	0.0259664	0.0127895	0.000590093	0.613294	0.874432	0.230345	0.0513861	0.297322	0.131509	0.00466208	6.00013	0.0433959	1.33308	1.20399	784.568	28.506	0.0137275	0.000518754
