"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 68.69 12.4961 3.94697 19.2107 4.19247 8.02329 0.00746213 89.037 7.01228 5.93133 2.24243 0.321539 0.483411 0.608343 0.0463813 22.0438 5.48504 0.162908 0.203357 3.40845 2.41979 25.0163 1.28512 39.2656 4.72177 2.16554 -44.44544 -458.0795 -502.5249
66300 166.088 14.3092 3.69059 11.269 4.50809 5.40532 0.010375 93.218 7.00981 9.71218 2.42526 0.217288 0.445733 0.727679 0.0039816 19.9666 4.19037 0.192218 0.139533 4.88419 12.3146 22.8342 1.84148 32.4134 10.0668 0.687214 -46.94313 -462.8453 -509.7884
200000 242.672 17.6843 4.31407 15.5509 4.16494 5.59633 0.00398427 90.2958 6.55592 10.1035 2.24578 0.555593 0.0454189 0.908857 0.0604031 20.8336 3.41941 0.181341 0.163803 4.70577 8.23352 35.7111 0.89095 28.9395 6.72387 2.29054 -50.18626 -455.7503 -505.9366
161800 25.1576 19.3698 4.29423 9.05203 3.13887 12.8915 0.0195674 87.5176 4.58838 3.63755 2.77405 0.209384 0.675755 0.807158 0.147236 23.2159 4.05576 0.150509 0.127527 2.74615 3.43481 30.5634 1.47273 36.2424 7.14712 10.2334 -49.90834 -457.1947 -507.103
170600 291.605 11.8204 2.60955 10.2765 2.72795 6.09323 0.00724656 91.6053 6.93647 6.97242 2.53815 0.0907142 0.128896 0.758812 0.148223 18.7589 3.89745 0.0961186 0.333405 5.18075 6.78515 39.3525 1.3315 21.6653 7.28445 2.14499 -46.87764 -455.7093 -502.5869
168200 88.842 9.6208 3.53239 12.4598 4.91386 5.7915 0.0125304 85.6325 4.60373 3.88891 2.28721 0.364276 0.447576 0.682463 0.113096 17.2081 4.30725 0.0499994 0.334978 6.68232 8.80409 32.2077 1.07239 29.4329 7.25859 4.37554 -46.62225 -456.6749 -503.2972
67100 123.996 14.5206 4.04063 15.0033 4.01246 8.03124 0.0162872 94.278 8.65669 8.0901 1.86113 0.403789 0.620971 0.717659 0.0555419 18.8897 3.77162 0.162272 0.445709 4.61885 8.52572 33.1387 1.80918 38.3758 7.42119 4.71515 -48.47664 -457.3977 -505.8744
106100 202.423 15.4386 3.12062 11.2585 2.03731 7.0606 0.00983004 87.6298 3.08359 5.48134 1.81454 0.434902 0.554579 0.640046 0.176857 15.2272 3.49207 0.139508 0.330817 2.19697 5.01612 31.9288 1.24845 39.7914 5.45736 5.31049 -47.35815 -459.5663 -506.9244
168900 830.301 13.0401 2.74959 9.10488 3.65187 9.00202 0.00866752 89.7906 5.5726 5.7699 2.8481 0.471578 0.208688 0.604532 0.00859282 19.9442 3.50184 0.0191314 0.227616 3.87173 7.79668 33.2381 1.18607 31.5848 6.91662 1.25114 -46.93251 -454.3295 -501.262
47000 223.278 16.0671 2.79604 11.9512 3.42387 6.84726 0.0103832 94.418 6.91725 8.63515 1.79176 0.37788 0.536081 0.794183 0.0992323 21.9397 4.85974 0.174678 0.205745 3.0957 9.39403 33.4114 1.47492 22.1286 5.44458 2.78078 -46.19894 -454.0591 -500.258
64700 57.4046 8.8643 3.82005 11.1334 3.88604 6.56698 0.00642605 83.6078 5.24169 5.6807 2.58393 0.332062 0.185407 0.678985 0.115838 23.0859 4.29383 0.372857 0.242489 5.22455 7.04842 25.0019 1.61759 36.0441 10.3114 1.85932 -44.86751 -457.5407 -502.4082
108800 227.598 11.951 3.64218 18.755 3.33678 6.52793 0.0116881 91.2494 4.79451 7.71025 2.37844 0.51373 0.573851 0.762632 0.107763 16.9528 3.94042 0.141783 0.224578 2.09712 2.7073 37.8314 0.978376 24.7875 6.23521 11.6474 -47.78016 -460.3315 -508.1116
85300 52.3845 8.86531 4.25155 14.2397 3.44061 10.0817 0.0138262 88.2509 9.59006 7.69812 2.8177 0.334747 0.864836 0.742 0.0416405 21.8338 3.89057 0.0638715 0.235142 3.32433 7.80268 26.8205 1.00136 36.3998 8.27169 0.75648 -44.75112 -459.9417 -504.6928
78100 37.4994 20.7906 3.59883 12.8307 3.91525 7.10413 0.0180981 87.4252 8.81346 2.9645 1.70644 0.232201 0.717398 0.639866 0.118705 21.318 2.85599 0.0621506 0.14326 5.49481 8.44579 28.2981 1.05595 26.4001 3.37011 26.7418 -47.66655 -463.2335 -510.9001
177000 486.466 16.1965 2.31639 18.0929 2.83684 6.70489 0.00780709 94.467 7.74068 9.16899 2.97763 0.341642 0.563867 0.769995 0.0970743 21.5222 2.98632 0.168821 0.124674 3.78118 12.9874 27.3506 1.52353 30.087 4.89184 34.9413 -50.11868 -459.6313 -509.75
50600 111.102 9.81067 3.09347 8.16435 3.6133 5.79675 0.0077197 86.274 5.71204 5.96706 1.86326 0.452281 0.38286 0.605289 0.133676 24.1417 2.94118 0.34065 0.161463 3.60362 11.0477 26.7605 1.50816 23.589 8.95372 24.8747 -48.98684 -457.6838 -506.6706
121500 152.317 14.85 3.12964 7.96285 4.56173 7.13716 0.0126903 83.6459 6.76911 3.8764 1.94742 0.487623 0.545966 0.82246 0.153328 17.8971 3.14871 0.17905 0.108906 8.07896 12.5474 32.8164 1.27765 25.4163 6.46852 4.66773 -47.23469 -461.2405 -508.4752
122100 202.604 7.68378 2.61182 8.98041 2.94066 6.70532 0.00473959 90.6367 6.62139 6.90314 2.96271 0.0358894 0.463278 0.64741 0.0951985 21.728 2.31856 0.178705 0.126655 3.14263 4.55409 22.7342 1.4846 37.6027 11.5947 1.05221 -44.59385 -462.211 -506.8048
128700 121.938 11.6811 3.50696 18.5866 2.60644 5.21437 0.0071021 105.832 9.78051 9.57041 1.12461 0.252061 0.637479 0.61927 0.106245 19.6496 6.01413 0.289172 0.131533 5.09784 10.8287 27.3761 1.16898 33.0195 4.83631 0.963165 -46.51702 -458.4597 -504.9767
46800 143.422 13.8204 3.7139 18.4482 4.52626 7.51704 0.00925985 92.3516 6.87179 6.84857 1.96634 0.260323 0.735519 0.606483 0.0377657 19.0001 2.80593 0.0342905 0.141362 3.49235 4.95756 34.5009 0.8552 20.0814 7.47921 2.29936 -46.23493 -455.0818 -501.3167
196700 115.792 9.9493 3.01788 13.1863 3.67772 6.97816 0.00874633 86.3066 4.94705 5.38499 2.29298 0.427397 0.837998 0.675268 0.245795 18.0326 2.48705 0.454699 0.05538 6.86722 5.49458 27.9894 1.78031 34.8569 7.58246 1.64102 -45.68283 -463.1634 -508.8463
198800 376.031 13.1275 3.63106 16.5517 3.29146 7.04651 0.0134284 99.8891 6.20987 4.43887 1.297 0.550101 0.569452 0.651579 0.0116957 18.575 5.78711 0.0760069 0.216419 2.63094 10.1801 33.5671 1.0522 24.8162 8.59611 24.0385 -51.57801 -455.5727 -507.1507
133600 358.043 15.825 3.11747 9.34772 2.60835 7.37785 0.00871513 86.4945 6.39897 8.49335 2.99968 0.542059 0.147247 0.804874 0.0882467 18.9864 3.80339 0.224598 0.379668 11.3833 7.83815 36.0406 1.81173 27.5042 5.52454 2.59909 -50.80485 -458.2235 -509.0283
88200 759.277 16.6779 2.88583 12.5163 5.45463 5.41562 0.00787171 90.9987 5.09815 8.87661 2.28637 0.453219 0.24554 0.809634 0.0787297 20.5175 3.92744 0.278651 0.10652 3.10319 10.6393 30.5815 1.67479 29.8845 9.13009 2.34158 -49.25655 -458.4605 -507.717
108100 214.604 7.04346 3.54324 18.8183 2.87079 7.57234 0.00845748 90.0509 3.92277 7.26322 2.13617 0.132095 0.196882 0.653513 0.0532745 20.033 3.1836 0.0891407 0.246932 1.97343 4.78251 36.6402 0.991613 26.4824 7.11092 1.44193 -45.94138 -456.074 -502.0154
139400 75.484 14.4701 3.02885 11.9204 2.50912 5.87897 0.00853691 88.2586 8.42997 4.32299 2.09695 0.263202 0.296157 0.738685 0.219176 20.9725 4.11936 0.398323 0.192987 3.2797 9.26957 25.5623 1.56131 35.8479 5.42898 1.58224 -43.88376 -461.6634 -505.5471
113900 112.519 14.8866 3.57196 19.4659 3.92773 5.97098 0.00620897 87.4063 8.81169 9.59906 2.2111 0.524973 0.642598 0.621472 0.0153294 23.3522 2.6705 0.169822 0.0765959 3.61123 9.82902 21.3936 1.22481 33.6884 5.17511 5.31753 -47.33487 -456.3849 -503.7197
133400 161.056 14.8769 3.06966 10.6588 4.54972 9.71309 0.0112381 88.6577 6.01054 10.5808 1.92596 0.097834 0.838214 0.744976 0.00783738 21.8496 4.38993 0.102773 0.0883768 4.9868 6.19779 21.9552 1.73215 39.04 5.15299 1.36949 -46.17607 -457.3493 -503.5254
