Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	99.4684	17.5924	6.31164	1.7431	0.0395404	0.537119	0.720477	0.506118	19.2671	4.1172	0.422138	0.16471	4.67467	6.85137	25.703	0.438108	57.3314	14.4664	0.111646	16.6118
1	116.788	8.6239	2.05783	19.088	6.20094	10.3006	0.01617	101.156	9.71385	7.17653	1.6009	0.569588	0.93024	0.746752	0.472008	15.6958	3.12723	0.438513	0.125386	2.76861	2.86709	6.65829	1.02776	89.2065	2.14616	0.875481	116.788
2	682.408	9.96419	2.31337	17.693	4.34434	7.30107	0.0092755	140.188	10.8415	8.84514	2.56389	0.547946	0.418255	0.605499	0.323366	18.9028	3.37691	0.258109	0.230808	7.30142	10.2012	20.4478	0.618444	41.0692	1.3375	17.3741	682.408
3	4852.53	12.7549	3.64282	14.212	4.82729	7.07827	0.0279185	143.962	28.1291	7.23617	1.99127	0.294381	0.33567	0.646043	0.533638	17.1634	2.30404	0.411916	0.128717	2.40367	3.41723	14.3661	1.48395	63.3702	1.468	0.104744	4852.53
4	939.812	7.52009	2.74786	16.172	2.23867	7.98251	0.00523025	108.954	8.09146	6.55703	1.66212	0.44986	0.535879	0.7735	0.0724188	16.6716	6.42476	0.676287	0.250599	5.79297	3.92462	10.1611	0.63663	35.2722	11.0219	0.278098	939.812
5	1211.02	8.01643	3.46345	15.7089	5.63226	16.4562	0.0186186	143.702	28.8164	8.21478	2.3582	0.288291	0.37282	0.632069	0.357005	17.5477	3.46269	0.163161	0.176071	3.5716	3.18366	12.5632	1.41232	52.5957	18.8094	1.47993	1211.02
6	1026.74	15.3803	3.58639	12.2792	2.01337	6.75791	0.00587743	142.274	18.9678	6.95812	1.38992	0.21043	0.342289	0.653921	0.295066	18.201	3.11766	0.594615	0.356127	13.3295	9.12783	32.2029	0.432363	62.1887	0.159353	0.155417	1026.74
7	21.6086	10.5484	2.98948	13.3821	3.04845	9.73693	0.00484618	103.187	22.607	6.67364	2.76111	0.173113	0.866219	0.727251	0.690774	13.3364	6.14614	0.425265	0.109757	7.89793	12.9004	12.745	0.791301	61.7058	0.565277	27.7432	21.6086
8	150.961	13.8829	4.07887	10.3685	3.98396	16.459	0.00566991	77.2072	39.3543	7.37764	1.05942	0.443423	0.577325	0.725334	0.3237	23.0044	4.36906	0.809036	0.462445	5.72393	2.60693	37.9612	1.13674	86.2662	0.980993	0.541986	150.961
9	145.661	19.1193	3.72563	9.53807	4.76567	11.8287	0.013011	169.63	10.1598	6.4562	1.24599	0.394816	0.30299	0.674161	0.228112	21.3703	5.47492	0.560621	0.277248	6.72173	1.53695	36.2117	0.73219	62.701	0.270266	37.9044	145.661
10	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	154.679	16.3014	7.68232	2.56586	0.196747	0.453184	0.738886	0.607959	19.8425	5.33446	0.473479	0.109326	2.16602	7.67083	25.9387	0.184188	74.0094	6.85183	5.99601	1353.87
11	3985.78	9.48305	2.81049	18.4885	5.77091	8.37933	0.00581434	169.791	28.1788	4.54212	1.63457	0.395264	0.285169	0.83129	0.348642	20.6947	3.65897	0.756423	0.076256	5.76534	3.25462	28.2592	1.34939	36.3694	1.82781	29.661	3985.78
12	204.956	18.433	1.85091	7.94746	4.39219	7.87067	0.00865893	62.6098	4.87768	9.15598	2.88018	0.26785	0.409697	0.623511	0.28634	24.0412	4.64965	0.403588	0.502005	5.01587	8.88552	7.72077	0.901574	53.5038	38.1962	2.83286	204.956
