"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,1.2661805e-09,4.13724874999999e-09
6,"CumDeath",0,0,0,0,0,0,2.52415500000001e-09,8.6794105e-09,1.99947125e-08
7,"CumDeath",0,0,0,0,0,1.34259e-10,1.552994e-08,3.158877e-08,5.12061225e-08
8,"CumDeath",0,0,0,0,0,7.4385375e-09,3.951124e-08,6.45581299999996e-08,9.73412224999999e-08
9,"CumDeath",0,0,0,0,1.31763e-09,2.68765e-08,7.871719e-08,1.182663e-07,1.56607775e-07
10,"CumDeath",0,0,0,0,1.717325e-08,5.6372025e-08,1.300274e-07,1.986395e-07,2.629962e-07
11,"CumDeath",0,0,0,5.49658e-09,3.851045e-08,9.583445e-08,1.918167e-07,2.8640335e-07,4.11690074999999e-07
12,"CumDeath",0,0,0,2.1259775e-08,7.148835e-08,1.4069625e-07,2.683099e-07,3.9634375e-07,5.323212e-07
13,"CumDeath",0,0,7.72169300000001e-09,4.7770625e-08,1.15308e-07,2.097295e-07,3.586353e-07,5.112837e-07,6.67090574999999e-07
14,"CumDeath",6.12492500000001e-10,7.4715895e-09,2.733951e-08,7.89279e-08,1.65955e-07,2.821645e-07,4.947688e-07,6.4910905e-07,8.091626e-07
15,"CumDeath",1.8158905e-08,3.348103e-08,5.175913e-08,1.14035e-07,2.201915e-07,3.6781825e-07,6.356711e-07,7.959981e-07,9.36731225e-07
16,"CumDeath",4.22937525e-08,6.290789e-08,9.676526e-08,1.6312025e-07,2.83313e-07,4.7110275e-07,7.732239e-07,1.015632e-06,1.10710175e-06
17,"CumDeath",6.0957255e-08,8.8915255e-08,1.437608e-07,2.13688e-07,3.599305e-07,5.9834675e-07,9.347147e-07,1.202773e-06,1.37514125e-06
18,"CumDeath",8.84174025e-08,1.2718255e-07,1.863747e-07,2.88578e-07,4.509655e-07,7.5987875e-07,1.138829e-06,1.4311855e-06,1.671272e-06
19,"CumDeath",1.1758295e-07,1.5994405e-07,2.35682e-07,3.622195e-07,5.63279e-07,9.418495e-07,1.383229e-06,1.6587485e-06,1.97138875e-06
20,"CumDeath",1.50158375e-07,2.0542055e-07,2.925259e-07,4.564535e-07,7.003455e-07,1.115295e-06,1.701044e-06,2.043434e-06,2.2700735e-06
21,"CumDeath",1.9995135e-07,2.5633585e-07,3.645417e-07,5.6250575e-07,8.341155e-07,1.2966225e-06,1.966611e-06,2.3349355e-06,2.77509075e-06
22,"CumDeath",2.4698555e-07,3.084198e-07,4.525375e-07,6.742705e-07,9.790745e-07,1.53225e-06,2.295478e-06,2.7285865e-06,3.1867225e-06
23,"CumDeath",2.93136725e-07,3.8203955e-07,5.495921e-07,7.9386675e-07,1.159925e-06,1.8048325e-06,2.658199e-06,3.262178e-06,3.73788075e-06
24,"CumDeath",3.5192145e-07,4.5174295e-07,6.542154e-07,9.3795575e-07,1.36322e-06,2.0666675e-06,3.013645e-06,3.7118105e-06,4.47852725e-06
25,"CumDeath",4.23208875e-07,5.315827e-07,7.751238e-07,1.09915e-06,1.592625e-06,2.4152775e-06,3.487088e-06,4.3073565e-06,5.0223085e-06
26,"CumDeath",5.0359175e-07,6.3541285e-07,9.059959e-07,1.27599e-06,1.835395e-06,2.833175e-06,3.972021e-06,5.017737e-06,5.8044745e-06
27,"CumDeath",5.9896995e-07,7.7557705e-07,1.063502e-06,1.4610625e-06,2.08659e-06,3.2235025e-06,4.453811e-06,5.7719675e-06,6.53112925e-06
28,"CumDeath",7.1655305e-07,9.170448e-07,1.238385e-06,1.68695e-06,2.408705e-06,3.64727e-06,5.138965e-06,6.45108649999999e-06,7.349827e-06
29,"CumDeath",8.669206e-07,1.082179e-06,1.426695e-06,1.96491e-06,2.736395e-06,4.1315825e-06,5.780431e-06,7.2868065e-06,8.36408875e-06
30,"CumDeath",1.02616425e-06,1.267411e-06,1.628468e-06,2.259365e-06,3.11013e-06,4.6647825e-06,6.478686e-06,7.997269e-06,9.21008399999999e-06
31,"CumDeath",1.214885e-06,1.4848495e-06,1.850495e-06,2.511275e-06,3.520605e-06,5.2426e-06,7.337737e-06,8.8635475e-06,1.02119475e-05
32,"CumDeath",1.41964625e-06,1.726512e-06,2.077597e-06,2.874e-06,3.94365e-06,5.8230525e-06,8.205528e-06,9.796161e-06,1.12044025e-05
33,"CumDeath",1.64729975e-06,2.002107e-06,2.345562e-06,3.216955e-06,4.403465e-06,6.383635e-06,9.126185e-06,1.0898055e-05,1.25297075e-05
34,"CumDeath",1.898321e-06,2.259059e-06,2.651678e-06,3.556865e-06,4.90182e-06,6.98556e-06,9.996197e-06,1.1935565e-05,1.3714155e-05
35,"CumDeath",2.1712105e-06,2.5253115e-06,2.981795e-06,3.9466175e-06,5.442215e-06,7.600765e-06,1.102226e-05,1.3061715e-05,1.468698e-05
36,"CumDeath",2.48796475e-06,2.8707955e-06,3.312419e-06,4.3548625e-06,5.98908e-06,8.2628475e-06,1.179761e-05,1.4151295e-05,1.58684375e-05
37,"CumDeath",2.81865775e-06,3.1101275e-06,3.68655e-06,4.8045975e-06,6.63656e-06,9.0163275e-06,1.283416e-05,1.522812e-05,1.68167875e-05
38,"CumDeath",3.18661675e-06,3.410556e-06,4.082583e-06,5.2380075e-06,7.147375e-06,9.6566375e-06,1.379206e-05,1.6285045e-05,1.804042e-05
39,"CumDeath",3.57671875e-06,3.736908e-06,4.517757e-06,5.68377e-06,7.72488e-06,1.0343575e-05,1.468e-05,1.7527035e-05,1.940083e-05
40,"CumDeath",3.83281775e-06,4.0770795e-06,4.897073e-06,6.084615e-06,8.30807e-06,1.1023175e-05,1.557686e-05,1.832723e-05,2.05710625e-05
41,"CumDeath",4.11762625e-06,4.432507e-06,5.257794e-06,6.515675e-06,8.87173e-06,1.1780375e-05,1.649508e-05,1.940153e-05,2.17225125e-05
42,"CumDeath",4.44268025e-06,4.728794e-06,5.653947e-06,6.922735e-06,9.38798e-06,1.2594275e-05,1.735027e-05,2.0495185e-05,2.29228425e-05
43,"CumDeath",4.7166975e-06,5.017608e-06,5.9785e-06,7.331675e-06,9.770755e-06,1.327425e-05,1.821638e-05,2.181169e-05,2.4025865e-05
44,"CumDeath",4.9524975e-06,5.331927e-06,6.326579e-06,7.71012e-06,1.030545e-05,1.3894325e-05,1.909853e-05,2.27959e-05,2.52659125e-05
45,"CumDeath",5.171643e-06,5.64695e-06,6.669971e-06,8.0639225e-06,1.08389e-05,1.4419875e-05,1.979713e-05,2.339405e-05,2.64776925e-05
46,"CumDeath",5.408041e-06,5.953674e-06,6.971698e-06,8.4481e-06,1.128895e-05,1.5010275e-05,2.054185e-05,2.3938765e-05,2.7520825e-05
47,"CumDeath",5.6500185e-06,6.215139e-06,7.25538e-06,8.8160775e-06,1.17091e-05,1.5571625e-05,2.118352e-05,2.47031e-05,2.8282865e-05
48,"CumDeath",5.90777775e-06,6.4563555e-06,7.527396e-06,9.182235e-06,1.21431e-05,1.6026975e-05,2.178327e-05,2.565375e-05,2.895179e-05
49,"CumDeath",6.12453375e-06,6.717743e-06,7.785111e-06,9.494465e-06,1.25055e-05,1.645255e-05,2.231329e-05,2.6412135e-05,2.97014225e-05
50,"CumDeath",6.33042375e-06,6.970748e-06,8.031542e-06,9.8131775e-06,1.282655e-05,1.68921e-05,2.28341e-05,2.6916345e-05,3.056707e-05
51,"CumDeath",6.523682e-06,7.1959775e-06,8.267619e-06,1.0136025e-05,1.31879e-05,1.726385e-05,2.326911e-05,2.7369855e-05,3.1365495e-05
52,"CumDeath",6.7002355e-06,7.390792e-06,8.501793e-06,1.0399575e-05,1.34756e-05,1.761685e-05,2.39037e-05,2.778223e-05,3.210038e-05
53,"CumDeath",6.87321475e-06,7.6641135e-06,8.726798e-06,1.0637225e-05,1.3759e-05,1.8061175e-05,2.444762e-05,2.8156375e-05,3.26649525e-05
54,"CumDeath",7.045568e-06,7.8706145e-06,8.905084e-06,1.0827875e-05,1.40177e-05,1.8399075e-05,2.490307e-05,2.853975e-05,3.30647025e-05
55,"CumDeath",7.22446825e-06,8.0327805e-06,9.068572e-06,1.09955e-05,1.426605e-05,1.871355e-05,2.526712e-05,2.903678e-05,3.34149225e-05
56,"CumDeath",7.35636475e-06,8.1569625e-06,9.229543e-06,1.1182125e-05,1.452835e-05,1.90102e-05,2.557609e-05,2.949782e-05,3.3726395e-05
57,"CumDeath",7.4749445e-06,8.3297025e-06,9.378598e-06,1.1382725e-05,1.471615e-05,1.9194675e-05,2.586832e-05,2.9930635e-05,3.4003515e-05
