"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,2.60717049999999e-09
5,"CumDeath",0,0,0,0,0,0,1.135604e-09,1.39021499999999e-08,3.66076225e-08
6,"CumDeath",0,0,0,0,0,0,2.366205e-08,5.19717799999999e-08,1.004508825e-07
7,"CumDeath",0,0,0,0,0,1.132615e-08,7.139063e-08,1.357247e-07,1.86663975e-07
8,"CumDeath",0,0,0,0,0,3.7348975e-08,1.346687e-07,2.1875415e-07,3.62829024999999e-07
9,"CumDeath",0,0,0,0,1.47713e-08,8.1897775e-08,2.105508e-07,3.1577625e-07,5.551006e-07
10,"CumDeath",0,0,0,8.780695e-10,4.87046e-08,1.635925e-07,3.243473e-07,4.359907e-07,7.7872535e-07
11,"CumDeath",0,0,0,2.1159025e-08,1.02075e-07,2.4646425e-07,4.336909e-07,5.6658715e-07,9.80388799999998e-07
12,"CumDeath",0,0,1.3729579e-09,5.46278e-08,1.609825e-07,3.423835e-07,5.55992900000001e-07,7.52999499999999e-07,1.21833625e-06
13,"CumDeath",0,0,2.4685e-08,1.0225625e-07,2.33143e-07,4.486715e-07,7.227048e-07,9.82991249999999e-07,1.42085325e-06
14,"CumDeath",4.9903385e-10,2.282224e-08,6.09534e-08,1.5411725e-07,3.10793e-07,5.7895975e-07,8.72275e-07,1.216286e-06,1.66634825e-06
15,"CumDeath",3.61555875e-08,6.367896e-08,1.029884e-07,2.2491025e-07,4.01398e-07,7.1389125e-07,1.070127e-06,1.4129005e-06,1.95136275e-06
16,"CumDeath",7.8190105e-08,1.1388215e-07,1.665192e-07,3.025065e-07,5.044765e-07,8.5169075e-07,1.2379e-06,1.706625e-06,2.231207e-06
17,"CumDeath",1.202067e-07,1.59869e-07,2.262636e-07,3.867765e-07,6.247035e-07,1.00216e-06,1.441215e-06,1.989634e-06,2.457452e-06
18,"CumDeath",1.6193045e-07,2.137391e-07,2.896371e-07,4.708665e-07,7.55901e-07,1.17646e-06,1.649345e-06,2.253053e-06,2.75882525e-06
19,"CumDeath",2.06008275e-07,2.69949e-07,3.678647e-07,5.7840825e-07,8.918615e-07,1.35825e-06,1.866803e-06,2.522303e-06,3.0824845e-06
20,"CumDeath",2.55537075e-07,3.360549e-07,4.434184e-07,6.876975e-07,1.04292e-06,1.5654475e-06,2.11626e-06,2.8023155e-06,3.39073975e-06
21,"CumDeath",3.19631725e-07,4.1244115e-07,5.489775e-07,8.194395e-07,1.214655e-06,1.7954725e-06,2.403778e-06,3.1029425e-06,3.73932925e-06
22,"CumDeath",3.88179425e-07,4.9668255e-07,6.466919e-07,9.68879e-07,1.400475e-06,2.03317e-06,2.705499e-06,3.4368875e-06,4.10797325e-06
23,"CumDeath",4.71409025e-07,5.956125e-07,7.749153e-07,1.1335825e-06,1.616435e-06,2.3237925e-06,3.023898e-06,3.79469e-06,4.492915e-06
24,"CumDeath",5.71431825e-07,7.142545e-07,9.081601e-07,1.31422e-06,1.846495e-06,2.6430675e-06,3.388663e-06,4.1686615e-06,4.92784975e-06
25,"CumDeath",6.851726e-07,8.4723565e-07,1.059812e-06,1.52825e-06,2.10594e-06,2.9630775e-06,3.789602e-06,4.579387e-06,5.36995575e-06
26,"CumDeath",8.28191075e-07,9.8350185e-07,1.235928e-06,1.7618525e-06,2.38757e-06,3.33753e-06,4.190782e-06,5.0234035e-06,5.789628e-06
27,"CumDeath",9.91832625e-07,1.1575135e-06,1.429996e-06,2.0181475e-06,2.74221e-06,3.742725e-06,4.667e-06,5.490786e-06,6.2530895e-06
28,"CumDeath",1.166914e-06,1.3551305e-06,1.641442e-06,2.3134875e-06,3.122835e-06,4.169525e-06,5.159139e-06,5.9207955e-06,6.7191535e-06
29,"CumDeath",1.38822375e-06,1.556614e-06,1.910171e-06,2.6116475e-06,3.52337e-06,4.6457225e-06,5.698535e-06,6.472367e-06,7.28999525e-06
30,"CumDeath",1.61549275e-06,1.7990665e-06,2.235518e-06,2.944385e-06,3.92165e-06,5.1031675e-06,6.25067e-06,7.0844515e-06,7.906183e-06
31,"CumDeath",1.8583815e-06,2.0875995e-06,2.537344e-06,3.32192e-06,4.36501e-06,5.6158875e-06,6.828382e-06,7.6884245e-06,8.5477515e-06
32,"CumDeath",2.1438835e-06,2.4063415e-06,2.889308e-06,3.72934e-06,4.86671e-06,6.187105e-06,7.484609e-06,8.2733875e-06,9.26482025e-06
33,"CumDeath",2.47040125e-06,2.7425865e-06,3.274332e-06,4.1565875e-06,5.44095e-06,6.7802225e-06,8.168273e-06,8.89804849999999e-06,1.00758725e-05
34,"CumDeath",2.8339355e-06,3.1320885e-06,3.665013e-06,4.6197575e-06,6.026405e-06,7.4316325e-06,8.927078e-06,9.7108265e-06,1.0887975e-05
35,"CumDeath",3.20527275e-06,3.5295815e-06,4.075531e-06,5.15586e-06,6.6436e-06,8.1512075e-06,9.671578e-06,1.050887e-05,1.1854925e-05
36,"CumDeath",3.58086375e-06,3.9705435e-06,4.493771e-06,5.72665e-06,7.284875e-06,8.8734225e-06,1.036329e-05,1.1243345e-05,1.2802935e-05
37,"CumDeath",4.022559e-06,4.46112e-06,4.999117e-06,6.30223e-06,7.94195e-06,9.5837125e-06,1.11864e-05,1.1980275e-05,1.3747445e-05
38,"CumDeath",4.468076e-06,4.9803375e-06,5.532498e-06,6.8809925e-06,8.597535e-06,1.0351675e-05,1.199692e-05,1.290613e-05,1.4722455e-05
39,"CumDeath",4.9450765e-06,5.525961e-06,6.108347e-06,7.4814625e-06,9.364635e-06,1.1190725e-05,1.283849e-05,1.388099e-05,1.57266175e-05
40,"CumDeath",5.45196425e-06,6.0738405e-06,6.711495e-06,8.16454e-06,1.01461e-05,1.2012075e-05,1.37013e-05,1.483066e-05,1.6674685e-05
41,"CumDeath",6.00791525e-06,6.609221e-06,7.338063e-06,8.85389e-06,1.091395e-05,1.2931775e-05,1.464359e-05,1.5871545e-05,1.75870475e-05
42,"CumDeath",6.587858e-06,7.1713985e-06,8.003252e-06,9.548875e-06,1.173565e-05,1.3831375e-05,1.563345e-05,1.688089e-05,1.867412e-05
43,"CumDeath",7.20792025e-06,7.858918e-06,8.679099e-06,1.0265175e-05,1.24956e-05,1.4850975e-05,1.661775e-05,1.7982305e-05,1.98375775e-05
44,"CumDeath",7.88201325e-06,8.5554745e-06,9.426396e-06,1.1011125e-05,1.340365e-05,1.5792925e-05,1.772263e-05,1.91116e-05,2.092102e-05
45,"CumDeath",8.55355075e-06,9.2222925e-06,1.020234e-05,1.1796125e-05,1.426625e-05,1.686995e-05,1.887049e-05,2.028407e-05,2.20318825e-05
46,"CumDeath",9.2588775e-06,9.91874e-06,1.099107e-05,1.26383e-05,1.520245e-05,1.7897725e-05,1.995795e-05,2.149077e-05,2.3169745e-05
47,"CumDeath",9.9956705e-06,1.0644815e-05,1.176366e-05,1.346605e-05,1.61567e-05,1.89317e-05,2.108768e-05,2.273059e-05,2.43326425e-05
48,"CumDeath",1.076441e-05,1.1438675e-05,1.254604e-05,1.4322675e-05,1.71909e-05,2.002485e-05,2.242365e-05,2.3999655e-05,2.55679725e-05
49,"CumDeath",1.15584125e-05,1.2241295e-05,1.337313e-05,1.5275e-05,1.818285e-05,2.1167625e-05,2.366966e-05,2.530923e-05,2.68923975e-05
50,"CumDeath",1.2391015e-05,1.3069105e-05,1.422074e-05,1.6184625e-05,1.918415e-05,2.2347575e-05,2.489406e-05,2.664688e-05,2.8310325e-05
51,"CumDeath",1.32718225e-05,1.3935105e-05,1.511194e-05,1.7136125e-05,2.0261e-05,2.3487625e-05,2.622391e-05,2.788933e-05,2.9787475e-05
52,"CumDeath",1.4117195e-05,1.4804415e-05,1.603289e-05,1.8164375e-05,2.13617e-05,2.4715025e-05,2.776163e-05,2.92925e-05,3.12950225e-05
53,"CumDeath",1.49886375e-05,1.5696725e-05,1.697555e-05,1.916395e-05,2.24962e-05,2.6023e-05,2.91044e-05,3.078951e-05,3.28324e-05
54,"CumDeath",1.5945295e-05,1.661332e-05,1.79642e-05,2.0130025e-05,2.358075e-05,2.7236825e-05,3.045544e-05,3.23493e-05,3.43987925e-05
55,"CumDeath",1.6940635e-05,1.7567365e-05,1.89595e-05,2.1181775e-05,2.479025e-05,2.86361e-05,3.189303e-05,3.3854905e-05,3.59932275e-05
56,"CumDeath",1.7923475e-05,1.854448e-05,1.999334e-05,2.2324425e-05,2.599875e-05,3.0017775e-05,3.329652e-05,3.5376105e-05,3.76149525e-05
57,"CumDeath",1.8968625e-05,1.9635315e-05,2.100993e-05,2.3440175e-05,2.722595e-05,3.151325e-05,3.481428e-05,3.6888035e-05,3.91960525e-05
