Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	1909.53	15.283	3.91724	13.1549	4.80543	11.1796	0.010684	126.245	9.65294	4.46055	2.14642	0.490138	0.843251	0.8066	0.288381	17.326	5.88102	0.123868	0.29277	7.32751	5.77019	37.3253	0.616312	79.4257	0.0654322	0.208098	0.0894486	0.152485	0.375789	0.0901035	0.0266358	17.326	37.3253	0.616312	79.4257	0.892947	0.0500193	0.00092463	0.000382431	0.000398909	8.6419e-05	0.000991946	0.0444009	0.00918739	0.000212899	0.288381	0.857249	0.292677	0.152436	0.375669	0.0900749	0.00142394	9.56309	0.0228336	1.17188	1.04643	62.8005	1e-15	0.00246369	0
1	1113.25	16.5599	3.61122	19.9514	2.29667	7.17487	0.00426651	120.114	9.67006	8.09332	2.80372	0.0320545	0.370008	0.684929	0.395842	16.4429	1.35887	0.413056	0.157114	3.66042	8.08078	47.377	0.671884	74.645	0.0603868	0.435413	0.139375	0.0313134	0.244293	0.112376	0.0252271	16.4429	47.377	0.671884	74.645	0.841191	0.0614739	0.000956987	0.000178336	0.00213491	0.00020045	0.000730993	0.0833488	0.00999759	0.000261858	0.395842	0.681952	0.157087	0.031308	0.244251	0.112357	0.00230536	15.9964	0.0172036	1.36883	1.15145	215.535	2.89669	0.0107539	0.000249062
2	566.954	9.68394	3.44878	15.7817	4.99493	5.84259	0.00607423	115.4	9.46224	6.43152	2.13718	0.191199	0.639635	0.903534	0.385523	16.0657	5.24958	0.161442	0.214894	10.4701	6.5159	39.4211	0.48563	68.5546	0.103264	0.200203	0.171157	0.0898593	0.422769	0.045137	0.037403	16.0657	39.4211	0.48563	68.5546	0.930488	0.0186653	0.00120246	0.000329056	0.000726366	0.000112209	0.000623823	0.0373839	0.0102496	0.000183016	0.385523	0.857376	0.214876	0.0898516	0.422733	0.0451332	0.00226824	10.7936	0.0320684	1.14569	1.06605	208.662	2.6097	0.0103985	0.000174013
3	3366.02	20.3617	3.17809	15.2028	5.33572	13.3802	0.00953358	118.418	9.47696	4.67309	2.24326	0.555714	0.470507	0.694346	0.354694	20.8991	3.17164	0.0431158	0.225236	7.83187	5.37733	40.5335	0.573237	75.6057	0.0491118	0.187416	0.0747373	0.0699098	0.309525	0.136254	0.0156236	20.8991	40.5335	0.573237	75.6057	0.813182	0.117789	0.00174286	0.000506506	0.00096159	9.33815e-05	0.0011951	0.0545972	0.00854093	0.000200748	0.354694	0.956294	0.225209	0.0699014	0.309488	0.136238	0.00136685	11.0161	0.0149407	1.3399	1.08958	179.396	3.09655	0.00942372	0.000192057
4	1283.9	8.00292	3.82733	11.2135	3.17949	11.3363	0.00951599	126.613	9.62497	3.80898	1.23517	0.494618	0.571509	0.809034	0.28152	18.7337	4.72147	0.022365	0.440814	5.14351	5.86178	56.5791	0.799511	51.4749	0.124954	0.314516	0.0882122	0.12139	0.654998	0.154607	0.0301081	18.7337	56.5791	0.799511	51.4749	0.896845	0.0402334	0.000643639	0.00050696	0.000465077	9.83572e-05	0.00120337	0.0492942	0.00937107	0.000194527	0.28152	0.972049	0.440672	0.12135	0.654787	0.154557	0.00125121	9.59823	0.0292666	1.2599	1.12993	227.814	2.72861	0.0104866	0.000185982
5	3827.07	7.76994	2.54064	13.9156	2.39729	12.7991	0.00659799	122.008	9.78899	9.66847	2.40795	0.300644	0.891471	0.604269	0.490429	20.4639	3.95733	0.357383	0.112511	9.0354	6.9282	35.8631	0.741764	60.9743	0.128701	0.417138	0.0781305	0.055716	0.250947	0.164344	0.0142647	20.4639	35.8631	0.741764	60.9743	0.914625	0.0227601	0.000616123	7.80819e-05	0.00135556	5.50484e-05	0.00114303	0.0511575	0.00885896	0.000197436	0.490429	0.775206	0.112485	0.0557032	0.25089	0.164306	0.00119671	12.0845	0.0110581	1.07611	0.98424	174.194	2.66798	0.00951379	0.00018792
6	1132.21	17.281	3.42804	15.5945	3.99636	6.81621	0.00601301	117.351	10.4602	7.7783	2.05337	0.491804	0.400322	0.704322	0.405295	17.7535	3.69194	0.197588	0.345543	6.99452	6.3033	37.2491	0.610358	75.5893	0.057867	0.250228	0.146709	0.036249	0.343008	0.143996	0.0322501	17.7535	37.2491	0.610358	75.5893	0.780551	0.107931	0.00131741	0.000695138	0.000908743	0.000181118	0.000631134	0.0959622	0.010503	0.000232109	0.405295	0.836566	0.345456	0.0362398	0.342921	0.14396	0.002404	11.9809	0.0269794	1.29695	1.01234	183.099	2.90783	0.0111372	0.000222589
7	497.414	14.5953	4.45956	8.6409	3.67974	8.07835	0.00788545	119.186	8.8172	5.53844	2.96478	0.118664	0.833118	0.684967	0.366989	13.0936	1.54547	0.327182	0.235799	5.51508	6.16785	45.1647	0.726615	70.3023	0.0685152	0.271758	0.123788	0.103036	0.231035	0.106258	0.0638867	13.0936	45.1647	0.726615	70.3023	0.93566	0.0197528	0.000891919	0.000275168	0.000881466	0.000186855	0.000950817	0.0305959	0.0105711	0.000220657	0.366989	0.720381	0.235783	0.103029	0.231019	0.106251	0.0019493	7.14554	0.0460228	1.21746	1.13913	244.52	3.27121	0.0112629	0.00020974
8	540.873	16.5517	3.58755	13.6344	2.91619	9.95219	0.0096069	116.296	9.59908	4.16873	1.57099	0.327526	0.690997	0.659874	0.440388	16.3471	1.541	0.246888	0.235892	5.48825	3.36123	38.1341	0.665032	77.5363	0.0604168	0.342913	0.10048	0.109379	0.420037	0.216504	0.0264389	16.3471	38.1341	0.665032	77.5363	0.909331	0.0472923	0.000646826	0.000199645	0.000686244	7.15361e-05	0.000962053	0.030048	0.0099467	0.000212614	0.440388	0.816709	0.235867	0.109367	0.419992	0.216481	0.00177354	11.0786	0.0215929	1.18162	1.07448	197.134	3.22521	0.0107182	0.000206946
9	1722.64	20.125	3.55134	12.6025	3.87172	9.60163	0.0103666	129.979	12.0221	5.69828	2.12061	0.276467	0.654301	0.843343	0.374758	18.692	2.10293	0.389796	0.176907	12.1834	11.2107	48.0371	0.897525	55.7771	0.0496894	0.258283	0.104149	0.0968363	0.397689	0.0738736	0.0293488	18.692	48.0371	0.897525	55.7771	0.898346	0.0457428	0.000977703	0.000209355	0.000872944	8.16696e-05	0.00101026	0.0441353	0.00847865	0.000286448	0.374758	0.682103	0.176533	0.0966316	0.396848	0.0737174	0.00201872	11.795	0.0200189	1.21683	1.09314	208.437	3.53893	0.00880344	0.000264763
