"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,3.12269899999997e-09
5,"CumDeath",0,0,0,0,0,0,4.64137800000002e-10,1.99395299999999e-08,4.830884e-08
6,"CumDeath",0,0,0,0,0,8.2654725e-12,2.799169e-08,6.94501049999998e-08,1.1606765e-07
7,"CumDeath",0,0,0,0,0,2.157385e-08,9.267822e-08,1.60612e-07,2.01535725e-07
8,"CumDeath",0,0,0,0,9.211145e-09,6.369055e-08,1.702894e-07,2.543144e-07,3.192624e-07
9,"CumDeath",0,0,0,3.3708725e-09,4.653505e-08,1.2662e-07,2.830047e-07,3.8082155e-07,4.559785e-07
10,"CumDeath",0,0,1.935802e-09,2.987235e-08,9.46662e-08,1.9267525e-07,3.946667e-07,5.30414049999999e-07,6.2336885e-07
11,"CumDeath",0,1.039311e-08,2.811816e-08,7.1379925e-08,1.57884e-07,3.0680175e-07,5.346486e-07,7.139538e-07,8.19686625e-07
12,"CumDeath",2.32801725e-08,4.105565e-08,5.984326e-08,1.243685e-07,2.300975e-07,4.3442475e-07,7.115066e-07,9.2802215e-07,1.0474025e-06
13,"CumDeath",5.74548475e-08,7.6890575e-08,1.043596e-07,1.9129325e-07,3.21352e-07,5.7645025e-07,9.216966e-07,1.166283e-06,1.34198875e-06
14,"CumDeath",9.09698425e-08,1.2554775e-07,1.56541e-07,2.747935e-07,4.37897e-07,7.59291e-07,1.148303e-06,1.4572925e-06,1.58446675e-06
15,"CumDeath",1.416157e-07,1.828064e-07,2.270346e-07,3.7761175e-07,5.905935e-07,9.9561625e-07,1.415164e-06,1.7648045e-06,1.94967375e-06
16,"CumDeath",2.01714375e-07,2.557242e-07,3.184361e-07,5.053215e-07,7.68807e-07,1.2842975e-06,1.768028e-06,2.0770375e-06,2.339886e-06
17,"CumDeath",2.83346225e-07,3.507125e-07,4.316418e-07,6.7393075e-07,9.90645e-07,1.578595e-06,2.13685e-06,2.4194725e-06,2.8194615e-06
18,"CumDeath",3.912121e-07,4.7943705e-07,5.863196e-07,8.8887475e-07,1.28443e-06,1.958565e-06,2.534184e-06,2.8335825e-06,3.3557465e-06
19,"CumDeath",5.30460625e-07,6.5860535e-07,7.80798e-07,1.1611525e-06,1.6397e-06,2.43839e-06,2.999664e-06,3.4603365e-06,3.919152e-06
20,"CumDeath",7.2620945e-07,8.8514595e-07,1.034689e-06,1.48629e-06,2.059915e-06,2.9169225e-06,3.554612e-06,4.039279e-06,4.43437525e-06
21,"CumDeath",9.7360725e-07,1.169786e-06,1.358211e-06,1.882795e-06,2.55734e-06,3.522975e-06,4.375373e-06,4.8133985e-06,5.023805e-06
22,"CumDeath",1.31849525e-06,1.509285e-06,1.773734e-06,2.3355925e-06,3.128455e-06,4.095805e-06,5.195574e-06,5.590747e-06,5.86119e-06
23,"CumDeath",1.7503085e-06,1.9474925e-06,2.233747e-06,2.84733e-06,3.765205e-06,4.811025e-06,6.017196e-06,6.598314e-06,6.85686275e-06
24,"CumDeath",2.0976275e-06,2.3448795e-06,2.760382e-06,3.4950725e-06,4.512925e-06,5.6909025e-06,6.934635e-06,7.6258805e-06,8.109722e-06
25,"CumDeath",2.51650025e-06,2.744345e-06,3.274067e-06,4.1786675e-06,5.284595e-06,6.70408e-06,8.055821e-06,8.67009e-06,9.54978025e-06
26,"CumDeath",2.879713e-06,3.381773e-06,3.828209e-06,4.914565e-06,6.15092e-06,7.6653075e-06,9.037327e-06,9.9652575e-06,1.08657525e-05
27,"CumDeath",3.34234025e-06,3.8503485e-06,4.337036e-06,5.6464975e-06,7.005485e-06,8.679525e-06,1.02411e-05,1.116799e-05,1.234109e-05
28,"CumDeath",3.747878e-06,4.338418e-06,5.055359e-06,6.3255e-06,7.869755e-06,9.8417725e-06,1.137879e-05,1.263335e-05,1.378928e-05
29,"CumDeath",4.19508975e-06,4.823555e-06,5.718186e-06,7.037295e-06,8.80216e-06,1.086465e-05,1.26032e-05,1.388853e-05,1.50823475e-05
30,"CumDeath",4.689551e-06,5.3615865e-06,6.292537e-06,7.7718675e-06,9.810055e-06,1.206035e-05,1.403063e-05,1.5638205e-05,1.64371875e-05
31,"CumDeath",5.2333485e-06,5.949534e-06,6.881958e-06,8.5591025e-06,1.08329e-05,1.3311875e-05,1.539757e-05,1.7287585e-05,1.8068695e-05
32,"CumDeath",5.753645e-06,6.5087805e-06,7.564586e-06,9.32577e-06,1.19651e-05,1.4506225e-05,1.689669e-05,1.9004355e-05,1.99084175e-05
33,"CumDeath",6.29690425e-06,7.1712505e-06,8.253311e-06,1.011145e-05,1.298275e-05,1.5867275e-05,1.858562e-05,2.049507e-05,2.18994925e-05
34,"CumDeath",6.80175975e-06,7.7586785e-06,8.946367e-06,1.1025e-05,1.40675e-05,1.7076e-05,2.002997e-05,2.1877e-05,2.3782895e-05
35,"CumDeath",7.4172115e-06,8.369186e-06,9.65451e-06,1.18643e-05,1.51599e-05,1.8372775e-05,2.187921e-05,2.3619735e-05,2.556792e-05
36,"CumDeath",8.0462745e-06,9.023412e-06,1.042461e-05,1.2832275e-05,1.633505e-05,1.9754275e-05,2.367431e-05,2.537746e-05,2.74910275e-05
37,"CumDeath",8.719125e-06,9.860886e-06,1.124823e-05,1.3874425e-05,1.75436e-05,2.1160775e-05,2.518569e-05,2.7320805e-05,2.93787575e-05
38,"CumDeath",9.4421735e-06,1.0725445e-05,1.202178e-05,1.487765e-05,1.860205e-05,2.260275e-05,2.696499e-05,2.964243e-05,3.1570045e-05
39,"CumDeath",1.018004e-05,1.1479305e-05,1.273879e-05,1.57887e-05,1.97074e-05,2.41283e-05,2.881615e-05,3.185419e-05,3.3554335e-05
40,"CumDeath",1.09483625e-05,1.225922e-05,1.361118e-05,1.67435e-05,2.09413e-05,2.57106e-05,3.043765e-05,3.409454e-05,3.57747025e-05
41,"CumDeath",1.17438225e-05,1.3088175e-05,1.451803e-05,1.77347e-05,2.224625e-05,2.719845e-05,3.204168e-05,3.6239795e-05,3.77292775e-05
42,"CumDeath",1.25739225e-05,1.3868515e-05,1.545699e-05,1.8843675e-05,2.34309e-05,2.865995e-05,3.369125e-05,3.814947e-05,4.00458525e-05
43,"CumDeath",1.344013e-05,1.474185e-05,1.640052e-05,1.99828e-05,2.467145e-05,3.023345e-05,3.53995e-05,4.0389185e-05,4.217625e-05
44,"CumDeath",1.43436125e-05,1.5624555e-05,1.736614e-05,2.117465e-05,2.59672e-05,3.177565e-05,3.717059e-05,4.2348665e-05,4.4362875e-05
45,"CumDeath",1.528586e-05,1.653754e-05,1.833778e-05,2.2291925e-05,2.72273e-05,3.3302275e-05,3.900275e-05,4.4208345e-05,4.66535825e-05
46,"CumDeath",1.6241555e-05,1.740973e-05,1.930316e-05,2.34452e-05,2.85501e-05,3.49124e-05,4.10557e-05,4.608061e-05,4.905288e-05
47,"CumDeath",1.72302375e-05,1.8425095e-05,2.033313e-05,2.4623575e-05,2.99853e-05,3.658735e-05,4.296743e-05,4.8206605e-05,5.16012825e-05
48,"CumDeath",1.834836e-05,1.9556405e-05,2.14521e-05,2.5833625e-05,3.141765e-05,3.8341725e-05,4.498444e-05,5.018338e-05,5.41200275e-05
49,"CumDeath",1.94709775e-05,2.071655e-05,2.251254e-05,2.71088e-05,3.293215e-05,4.0211975e-05,4.688573e-05,5.2016315e-05,5.64325375e-05
50,"CumDeath",2.06273675e-05,2.1928755e-05,2.356068e-05,2.830205e-05,3.44388e-05,4.1925275e-05,4.872691e-05,5.3851975e-05,5.87463575e-05
51,"CumDeath",2.177103e-05,2.3103105e-05,2.470646e-05,2.96377e-05,3.59571e-05,4.3593875e-05,5.058599e-05,5.594341e-05,6.10646225e-05
52,"CumDeath",2.29528575e-05,2.421884e-05,2.603401e-05,3.0913475e-05,3.749575e-05,4.5364825e-05,5.247158e-05,5.809003e-05,6.3379775e-05
53,"CumDeath",2.42038725e-05,2.538934e-05,2.729383e-05,3.2229225e-05,3.897605e-05,4.7251475e-05,5.437855e-05,6.0356925e-05,6.5840845e-05
54,"CumDeath",2.543951e-05,2.66245e-05,2.860463e-05,3.363015e-05,4.056545e-05,4.9021025e-05,5.628134e-05,6.2641065e-05,6.83209075e-05
55,"CumDeath",2.667529e-05,2.790145e-05,3.008923e-05,3.5185875e-05,4.22233e-05,5.0832475e-05,5.815061e-05,6.4970945e-05,7.08081075e-05
56,"CumDeath",2.799508e-05,2.9204565e-05,3.15242e-05,3.675845e-05,4.386955e-05,5.2583325e-05,6.022395e-05,6.7285985e-05,7.33056925e-05
