"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 672.049 13.8655 3.04125 15.5011 4.22206 9.07068 0.0258423 109.055 12.0786 2.00163 1.42616 0.421446 0.197172 0.651476 0.461321 15.7463 4.50994 0.194191 0.488037 7.18043 11.4245 31.6474 0.574922 80.8129 0.955016 0.935292 -49.39232 -873.3085 -922.7008
66300 162.904 11.9893 2.65877 18.1115 2.99027 8.7466 0.0259009 101.36 18.5822 6.25754 1.81858 0.195711 0.381924 0.772328 0.742615 20.2593 4.36885 0.64868 0.429768 2.34043 11.1531 44.5184 0.400689 60.5527 1.10219 1.44054 -47.64471 -872.7499 -920.3947
200000 468.349 18.0221 4.04696 13.2349 3.32674 14.7192 0.0326512 102.477 14.6474 6.47122 2.48848 0.108706 0.0652397 0.686141 0.330685 19.0348 4.65265 0.0308414 0.718582 8.64981 11.2459 33.5148 0.402344 64.9049 1.14099 1.05338 -51.35418 -872.0503 -923.4044
161800 938.246 16.197 3.49412 7.30842 4.47265 14.8705 0.0263023 99.2827 8.78757 9.41019 1.69641 0.355884 0.325465 0.70076 0.425758 18.8798 4.36636 0.201094 0.709917 4.81615 7.71065 41.4751 0.994832 53.4186 1.20567 1.18532 -48.00977 -876.3122 -924.322
170600 211.476 8.49421 3.39653 15.4122 3.98373 13.2671 0.0355943 97.0096 12.2124 6.7605 2.56979 0.296237 0.866444 0.773717 0.691468 18.8663 4.85324 0.435829 0.380471 10.3567 8.11894 40.1109 0.569239 68.8578 1.10235 1.16399 -46.61233 -873.3413 -919.9537
168200 5071.97 17.915 2.26296 7.89552 4.4572 10.6228 0.0254226 111.876 14.4207 6.93144 2.32903 0.341528 0.158548 0.897375 0.451319 14.6568 3.30194 0.386263 0.411195 4.38287 12.3208 32.1616 0.667772 45.2846 0.819271 1.51287 -53.34975 -877.806 -931.1558
67100 3070.19 9.78048 2.55802 15.5398 4.81056 13.4211 0.0137247 98.0054 12.871 6.43136 2.30888 0.544043 0.136723 0.688666 0.599054 19.3213 5.44176 0.785684 0.303899 7.18899 12.0363 35.7572 0.0882318 48.9903 0.944543 1.30734 -49.98599 -873.499 -923.485
106100 1121.29 14.6057 1.86928 11.5811 4.34057 9.52664 0.0213761 113.589 21.7289 3.25726 1.0191 0.12096 0.385779 0.645937 0.764977 18.1507 2.12102 0.266069 0.226527 7.69856 13.849 29.766 0.212683 73.3845 1.06544 1.08375 -49.34409 -875.568 -924.9121
168900 1895.95 7.155 3.5167 11.406 3.78448 10.4872 0.022263 136.996 21.5729 8.81243 2.51993 0.14399 0.296258 0.650107 0.395258 17.3638 2.3045 0.657275 0.734933 9.55596 13.0746 31.3845 0.639009 67.4746 1.03224 1.0394 -49.71656 -877.184 -926.9006
47000 416.33 9.94527 4.35964 11.4865 4.33172 9.86105 0.0160703 112.305 14.8288 3.31705 2.09016 0.316885 0.250195 0.674384 0.40678 20.5421 6.34421 0.737865 0.262593 2.83406 13.9454 31.7832 0.364324 60.4508 1.0193 0.882485 -47.74987 -873.0133 -920.7631
