Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	1141.33	15.8509	2.52812	12.0502	3.95423	11.0939	0.0316743	113.093	12.745	11.2269	1.47837	0.742802	0.716629	0.480529	17.8068	5.55203	0.251231	0.363242	4.39324	12.8161	29.5676	0.938957	72.4267	0.0630879	0.252894	0.0901396	0.0474141	0.484743	0.191678	0.0189112	17.8068	29.5676	0.938957	72.4267	0.970047	0.0123457	6.99057e-05	3.98035e-05	0.000145862	1.52575e-05	0.000178498	0.0138197	0.00376675	0.000410646	0.480529	0.831837	0.362952	0.0473763	0.484356	0.191525	0.00637443	11.6681	0.015731	0.850308	0.824839	10.0484	1e-15	0.00171337	0
1	392.481	8.1562	3.81153	12.0349	5.45799	12.6998	0.0305878	101.703	11.6756	6.04846	2.68153	0.370523	0.759162	0.456377	18.9254	6.66663	0.381581	0.311991	3.96623	10.8463	36.664	0.37385	60.4613	0.122606	0.183218	0.0787414	0.0465056	0.283108	0.0898137	0.0249379	18.9254	36.664	0.37385	60.4613	0.983453	0.00351227	9.30232e-05	4.21635e-05	0.000156406	2.16603e-05	0.000198686	0.0086495	0.00385342	0.00030876	0.456377	0.741318	0.311942	0.0464983	0.283063	0.0897996	0.00521682	7.93835	0.0184869	0.806264	0.792923	18.8849	1.68793	0.00433107	0.00029644
2	283.929	12.5102	2.64536	9.04962	4.07348	8.22329	0.028549	107.039	12.3661	7.66183	1.29309	0.67207	0.717612	0.650704	19.7286	5.65702	0.515681	0.398257	5.30244	12.8678	29.092	0.764567	50.138	0.0799348	0.24549	0.121606	0.0629465	0.554959	0.218382	0.0355475	19.7286	29.092	0.764567	50.138	0.980525	0.00436577	4.74656e-05	3.1382e-05	7.41627e-05	1.03308e-05	0.000102003	0.0103373	0.00436394	0.000351145	0.650704	0.801245	0.3981	0.0629218	0.554741	0.218296	0.00750849	8.30542	0.0284822	0.771611	0.756584	15.131	1.47517	0.00479044	0.00033934
3	1372	7.20272	3.32281	14.8412	5.23946	13.0656	0.0274932	107.721	11.5138	7.92471	2.57545	0.350513	0.618007	0.429831	18.8622	4.16217	0.527216	0.42334	7.17936	11.7311	34.8655	0.792647	63.4247	0.138836	0.190859	0.0765369	0.0273347	0.239961	0.148321	0.0171359	18.8622	34.8655	0.792647	63.4247	0.97018	0.00900448	9.57932e-05	7.02677e-05	0.000208314	3.60301e-05	0.000217627	0.0169711	0.00384254	0.00038337	0.429831	0.640721	0.423241	0.0273283	0.239905	0.148286	0.00545387	13.0866	0.0109793	0.797859	0.774067	20.4436	1.95122	0.00440021	0.000368036
4	967.413	12.1401	3.21608	14.3787	4.96435	14.271	0.0306982	106.581	12.2298	8.7042	2.03439	0.535078	0.608346	0.460487	17.4334	5.1599	0.271404	0.381673	3.40609	12.4113	42.0292	0.619304	66.7354	0.0823716	0.201436	0.0700722	0.0373972	0.299031	0.192517	0.015673	17.4334	42.0292	0.619304	66.7354	0.971254	0.0123896	9.47439e-05	5.84243e-05	0.000204002	2.46381e-05	0.000248403	0.0120912	0.00396915	0.000377676	0.460487	0.810207	0.381541	0.0373842	0.298927	0.19245	0.00516377	11.4255	0.0126984	0.835028	0.811024	20.888	2.11262	0.00456861	0.000360148
5	1169.52	14.8719	2.80128	16.8708	2.87693	10.7342	0.0196087	111.736	12.8684	8.12878	2.07909	0.331909	0.686306	0.524156	19.8437	3.98362	0.699766	0.197226	6.46849	13.8929	33.2987	0.400454	62.208	0.0672409	0.347593	0.0931602	0.0280228	0.330099	0.15088	0.0154686	19.8437	33.2987	0.400454	62.208	0.961572	0.010955	6.21511e-05	1.52501e-05	0.000220225	1.15807e-05	0.000130963	0.0238199	0.00368145	0.000391884	0.524156	0.636338	0.197074	0.0280012	0.329845	0.150764	0.00606478	12.0577	0.00984327	0.78653	0.756305	14.9311	1.48627	0.00416128	0.000378876
6	117.952	12.4889	3.55584	9.18226	5.48432	11.2303	0.0319821	89.5906	12.1278	9.91955	1.56283	0.494312	0.663924	0.781024	17.9256	4.02801	0.130195	0.691314	8.24005	7.27788	36.3424	0.528086	60.0831	0.0800711	0.182338	0.0890448	0.0330847	0.424822	0.215043	0.0344827	17.9256	36.3424	0.528086	60.0831	0.984245	0.00552476	2.9993e-05	6.71339e-05	5.64343e-05	1.99139e-05	0.000148153	0.00550541	0.00420744	0.00028252	0.781024	0.968335	0.691259	0.0330821	0.424788	0.215026	0.00557751	8.23339	0.0333908	0.695006	0.684056	14.6283	1.34656	0.004621	0.000275922
7	1777.71	14.1366	2.67145	13.3551	4.64463	9.58757	0.022942	109.623	11.406	9.66126	2.02163	0.426238	0.727342	0.539584	18.5506	3.52124	0.783606	0.159241	3.73032	12.8538	27.4243	0.470767	65.9857	0.0707384	0.215302	0.104302	0.0320891	0.35978	0.13487	0.0208637	18.5506	27.4243	0.470767	65.9857	0.963946	0.00739926	0.00013368	2.53052e-05	0.000247724	1.14841e-05	0.000130825	0.0251596	0.00377165	0.000481635	0.539584	0.616652	0.1592	0.0320809	0.359688	0.134836	0.00823346	10.1009	0.0128656	0.80117	0.772285	17.2709	1.90058	0.00435325	0.000465812
8	473.678	16.8453	2.43885	12.188	5.58263	8.59202	0.0275183	100.912	13.9594	11.1543	1.78128	0.239628	0.666355	0.713926	17.5849	4.23629	0.32918	0.622326	5.27436	7.8659	33.9837	0.733021	49.3898	0.0593637	0.179127	0.116387	0.0143153	0.374088	0.187306	0.0232893	17.5849	33.9837	0.733021	49.3898	0.969432	0.0155105	4.47875e-05	7.35709e-05	7.85315e-05	2.47309e-05	0.000108046	0.010817	0.00394437	0.000314823	0.713926	0.895005	0.62194	0.0143064	0.373856	0.18719	0.00747789	11.2571	0.0208441	0.678762	0.658013	14.3485	1.36668	0.00436083	0.000307718
9	132.449	12.3409	4.21964	9.92511	5.78803	8.85939	0.0256457	93.7932	12.1426	3.33042	2.61483	0.20711	0.600187	0.596448	18.0547	3.84607	0.699321	0.541161	9.40035	9.49406	36.5167	0.512039	65.9169	0.0810314	0.17277	0.112875	0.037324	0.229532	0.152902	0.0479884	18.0547	36.5167	0.512039	65.9169	0.980335	0.00624082	7.52089e-05	8.86555e-05	9.76579e-05	4.19268e-05	0.000129182	0.00873417	0.00407028	0.000284017	0.596448	0.696712	0.541099	0.0373198	0.229506	0.152885	0.00700668	7.97068	0.0334341	0.814236	0.798224	18.9074	1.44988	0.00444629	0.000274679
