Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	9236.3	7.05546	4.41068	14.4574	4.00018	23.8225	0.0821562	83.6141	3.15564	4.31805	2.63271	0.43644	0.858385	0.578901	19.198	4.94292	0.0763855	0.183279	11.3663	4.22121	53.0386	0.571449	55.0947	0.141734	0.249989	0.0419771	0.0867599	0.326046	0.0537906	0.0128064	19.198	53.0386	0.571449	55.0947	0.970971	0.00386024	0.000117841	2.64446e-05	0.000246064	1.78257e-05	0.000838201	0.00954012	0.0136001	0.00182198	0.578901	0.959106	0.183279	0.0867599	0.326046	0.0537906	0.00551276	11.8484	0.0122827	0.92326	0.896458	51.6234	1e-15	0.00255521	0
1	9733.45	15.542	3.65155	11.4113	4.1786	7.05017	0.0615317	103.135	13.279	6.59567	2.24136	0.711809	0.707591	0.231258	18.6947	6.07663	0.0196358	0.537045	13.707	13.6868	37.8582	0.700571	13.4979	0.0643418	0.239315	0.141841	0.0763637	0.315697	0.130461	0.0453882	18.6947	37.8582	0.700571	13.4979	0.926322	0.00895069	6.37287e-05	7.3803e-05	8.06462e-05	4.23497e-05	0.000148811	0.0497546	0.0127057	0.00295398	0.231258	0.971658	0.536775	0.0763253	0.315539	0.130395	0.0181696	8.78461	0.0441018	0.82259	0.761983	200.274	35.5992	0.0157047	0.00290856
2	9753.85	18.6537	4.29169	19.1113	2.53996	21.1336	0.0691637	83.8753	3.53442	8.1747	2.4925	0.701127	0.723568	0.538627	18.1306	4.49024	0.33444	0.176293	13.8576	5.73934	40.5331	0.469071	90.185	0.0536087	0.393707	0.047318	0.0620589	0.290298	0.110906	0.0106259	18.1306	40.5331	0.469071	90.185	0.953312	0.0167866	7.04503e-05	1.50781e-05	0.000281788	1.51294e-05	0.000608687	0.0149581	0.0132496	0.00180049	0.538627	0.813078	0.176293	0.0620589	0.290298	0.110906	0.00622473	14.2075	0.00863966	0.924403	0.881245	224.658	37.3953	0.0153946	0.00177753
3	9659.01	11.7694	3.98306	18.0577	4.0264	20.4275	0.0892227	84.398	3.78478	4.37651	2.22423	0.615925	0.735502	0.623786	17.1232	5.4864	0.313796	0.0816445	13.6653	6.17089	36.7532	0.535564	37.064	0.0849661	0.248361	0.0489536	0.10351	0.330677	0.118917	0.0107979	17.1232	36.7532	0.535564	37.064	0.974081	0.00304397	9.30357e-05	8.27115e-06	0.000172363	4.76395e-06	0.000526468	0.00957182	0.0117549	0.00183033	0.623786	0.862349	0.0816445	0.10351	0.330677	0.118917	0.00734927	14.9025	0.00931155	0.835845	0.814181	217.872	38.7753	0.0138344	0.00180494
4	6138.49	8.08019	4.21066	14.7733	2.76585	20.6359	0.0742941	84.5547	3.07225	4.23458	2.38816	0.620443	0.636954	0.686384	16.7807	4.0371	0.276756	0.195456	9.4082	3.37877	55.6522	0.439494	29.6134	0.123759	0.361553	0.0484592	0.0933253	0.266713	0.152019	0.0138118	16.7807	55.6522	0.439494	29.6134	0.969037	0.00437891	7.01011e-05	1.70304e-05	0.000204098	1.53491e-05	0.000652031	0.0109991	0.0135457	0.00177147	0.686384	0.901092	0.195456	0.0933253	0.266713	0.152019	0.00620978	12.1764	0.0124457	0.859919	0.833294	236.069	38.3344	0.0157742	0.00175758
5	9793.88	8.12836	3.69469	14.3686	3.64199	16.8856	0.0707928	83.2501	3.21482	7.76646	2.37274	0.577999	0.880283	0.660152	18.4451	4.25604	0.525111	0.261619	11.3659	5.26258	57.0863	0.601707	59.4006	0.123026	0.274575	0.0592221	0.0655128	0.370999	0.0504552	0.0152281	18.4451	57.0863	0.601707	59.4006	0.961459	0.00693276	0.000102601	3.63529e-05	0.000249674	2.43546e-05	0.000498883	0.0154315	0.0144428	0.001925	0.660152	0.804069	0.261619	0.0655128	0.370999	0.0504552	0.0076601	12.4237	0.0122445	0.900498	0.865792	247.413	37.0417	0.0166674	0.00190399
6	6631.31	7.01542	4.26805	11.6558	3.5424	8.66435	0.0569056	96.8382	9.83864	6.18522	1.86433	0.375414	0.947116	0.345214	18.8042	5.25506	0.548894	0.288349	9.87741	11.2485	35.1861	0.551955	6.21496	0.142543	0.282294	0.115415	0.0574855	0.50802	0.0283662	0.0422621	18.8042	35.1861	0.551955	6.21496	0.937085	0.00278425	7.44614e-05	3.01692e-05	0.00014583	1.67765e-05	0.000167138	0.0447765	0.0131541	0.00251254	0.345214	0.557776	0.288344	0.0574845	0.50801	0.0283657	0.014505	8.2363	0.0235728	0.799132	0.748854	174.669	29.7773	0.0157379	0.0024803
7	5363.19	11.2838	4.47134	13.7651	3.61764	7.03837	0.0621141	104.247	12.5048	5.53877	1.19408	0.616198	0.782479	0.317425	16.9103	4.82285	0.465266	0.271612	10.9319	13.9834	40.9832	0.585912	8.17717	0.0886226	0.276423	0.142078	0.0870522	0.655299	0.182166	0.0461515	16.9103	40.9832	0.585912	8.17717	0.931285	0.00449729	8.29564e-05	3.09125e-05	0.000113854	1.0555e-05	0.000124503	0.0504934	0.010798	0.00316737	0.317425	0.586314	0.271519	0.0870223	0.655074	0.182104	0.0206651	9.87445	0.0270593	0.849614	0.791233	180.63	33.6206	0.0139633	0.00312341
8	9931.8	16.2054	4.30189	13.6594	3.33366	21.7031	0.0712631	82.8561	2.63092	8.11667	1.99149	0.793835	0.680085	0.548184	18.7679	4.90776	0.144842	0.248174	13.7354	4.4538	60.8867	0.560828	62.1686	0.0617078	0.299971	0.0460764	0.0665144	0.341496	0.160641	0.0145113	18.7679	60.8867	0.560828	62.1686	0.958038	0.012706	9.20617e-05	3.03891e-05	0.000259336	1.82922e-05	0.000642879	0.0137175	0.0137682	0.00184533	0.548184	0.916612	0.248174	0.0665144	0.341496	0.160641	0.00606193	10.9491	0.0133012	0.972485	0.931677	228.124	37.2423	0.0160064	0.00182733
9	9888.01	15.2584	4.10189	13.8676	2.26302	21.0702	0.0680056	83.3995	3.30688	8.81881	2.23516	0.778542	0.663484	0.651019	19.1649	4.88124	0.784096	0.216764	13.5956	5.64127	39.4876	0.385317	55.1942	0.0655377	0.441887	0.0474604	0.0585737	0.29684	0.150556	0.0140383	19.1649	39.4876	0.385317	55.1942	0.957028	0.0119636	4.65523e-05	1.28836e-05	0.000239859	1.33236e-05	0.000567082	0.0159189	0.0134694	0.00185375	0.651019	0.714232	0.216764	0.0585737	0.29684	0.150556	0.00634753	10.8928	0.0100266	0.806754	0.772086	199.819	36.244	0.0156701	0.00183212
