"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,2.22216149999995e-10
7,"CumDeath",0,0,0,0,0,0,2.93973900000001e-09,1.706711e-08,4.06444049999999e-08
8,"CumDeath",0,0,0,0,0,9.60663e-09,5.846832e-08,1.1903845e-07,1.7094445e-07
9,"CumDeath",0,0,0,0,1.34809e-08,7.36145e-08,1.730717e-07,2.885281e-07,4.158026e-07
10,"CumDeath",0,0,0,1.931945e-08,8.995035e-08,1.9732775e-07,3.339889e-07,5.21807599999999e-07,7.0146695e-07
11,"CumDeath",0,1.1927195e-08,3.652424e-08,1.052745e-07,2.13327e-07,3.8076475e-07,5.713754e-07,8.03810199999997e-07,1.0076638e-06
12,"CumDeath",3.46702875e-08,5.9622925e-08,1.072101e-07,2.053975e-07,3.600435e-07,5.9835625e-07,8.808998e-07,1.132105e-06,1.4046685e-06
13,"CumDeath",8.69190825e-08,1.3693385e-07,1.88961e-07,3.47865e-07,5.393765e-07,8.307715e-07,1.295242e-06,1.571053e-06,1.8544855e-06
14,"CumDeath",1.32538375e-07,2.121052e-07,3.050845e-07,4.781185e-07,7.59873e-07,1.0965425e-06,1.706353e-06,1.9999465e-06,2.5171405e-06
15,"CumDeath",1.9470355e-07,2.9972245e-07,4.228884e-07,6.38667e-07,9.952445e-07,1.44181e-06,2.119378e-06,2.5378875e-06,3.24121075e-06
16,"CumDeath",2.69608375e-07,4.0184e-07,5.578355e-07,8.5498075e-07,1.28141e-06,1.812285e-06,2.636574e-06,3.160978e-06,4.15763825e-06
17,"CumDeath",3.6455865e-07,5.348553e-07,7.567993e-07,1.084925e-06,1.611535e-06,2.2828175e-06,3.199893e-06,3.771836e-06,5.20990075e-06
18,"CumDeath",4.887897e-07,6.93876e-07,9.624463e-07,1.3792275e-06,1.95313e-06,2.821115e-06,3.827821e-06,4.531727e-06,6.2784765e-06
19,"CumDeath",6.528384e-07,9.0300885e-07,1.219866e-06,1.723905e-06,2.37862e-06,3.36239e-06,4.522633e-06,5.280159e-06,7.142621e-06
20,"CumDeath",8.790199e-07,1.1753065e-06,1.537107e-06,2.1228725e-06,2.869805e-06,4.01566e-06,5.357757e-06,6.21159749999999e-06,8.07332074999999e-06
21,"CumDeath",1.22824875e-06,1.520372e-06,1.921311e-06,2.576565e-06,3.460245e-06,4.7673325e-06,6.410736e-06,7.420069e-06,9.26810375e-06
22,"CumDeath",1.63296925e-06,1.9240585e-06,2.37817e-06,3.1387675e-06,4.173665e-06,5.65713e-06,7.392441e-06,8.6154775e-06,1.046648e-05
23,"CumDeath",2.150018e-06,2.449545e-06,2.918464e-06,3.80752e-06,4.980975e-06,6.6586575e-06,8.625287e-06,9.997998e-06,1.1753685e-05
24,"CumDeath",2.74025075e-06,3.1122735e-06,3.60063e-06,4.625555e-06,5.927065e-06,7.850615e-06,1.000281e-05,1.158056e-05,1.356081e-05
25,"CumDeath",3.41033525e-06,3.8991805e-06,4.368658e-06,5.5861925e-06,7.03562e-06,9.2780075e-06,1.161086e-05,1.340136e-05,1.565636e-05
26,"CumDeath",4.275308e-06,4.7480585e-06,5.396326e-06,6.7325525e-06,8.435675e-06,1.0873175e-05,1.343257e-05,1.543423e-05,1.78491575e-05
27,"CumDeath",5.298867e-06,5.85021e-06,6.540815e-06,8.0486075e-06,9.909535e-06,1.275055e-05,1.549415e-05,1.770825e-05,1.97925825e-05
28,"CumDeath",6.46563625e-06,7.1409325e-06,7.924116e-06,9.5668625e-06,1.1636e-05,1.483245e-05,1.770286e-05,2.002692e-05,2.22912825e-05
29,"CumDeath",7.8844635e-06,8.6743785e-06,9.459625e-06,1.1252125e-05,1.351415e-05,1.71856e-05,2.021472e-05,2.2772305e-05,2.5072855e-05
30,"CumDeath",9.43066725e-06,1.0230355e-05,1.123906e-05,1.324745e-05,1.56425e-05,1.95844e-05,2.28595e-05,2.568975e-05,2.81453e-05
31,"CumDeath",1.11893325e-05,1.2006095e-05,1.325154e-05,1.529185e-05,1.802975e-05,2.2212175e-05,2.578241e-05,2.867048e-05,3.12010125e-05
32,"CumDeath",1.3105305e-05,1.4113915e-05,1.537414e-05,1.750075e-05,2.06038e-05,2.49282e-05,2.877798e-05,3.1604565e-05,3.44039325e-05
33,"CumDeath",1.50849875e-05,1.613591e-05,1.742883e-05,1.99044e-05,2.32003e-05,2.791145e-05,3.190111e-05,3.5023895e-05,3.754342e-05
34,"CumDeath",1.7218405e-05,1.850018e-05,1.998516e-05,2.2586775e-05,2.60307e-05,3.1005525e-05,3.538249e-05,3.829747e-05,4.11101675e-05
35,"CumDeath",1.93150475e-05,2.100571e-05,2.251428e-05,2.5326225e-05,2.89628e-05,3.4053375e-05,3.895488e-05,4.1909055e-05,4.47331125e-05
36,"CumDeath",2.15534475e-05,2.3427975e-05,2.48659e-05,2.81111e-05,3.203565e-05,3.728835e-05,4.250974e-05,4.5753995e-05,4.844586e-05
37,"CumDeath",2.3881355e-05,2.583267e-05,2.747256e-05,3.0967225e-05,3.513525e-05,4.065495e-05,4.590277e-05,4.9427655e-05,5.1802655e-05
38,"CumDeath",2.638857e-05,2.852603e-05,3.009358e-05,3.37701e-05,3.82339e-05,4.40414e-05,4.934738e-05,5.3555725e-05,5.5230775e-05
39,"CumDeath",2.888091e-05,3.094184e-05,3.253785e-05,3.66209e-05,4.14467e-05,4.7511675e-05,5.308415e-05,5.7529595e-05,5.88867125e-05
40,"CumDeath",3.14459325e-05,3.351506e-05,3.534897e-05,3.939935e-05,4.442945e-05,5.085805e-05,5.692762e-05,6.099806e-05,6.271116e-05
41,"CumDeath",3.3939845e-05,3.6008105e-05,3.803862e-05,4.222025e-05,4.760925e-05,5.423775e-05,6.034145e-05,6.4561565e-05,6.67734875e-05
42,"CumDeath",3.6491975e-05,3.865777e-05,4.07277e-05,4.517325e-05,5.07878e-05,5.7452475e-05,6.368632e-05,6.7816815e-05,7.088442e-05
43,"CumDeath",3.9025285e-05,4.1034875e-05,4.349863e-05,4.797155e-05,5.39291e-05,6.068755e-05,6.71717e-05,7.0731115e-05,7.4708355e-05
44,"CumDeath",4.15612175e-05,4.33193e-05,4.607037e-05,5.086195e-05,5.695575e-05,6.38701e-05,7.061014e-05,7.4694785e-05,7.86628325e-05
45,"CumDeath",4.40962825e-05,4.5622855e-05,4.866556e-05,5.3507575e-05,6.00201e-05,6.7220525e-05,7.399092e-05,7.8142285e-05,8.25887625e-05
46,"CumDeath",4.64221725e-05,4.8053595e-05,5.117786e-05,5.63902e-05,6.295425e-05,7.0470525e-05,7.739367e-05,8.1469855e-05,8.6443225e-05
47,"CumDeath",4.85941275e-05,5.0452755e-05,5.366841e-05,5.9167875e-05,6.590475e-05,7.3616375e-05,8.064704e-05,8.45652e-05,9.0117455e-05
48,"CumDeath",5.067939e-05,5.286889e-05,5.612357e-05,6.196995e-05,6.862275e-05,7.6658475e-05,8.368985e-05,8.7557735e-05,9.351665e-05
49,"CumDeath",5.27466375e-05,5.5245985e-05,5.849015e-05,6.4569925e-05,7.149545e-05,7.953445e-05,8.670858e-05,9.0363505e-05,9.68265525e-05
50,"CumDeath",5.4793065e-05,5.759611e-05,6.087266e-05,6.70479e-05,7.415835e-05,8.2308125e-05,8.975035e-05,9.3241775e-05,9.9898835e-05
51,"CumDeath",5.69554425e-05,6.001364e-05,6.316864e-05,6.96765e-05,7.7102e-05,8.5145e-05,9.274665e-05,9.6380165e-05,0.0001026691
52,"CumDeath",5.9139445e-05,6.2290735e-05,6.5486e-05,7.222965e-05,7.97872e-05,8.7792925e-05,9.574912e-05,9.9561925e-05,0.000105352575
53,"CumDeath",6.1357685e-05,6.4471045e-05,6.77434e-05,7.4610275e-05,8.240915e-05,9.0588625e-05,9.872224e-05,0.00010267785,0.0001081058
54,"CumDeath",6.36091375e-05,6.6674755e-05,6.988646e-05,7.70509e-05,8.49963e-05,9.35774e-05,0.000101389,0.00010572415,0.000111023275
55,"CumDeath",6.56632425e-05,6.874187e-05,7.199854e-05,7.9661275e-05,8.72809e-05,9.602655e-05,0.0001040031,0.00010870165,0.000113837675
56,"CumDeath",6.75044575e-05,7.060196e-05,7.40262e-05,8.190765e-05,8.954445e-05,9.8402025e-05,0.0001066953,0.00011161015,0.000116581875
57,"CumDeath",6.9303845e-05,7.218829e-05,7.599136e-05,8.40351e-05,9.175585e-05,0.0001008895,0.0001090362,0.00011441495,0.000119440475
58,"CumDeath",7.11334725e-05,7.4114155e-05,7.7925e-05,8.61146e-05,9.401325e-05,0.00010320775,0.0001113507,0.0001169683,0.00012219905
