"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 9604.28 9.66399 3.93483 15.7309 4.72832 8.28397 0.010119 103.82 12.3447 7.59183 1.73906 0.410053 0.0934111 0.782199 0.405554 18.8158 5.50579 0.60217 0.15151 6.71104 10.7555 59.901 0.873938 42.6528 17.1036 2.05251 -53.67265 -1304.789 -1358.462
66300 5714.26 8.62317 3.65134 17.0274 5.2101 7.53309 0.0115594 102.356 11.5985 7.51442 1.04909 0.392891 0.0708415 0.679533 0.385446 21.4196 6.17603 0.353743 0.309654 8.26578 8.5776 56.5131 0.905036 42.4674 13.7102 2.04308 -54.26447 -1303.493 -1357.757
200000 1035.95 12.0158 3.75261 15.5272 4.00108 6.14365 0.0183243 105.928 12.9561 9.63413 2.24933 0.0253902 0.560512 0.756141 0.481771 18.9283 6.09956 0.718832 0.282175 4.92697 9.26246 39.8962 1.00819 52.4906 13.0325 1.88465 -50.05083 -1309.508 -1359.559
161800 3732.35 14.7505 3.44335 10.3658 3.78325 6.4159 0.0126284 105.017 11.4597 11.6863 1.58305 0.423476 0.304088 0.857584 0.434446 18.9341 4.28098 0.477457 0.170308 3.50863 8.61161 58.3267 0.869241 52.9579 16.8837 2.51394 -51.56155 -1306.27 -1357.831
170600 628.783 17.4438 3.80635 17.9602 2.43249 5.59362 0.0069695 102.373 13.1672 8.0513 1.30426 0.458824 0.051803 0.672343 0.397784 22.0062 6.30561 0.340377 0.179692 10.2378 6.59766 53.792 0.583463 57.0908 17.2986 2.53127 -54.08932 -1304.651 -1358.74
168200 801.461 19.2855 4.31567 7.57222 3.44439 6.97168 0.0149715 104.611 10.2019 8.59251 1.26124 0.295872 0.312823 0.771497 0.361707 21.1315 6.4647 0.475531 0.272828 2.2641 7.05361 36.0677 0.642025 57.613 15.5523 1.49633 -48.85367 -1311.212 -1360.066
67100 3265.03 17.4889 3.62959 8.35127 4.08691 5.97278 0.0119987 102.084 12.0008 8.60953 2.02709 0.474323 0.215518 0.704937 0.387347 18.524 5.06015 0.315751 0.232568 4.31383 9.8079 55.1988 0.655897 46.0303 18.2688 2.06096 -48.70376 -1304.921 -1353.625
106100 5369.74 13.9572 3.00699 11.009 3.98092 7.10722 0.0113894 102.108 12.4199 6.84643 2.00153 0.115495 0.103616 0.64014 0.365022 20.4898 5.05088 0.11616 0.278017 9.33703 9.05541 45.5958 0.726351 57.4756 13.6966 2.55742 -49.67145 -1306.822 -1356.494
168900 3593.01 10.2502 3.70708 9.70286 3.89911 5.07331 0.0103611 104.244 10.209 11.7193 1.23514 0.27251 0.0867892 0.760616 0.36548 16.0587 5.86145 0.351944 0.287013 3.31865 7.90023 47.8177 0.640379 56.7913 15.4386 2.73324 -49.37722 -1307.165 -1356.542
47000 1496.3 13.0125 3.59473 14.5653 4.49061 8.7075 0.0221905 103.243 11.8539 8.24613 1.90982 0.187947 0.637703 0.913449 0.421456 20.5414 3.11589 0.229272 0.209095 2.8345 5.36374 48.2993 0.912786 60.4032 18.1596 2.20291 -51.03182 -1314.971 -1366.003
64700 7532.95 12.5246 3.26769 12.7368 5.63304 5.01193 0.00885737 104.91 13.3212 10.6381 1.29464 0.457517 0.382208 0.678577 0.341463 19.355 5.7936 0.166464 0.110175 9.78038 12.1245 57.8151 0.552459 37.8219 15.9229 2.16433 -54.34145 -1303.679 -1358.02
