Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	9604.28	9.66399	3.93483	15.7309	4.72832	8.28397	0.010119	103.82	12.3447	7.59183	1.73906	0.410053	0.0934111	0.782199	0.405554	18.8158	5.50579	0.60217	0.15151	6.71104	10.7555	59.901	0.873938	42.6528	0.103477	0.211492	0.120715	0.0096243	0.449783	0.125241	0.0301949	18.8158	59.901	0.873938	42.6528	0.792968	0.101856	0.00559295	0.000998169	0.00442	0.000207472	0.000866518	0.084484	0.00518093	0.000396959	0.405554	0.580736	0.151465	0.00962143	0.449648	0.125203	0.00714356	14.5521	0.0175353	1.71557	1.36039	1090.47	1e-15	0.00405422	0
1	5714.26	8.62317	3.65134	17.0274	5.2101	7.53309	0.0115594	102.356	11.5985	7.51442	1.04909	0.392891	0.0708415	0.679533	0.385446	21.4196	6.17603	0.353743	0.309654	8.26578	8.5776	56.5131	0.905036	42.4674	0.115967	0.191935	0.132748	0.00640623	0.647736	0.305471	0.0284663	21.4196	56.5131	0.905036	42.4674	0.809476	0.11185	0.00337112	0.00151155	0.00238184	0.000180317	0.000796211	0.0626633	0.0055848	0.000352277	0.385446	0.713736	0.309606	0.00640523	0.647634	0.305424	0.00665411	16.0337	0.0203174	1.64688	1.33311	1507.23	48.6758	0.00662024	0.0003118
2	1035.95	12.0158	3.75261	15.5272	4.00108	6.14365	0.0183243	105.928	12.9561	9.63413	2.24933	0.0253902	0.560512	0.756141	0.481771	18.9283	6.09956	0.718832	0.282175	4.92697	9.26246	39.8962	1.00819	52.4906	0.0832238	0.249933	0.16277	0.0439922	0.336163	0.108414	0.0393381	18.9283	39.8962	1.00819	52.4906	0.929148	0.0415153	0.000965284	0.000379069	0.00103867	0.000199128	0.000587356	0.0202393	0.00559123	0.000378435	0.481771	0.591583	0.282029	0.0439695	0.335989	0.108358	0.00857997	15.5931	0.0232718	1.26886	1.17896	1265.81	48.4959	0.00634294	0.000335979
3	3732.35	14.7505	3.44335	10.3658	3.78325	6.4159	0.0126284	105.017	11.4597	11.6863	1.58305	0.423476	0.304088	0.857584	0.434446	18.9341	4.28098	0.477457	0.170308	3.50863	8.61161	58.3267	0.869241	52.9579	0.0677943	0.264323	0.155863	0.0223151	0.541729	0.089963	0.0517751	18.9341	58.3267	0.869241	52.9579	0.858391	0.0648487	0.00403015	0.000827008	0.00281508	0.0001881	0.000802039	0.0598092	0.00546042	0.000373698	0.434446	0.67163	0.170278	0.0223111	0.541633	0.0899471	0.00829463	9.59924	0.0347737	1.64868	1.41521	1826.97	53.881	0.00643096	0.00032566
4	628.783	17.4438	3.80635	17.9602	2.43249	5.59362	0.0069695	102.373	13.1672	8.0513	1.30426	0.458824	0.051803	0.672343	0.397784	22.0062	6.30561	0.340377	0.179692	10.2378	6.59766	53.792	0.583463	57.0908	0.057327	0.411101	0.178775	0.00432593	0.515498	0.251221	0.0378883	22.0062	53.792	0.583463	57.0908	0.711685	0.154554	0.00391294	0.000856584	0.00416193	0.000241716	0.000659902	0.113463	0.00575444	0.000373754	0.397784	0.730683	0.179612	0.00432401	0.515269	0.251109	0.00935658	13.455	0.0276843	1.68749	1.20097	1607.94	58.6596	0.00662937	0.000336823
5	801.461	19.2855	4.31567	7.57222	3.44439	6.97168	0.0149715	104.611	10.2019	8.59251	1.26124	0.295872	0.312823	0.771497	0.361707	21.1315	6.4647	0.475531	0.272828	2.2641	7.05361	36.0677	0.642025	57.613	0.0518524	0.290327	0.143437	0.0280875	0.611697	0.181173	0.08175	21.1315	36.0677	0.642025	57.613	0.914244	0.0397734	0.00131622	0.000493775	0.00139864	0.000124154	0.000671382	0.0351376	0.00562723	0.000336505	0.361707	0.616574	0.272812	0.0280858	0.611661	0.181163	0.0068266	5.84202	0.0504049	1.32074	1.20748	1325.49	45.9163	0.00654836	0.000306552
6	3265.03	17.4889	3.62959	8.35127	4.08691	5.97278	0.0119987	102.084	12.0008	8.60953	2.02709	0.474323	0.215518	0.704937	0.387347	18.524	5.06015	0.315751	0.232568	4.31383	9.8079	55.1988	0.655897	46.0303	0.0571791	0.244684	0.167426	0.0176463	0.347758	0.14556	0.072766	18.524	55.1988	0.655897	46.0303	0.840506	0.0712321	0.0042814	0.00129697	0.00256368	0.000319757	0.000754148	0.0699013	0.0057651	0.000378709	0.387347	0.741212	0.23252	0.0176427	0.347687	0.14553	0.00892535	6.59069	0.053935	1.54781	1.30094	1762.61	56.9075	0.0067153	0.000322168
7	5369.74	13.9572	3.00699	11.009	3.98092	7.10722	0.0113894	102.108	12.4199	6.84643	2.00153	0.115495	0.103616	0.64014	0.365022	20.4898	5.05088	0.11616	0.278017	9.33703	9.05541	45.5958	0.726351	57.4756	0.0716476	0.251198	0.140702	0.00968808	0.319825	0.179792	0.0384312	20.4898	45.5958	0.726351	57.4756	0.877081	0.0661169	0.00218487	0.000840888	0.00271115	0.000354486	0.000785619	0.0439209	0.00557051	0.000374517	0.365022	0.889527	0.277941	0.00968543	0.319738	0.179743	0.0075223	9.09606	0.0341856	1.50486	1.31989	1556.73	52.3269	0.00651649	0.000327724
8	3593.01	10.2502	3.70708	9.70286	3.89911	5.07331	0.0103611	104.244	10.209	11.7193	1.23514	0.27251	0.0867892	0.760616	0.36548	16.0587	5.86145	0.351944	0.287013	3.31865	7.90023	47.8177	0.640379	56.7913	0.0975591	0.256469	0.19711	0.00563287	0.615814	0.193811	0.0753079	16.0587	47.8177	0.640379	56.7913	0.893364	0.0341458	0.00208722	0.000840108	0.00169218	0.000187439	0.000534435	0.0606092	0.00559576	0.000339876	0.36548	0.701702	0.286997	0.00563255	0.615778	0.1938	0.00896751	7.4888	0.0528437	1.40256	1.253	1450.77	44.6999	0.00643986	0.000305957
9	1496.3	13.0125	3.59473	14.5653	4.49061	8.7075	0.0221905	103.243	11.8539	8.24613	1.90982	0.187947	0.637703	0.913449	0.421456	20.5414	3.11589	0.229272	0.209095	2.8345	5.36374	48.2993	0.912786	60.4032	0.0768492	0.222687	0.114844	0.0706403	0.478291	0.0453189	0.0283435	20.5414	48.2993	0.912786	60.4032	0.936964	0.0384524	0.00151807	0.000401186	0.00123226	0.000129494	0.000943334	0.0142162	0.0054428	0.00030044	0.421456	0.820288	0.209052	0.0706259	0.478193	0.0453097	0.00542269	13.8304	0.0232498	1.52979	1.43335	1638.3	48.843	0.0064528	0.000275602
