"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 2625.22 19.1373 2.87433 11.1035 2.99153 5.68279 0.00705883 105.234 11.3664 8.3866 2.61035 0.535114 0.0399489 0.761708 0.279234 21.0912 4.30549 0.0934525 0.34166 1.76504 6.91212 32.8325 1.06574 63.3263 4.21556 1.70214 -51.22249 -1013.237 -1064.46
66300 1571.88 19.4601 3.25806 7.18349 3.65588 5.28068 0.010965 103.124 8.75967 9.7746 1.11089 0.468283 0.0186901 0.853372 0.27248 18.9747 3.50441 0.153686 0.45134 2.55441 4.91161 37.6537 1.07334 49.051 4.13965 1.80616 -50.897 -1013.758 -1064.655
200000 780.285 8.60428 3.86119 10.2317 3.34311 6.42985 0.0049975 104.789 9.40688 6.74106 2.11553 0.216787 0.220681 0.647476 0.246968 21.2261 5.27282 0.305307 0.136032 2.43105 6.00592 35.2448 0.718503 41.9133 3.98706 1.201 -41.92183 -1016.302 -1058.224
161800 1633.08 7.61388 3.64644 16.0185 3.17012 7.5312 0.00918128 104.558 8.87545 11.6173 1.31105 0.126179 0.0691515 0.709729 0.143529 21.9005 4.59211 0.148498 0.400586 13.4061 6.57605 26.4703 1.00822 57.3408 4.70959 1.3549 -49.94971 -1016.393 -1066.343
170600 1351.39 9.02607 2.96274 8.34442 3.80347 6.17466 0.00956599 104.206 13.3378 10.2234 1.68118 0.271056 0.130902 0.909968 0.353148 20.7398 4.16561 0.319361 0.265799 7.37869 9.64459 35.8462 0.98522 46.1161 3.22621 1.15934 -48.05222 -1020.813 -1068.865
168200 1217.37 8.46002 3.93017 18.2519 3.42633 7.97907 0.00679099 101.103 8.57493 5.73602 1.17681 0.453929 0.119275 0.64631 0.241773 22.4777 5.32385 0.338143 0.204929 1.77027 2.98258 28.4441 0.879405 52.6102 4.19821 1.43602 -46.05053 -1019.928 -1065.979
67100 531.743 10.2207 4.42621 15.4331 3.13322 9.61152 0.00461852 104.092 10.8669 3.23983 1.35974 0.0838462 0.0614015 0.741279 0.232321 24.198 5.94194 0.423751 0.132129 4.10516 3.45496 34.5072 0.801521 36.7258 5.23611 1.21156 -48.6356 -1019.939 -1068.575
106100 900.258 15.7554 4.1777 14.6229 5.306 5.11894 0.00886297 103.731 8.91105 8.54448 1.62291 0.275846 0.174449 0.831272 0.214149 18.3125 4.46566 0.23165 0.392513 3.57374 3.84815 35.1447 0.885219 49.2716 4.02923 1.74654 -46.15543 -1017.568 -1063.724
168900 501.626 12.733 3.76259 12.7678 2.60907 8.63496 0.0113359 104.975 11.171 5.94712 2.02729 0.258993 0.307622 0.69324 0.31108 21.866 6.09344 0.478458 0.127349 3.99645 8.70372 28.254 0.989999 49.132 4.32196 0.933593 -44.72013 -1021.785 -1066.505
47000 2169.25 15.4126 3.12284 12.2728 4.62514 6.42511 0.00573662 105.807 11.4673 5.61202 2.69285 0.417365 0.0513097 0.788307 0.217915 24.7182 5.23142 0.0997672 0.249885 5.36514 3.66578 33.7418 0.810909 41.5907 4.48974 1.25119 -48.90432 -1015.561 -1064.465
