Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	3225.57	14.1128	3.06579	8.16774	3.26729	8.4282	0.00476694	99.977	11.0945	10.5374	2.95006	0.427605	0.420685	0.625535	0.32559	15.3597	4.03825	0.275354	0.179841	6.35599	6.8841	44.38	0.909935	36.7306	0.0708577	0.306064	0.118649	0.0249733	0.212041	0.126935	0.0445354	15.3597	44.38	0.909935	36.7306	0.894906	0.0588576	0.00282561	0.000619501	0.00278067	0.000291485	0.000836257	0.0334409	0.00319149	7.43804e-05	0.32559	0.734196	0.179826	0.0249711	0.212023	0.126924	0.00225945	7.67163	0.0326977	1.56142	1.39732	260.663	1e-15	0.0017726	0
1	7842.98	7.90737	2.6762	12.0059	4.14414	10.5826	0.00395078	104.43	12.5501	5.91682	1.69907	0.117941	0.0616955	0.713086	0.233187	17.4475	2.956	0.159474	0.23523	3.58302	5.98252	31.097	1.08274	64.6591	0.126464	0.241305	0.0944947	0.00743545	0.419692	0.168865	0.0210635	17.4475	31.097	1.08274	64.6591	0.912378	0.0533072	0.00170456	0.000523948	0.00272137	0.000180274	0.000747557	0.0270559	0.00267314	6.39575e-05	0.233187	0.792803	0.235146	0.00743278	0.419542	0.168805	0.00170079	12.7676	0.0166992	1.61475	1.47326	395.156	4.41355	0.0034163	5.70479e-05
2	1538.6	15.1407	2.93632	14.7618	4.70274	7.2897	0.0075297	104.038	12.2927	7.49938	1.51116	0.378159	0.515648	0.756082	0.351181	19.7006	5.06871	0.38944	0.164476	5.59891	7.3699	29.0069	1.03294	46.2509	0.0660471	0.212642	0.13718	0.0519873	0.500332	0.161411	0.0272869	19.7006	29.0069	1.03294	46.2509	0.928439	0.0455575	0.00164861	0.000324361	0.00101919	6.25429e-05	0.000508401	0.0187846	0.0029602	8.22872e-05	0.351181	0.665291	0.164428	0.051972	0.500185	0.161364	0.00298209	15.0773	0.0181537	1.38233	1.28341	325.972	5.27588	0.00327454	7.21357e-05
3	2170.26	13.8753	3.0561	14.9947	5.99724	5.22509	0.00763179	95.9421	12.8871	6.2381	2.16528	0.310729	0.137119	0.633983	0.289474	15.7181	4.31817	0.133368	0.298323	5.55397	9.97418	36.241	0.795805	48.6488	0.0720705	0.166743	0.191384	0.0139355	0.292795	0.169039	0.0390064	15.7181	36.241	0.795805	48.6488	0.905549	0.059794	0.00250365	0.00106387	0.00122572	0.000249216	0.000395003	0.0259396	0.00284252	0.000115493	0.289474	0.84761	0.298255	0.0139323	0.292728	0.169001	0.00637608	12.8192	0.0330622	1.48136	1.34145	368.629	7.76958	0.00326583	9.38814e-05
4	1152.16	19.7627	2.8085	11.7824	3.09158	7.58969	0.00706319	96.0721	8.79082	11.0363	2.75719	0.236171	0.256503	0.77775	0.307956	17.8478	3.97596	0.104885	0.317566	5.91977	4.19159	28.1666	0.869109	50.1725	0.0506004	0.323459	0.131758	0.0180763	0.282081	0.0806074	0.0314063	17.8478	28.1666	0.869109	50.1725	0.91382	0.0639496	0.000877321	0.000408251	0.00122725	0.000259494	0.000587527	0.0154925	0.00295942	7.3389e-05	0.307956	0.883792	0.317565	0.0180762	0.282079	0.0806071	0.00288789	10.7151	0.0277566	1.3985	1.27798	388.226	6.35979	0.00349915	6.6692e-05
5	6124.08	16.2124	2.46475	13.1899	4.33696	9.15229	0.00359947	94.0716	12.974	6.37888	2.48845	0.564331	0.074875	0.760317	0.321857	22.3218	3.28729	0.0717919	0.118644	4.6343	1.85346	23.2873	0.869649	78.6001	0.0616812	0.230576	0.109262	0.00892457	0.305538	0.0963182	0.0204175	22.3218	23.2873	0.869649	78.6001	0.792409	0.126008	0.00634831	0.000854291	0.004323	0.000200229	0.000696112	0.0608614	0.00292007	7.87639e-05	0.321857	0.921837	0.118619	0.0089227	0.305475	0.0962981	0.0025683	12.024	0.0188216	1.76552	1.39901	399.107	7.10629	0.00352824	7.55315e-05
6	2649.92	18.7723	2.8321	11.445	3.98756	9.44789	0.00712911	99.6199	10.4077	10.0945	1.09446	0.18278	0.128412	0.756885	0.26788	20.5756	2.89255	0.207643	0.308855	8.1256	8.05556	31.9451	1.14541	45.1965	0.05327	0.25078	0.105844	0.00962832	0.69156	0.222132	0.0261914	20.5756	31.9451	1.14541	45.1965	0.87869	0.0947489	0.00124963	0.000558374	0.00180794	0.000121989	0.000751814	0.0189911	0.00299127	9.0188e-05	0.26788	0.760704	0.308841	0.0096279	0.69153	0.222123	0.00265455	12.6634	0.0199239	1.53528	1.34904	414.61	6.72177	0.00370646	7.5797e-05
7	8550.82	16.6791	2.5927	14.9495	5.22868	7.13318	0.0029348	104.821	12.2844	5.6043	1.22535	0.160846	0.0817503	0.619385	0.345544	16.0779	4.60325	0.296153	0.101207	2.85082	8.97729	43.3597	1.22845	49.7872	0.0599553	0.191253	0.14019	0.00903501	0.505476	0.310617	0.0243132	16.0779	43.3597	1.22845	49.7872	0.79075	0.128734	0.00893314	0.00100536	0.00768686	0.000189872	0.000902009	0.0586501	0.00334396	0.000111881	0.345544	0.730006	0.101175	0.0090322	0.505318	0.310521	0.00360472	17.1846	0.0177488	1.85621	1.4678	667.108	9.35111	0.0041703	8.7539e-05
8	1566.68	16.2479	2.73866	17.8319	4.80484	6.51684	0.00439266	86.6909	8.39048	9.64923	1.0196	0.385191	0.0177071	0.764861	0.393917	20.9217	4.17908	0.196266	0.196307	2.65126	6.5672	33.3218	0.807221	57.9107	0.0615464	0.208123	0.153449	0.00140358	0.750158	0.230619	0.023567	20.9217	33.3218	0.807221	57.9107	0.822591	0.127579	0.00402229	0.000982467	0.00281302	0.000124911	0.000523442	0.0365118	0.00292499	8.94576e-05	0.393917	0.832898	0.196307	0.00140358	0.750157	0.230619	0.0044044	15.7484	0.0196289	1.61002	1.32439	410.642	7.96261	0.00352784	7.57179e-05
9	3237.37	20.9135	3.48455	17.6398	3.30276	11.7091	0.0103464	94.1505	11.4206	9.43467	2.97378	0.514341	0.331115	0.679138	0.19558	15.6653	2.86302	0.0956043	0.249276	2.13163	7.24506	28.5823	0.776542	58.7417	0.047816	0.302777	0.0854037	0.0238347	0.228375	0.107897	0.0168706	15.6653	28.5823	0.776542	58.7417	0.822877	0.146356	0.00145492	0.000483045	0.00160035	0.000198018	0.000724978	0.0217762	0.00247144	9.23082e-05	0.19558	0.855554	0.249259	0.0238331	0.22836	0.10789	0.00273795	14.469	0.0144337	1.64129	1.35058	343.252	6.82481	0.00320902	7.92955e-05
