"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,2.76408399999997e-09
5,"CumDeath",0,0,0,0,0,0,6.07907600000005e-10,8.48859199999998e-09,2.68305375e-08
6,"CumDeath",0,0,0,0,0,0,1.811738e-08,4.76736299999999e-08,7.8615455e-08
7,"CumDeath",0,0,0,0,0,1.1214175e-08,5.940404e-08,1.067075e-07,1.704268e-07
8,"CumDeath",0,0,0,0,2.63825e-09,4.635945e-08,1.245019e-07,1.967754e-07,2.76620325e-07
9,"CumDeath",0,0,0,0,2.91813e-08,1.07567e-07,2.183188e-07,3.36109699999999e-07,4.3658695e-07
10,"CumDeath",0,0,0,8.7438075e-09,7.56811e-08,1.873275e-07,3.235909e-07,4.6199085e-07,6.24449275e-07
11,"CumDeath",0,0,1.334976e-09,4.2573625e-08,1.36918e-07,2.8429725e-07,4.492728e-07,6.13740499999997e-07,8.281383e-07
12,"CumDeath",5.16356125000001e-11,6.287696e-09,2.512809e-08,9.114105e-08,2.112275e-07,4.0772125e-07,6.134148e-07,8.35383949999999e-07,1.05132975e-06
13,"CumDeath",1.3625205e-08,2.4597815e-08,6.172636e-08,1.5333325e-07,2.894755e-07,5.36176e-07,8.099163e-07,1.008719e-06,1.3492345e-06
14,"CumDeath",3.32531e-08,6.0051855e-08,1.079326e-07,2.1174325e-07,3.86173e-07,6.8095675e-07,9.999807e-07,1.194853e-06,1.56321925e-06
15,"CumDeath",6.832268e-08,9.5693185e-08,1.52178e-07,2.810925e-07,4.81342e-07,8.3728375e-07,1.211224e-06,1.4852455e-06,1.76613425e-06
16,"CumDeath",1.00702635e-07,1.305713e-07,2.102023e-07,3.6236675e-07,6.0076e-07,1.0166625e-06,1.446691e-06,1.8033095e-06,2.10195125e-06
17,"CumDeath",1.378579e-07,1.807215e-07,2.744629e-07,4.588305e-07,7.332655e-07,1.1992075e-06,1.706843e-06,2.105577e-06,2.4280965e-06
18,"CumDeath",1.85819275e-07,2.3922855e-07,3.511282e-07,5.565875e-07,8.74122e-07,1.3982975e-06,2.045232e-06,2.5119585e-06,2.874064e-06
19,"CumDeath",2.4445625e-07,3.07567e-07,4.29098e-07,6.683425e-07,1.033925e-06,1.6229575e-06,2.323407e-06,2.9563575e-06,3.40667675e-06
20,"CumDeath",3.071033e-07,3.885466e-07,5.214177e-07,8.006635e-07,1.213965e-06,1.87767e-06,2.611511e-06,3.4138005e-06,3.9606285e-06
21,"CumDeath",3.7993425e-07,4.648585e-07,6.433928e-07,9.6329575e-07,1.41471e-06,2.16108e-06,2.987761e-06,3.833669e-06,4.470045e-06
22,"CumDeath",4.642147e-07,5.7651845e-07,7.762435e-07,1.1196475e-06,1.63249e-06,2.46501e-06,3.355786e-06,4.298655e-06,5.05595e-06
23,"CumDeath",5.73328275e-07,6.956545e-07,9.326116e-07,1.3242375e-06,1.883005e-06,2.79439e-06,3.844153e-06,4.82384e-06,5.58669225e-06
24,"CumDeath",6.9165375e-07,8.42023e-07,1.097642e-06,1.5412525e-06,2.18787e-06,3.180335e-06,4.273662e-06,5.4669215e-06,6.15212025e-06
25,"CumDeath",8.4970675e-07,9.970901e-07,1.293754e-06,1.7787975e-06,2.5389e-06,3.6197e-06,4.783731e-06,6.0403485e-06,6.76666725e-06
26,"CumDeath",1.03915625e-06,1.2035445e-06,1.507425e-06,2.07826e-06,2.897755e-06,4.0606075e-06,5.34537e-06,6.633649e-06,7.40571075e-06
27,"CumDeath",1.20744175e-06,1.406065e-06,1.766937e-06,2.4106375e-06,3.278255e-06,4.5548325e-06,5.958664e-06,7.274563e-06,8.08039725e-06
28,"CumDeath",1.4098175e-06,1.632588e-06,2.032519e-06,2.736085e-06,3.73597e-06,5.078315e-06,6.669993e-06,8.145521e-06,8.82685025e-06
29,"CumDeath",1.6316955e-06,1.915829e-06,2.303405e-06,3.12145e-06,4.21539e-06,5.6455875e-06,7.352141e-06,8.8676055e-06,9.70275325e-06
30,"CumDeath",1.8567105e-06,2.2288905e-06,2.633945e-06,3.5350525e-06,4.77029e-06,6.314365e-06,8.084788e-06,9.73907849999999e-06,1.06752225e-05
31,"CumDeath",2.11158275e-06,2.5679185e-06,2.937343e-06,3.963315e-06,5.308535e-06,6.945055e-06,8.883765e-06,1.0676995e-05,1.16438425e-05
32,"CumDeath",2.404783e-06,2.919429e-06,3.322615e-06,4.449185e-06,5.897775e-06,7.636215e-06,9.731784e-06,1.1600855e-05,1.268113e-05
33,"CumDeath",2.740361e-06,3.2779165e-06,3.694325e-06,4.925915e-06,6.43927e-06,8.3654875e-06,1.058435e-05,1.260161e-05,1.3830155e-05
34,"CumDeath",3.072035e-06,3.6038995e-06,4.077405e-06,5.43411e-06,7.07893e-06,9.1251875e-06,1.144146e-05,1.3493045e-05,1.488945e-05
35,"CumDeath",3.4126175e-06,3.9533375e-06,4.471778e-06,5.9842925e-06,7.688065e-06,9.99236e-06,1.238556e-05,1.426855e-05,1.5972165e-05
36,"CumDeath",3.7798285e-06,4.3512055e-06,4.934206e-06,6.5200125e-06,8.342705e-06,1.0814575e-05,1.330858e-05,1.5401685e-05,1.7074935e-05
37,"CumDeath",4.12600925e-06,4.757047e-06,5.443279e-06,7.0671725e-06,9.046045e-06,1.1628825e-05,1.428987e-05,1.664955e-05,1.8233645e-05
38,"CumDeath",4.486743e-06,5.1693555e-06,5.833022e-06,7.665615e-06,9.72291e-06,1.2510025e-05,1.530963e-05,1.7786795e-05,1.950321e-05
39,"CumDeath",4.86116925e-06,5.569995e-06,6.248101e-06,8.2240725e-06,1.041735e-05,1.344885e-05,1.647557e-05,1.886149e-05,2.07610775e-05
40,"CumDeath",5.249256e-06,5.96564e-06,6.792828e-06,8.76589e-06,1.11077e-05,1.4229875e-05,1.749449e-05,1.98565e-05,2.19327775e-05
41,"CumDeath",5.6659705e-06,6.3723235e-06,7.285688e-06,9.3527325e-06,1.17667e-05,1.51137e-05,1.849234e-05,2.088071e-05,2.3028085e-05
42,"CumDeath",6.11249975e-06,6.7682635e-06,7.725042e-06,9.9270825e-06,1.243585e-05,1.5967825e-05,1.9441e-05,2.1878615e-05,2.4109635e-05
43,"CumDeath",6.5725085e-06,7.2474765e-06,8.243162e-06,1.04846e-05,1.31578e-05,1.6788125e-05,2.041093e-05,2.285599e-05,2.517013e-05
44,"CumDeath",7.0386065e-06,7.714792e-06,8.723082e-06,1.1066125e-05,1.38696e-05,1.7625625e-05,2.14015e-05,2.381151e-05,2.61851775e-05
45,"CumDeath",7.50959725e-06,8.171645e-06,9.263685e-06,1.16447e-05,1.45921e-05,1.8454075e-05,2.217756e-05,2.4812805e-05,2.71546225e-05
46,"CumDeath",7.96425325e-06,8.635668e-06,9.722737e-06,1.2195025e-05,1.528805e-05,1.92959e-05,2.309047e-05,2.5909885e-05,2.810802e-05
47,"CumDeath",8.39494425e-06,9.108342e-06,1.017603e-05,1.2728775e-05,1.593815e-05,2.0088475e-05,2.416151e-05,2.68697e-05,2.915242e-05
48,"CumDeath",8.836067e-06,9.6184015e-06,1.060804e-05,1.3259575e-05,1.656195e-05,2.0905275e-05,2.507862e-05,2.789263e-05,3.01318475e-05
49,"CumDeath",9.30635975e-06,1.010704e-05,1.10993e-05,1.37554e-05,1.71974e-05,2.15751e-05,2.59574e-05,2.8874965e-05,3.101922e-05
50,"CumDeath",9.7633075e-06,1.056433e-05,1.155083e-05,1.428185e-05,1.78628e-05,2.21893e-05,2.677132e-05,2.9775485e-05,3.1892925e-05
51,"CumDeath",1.021542e-05,1.103412e-05,1.200567e-05,1.48697e-05,1.848015e-05,2.2807325e-05,2.75369e-05,3.056698e-05,3.29192175e-05
52,"CumDeath",1.06750325e-05,1.1505405e-05,1.248101e-05,1.5443575e-05,1.911055e-05,2.34825e-05,2.835236e-05,3.1328985e-05,3.385553e-05
53,"CumDeath",1.11197075e-05,1.1913525e-05,1.293716e-05,1.6015725e-05,1.97466e-05,2.414395e-05,2.911134e-05,3.2065485e-05,3.4651655e-05
54,"CumDeath",1.15641225e-05,1.2291805e-05,1.337238e-05,1.6582775e-05,2.03218e-05,2.47885e-05,2.995906e-05,3.2774605e-05,3.54257875e-05
55,"CumDeath",1.200813e-05,1.2667495e-05,1.385073e-05,1.71468e-05,2.09064e-05,2.541635e-05,3.087352e-05,3.345562e-05,3.617539e-05
56,"CumDeath",1.244212e-05,1.3045225e-05,1.432018e-05,1.76857e-05,2.15332e-05,2.602625e-05,3.163309e-05,3.417738e-05,3.688711e-05
57,"CumDeath",1.284324e-05,1.3505715e-05,1.474255e-05,1.8210975e-05,2.209015e-05,2.66316e-05,3.217812e-05,3.489407e-05,3.76605475e-05
