"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 432.367 8.21895 4.31635 8.69827 3.50445 5.5415 0.0264838 90.6609 6.52271 6.22428 2.18837 0.127316 0.463156 0.741949 0.504313 18.6424 3.77322 0.683968 0.248458 2.66161 7.99395 73.7984 0.839624 54.7652 4.11563 1.06041 -49.37148 -1492.212 -1541.584
66300 1687.38 11.3502 3.7242 13.1214 3.36941 5.55944 0.0189292 90.2755 6.93553 11.5742 2.29018 0.269919 0.637181 0.698564 0.350516 18.7145 4.46529 0.168794 0.177027 8.72021 9.44418 51.5897 0.378662 62.7951 3.49317 0.950941 -44.38267 -1497.181 -1541.564
200000 2850.2 20.6802 4.18748 9.45377 3.84209 5.91742 0.0123052 88.2007 5.31329 9.02626 2.50255 0.179289 0.0635636 0.763325 0.323868 17.7814 2.24719 0.195156 0.214435 7.03627 5.58031 65.916 0.400793 65.0821 4.90928 1.45498 -49.30217 -1492.008 -1541.311
161800 2206.7 14.7357 2.80812 9.15923 2.50065 6.73171 0.027668 86.8066 5.15742 10.8815 2.03044 0.432917 0.208568 0.890775 0.633269 17.6148 4.13901 0.215172 0.439279 4.78463 5.08711 63.1011 0.656754 50.7742 3.98839 1.17879 -49.64299 -1495.065 -1544.708
170600 701.672 13.1532 4.19751 17.7881 2.2431 5.02557 0.0190454 94.2072 10.2452 4.9388 2.22268 0.475088 0.296798 0.710956 0.363256 17.5934 2.67851 0.276064 0.200516 7.55678 11.3574 62.6165 0.525929 72.072 4.16945 1.40381 -49.0897 -1492.623 -1541.712
168200 1432.01 12.5861 4.10916 13.6226 2.5834 6.47119 0.018249 87.8552 6.03224 8.17087 2.20402 0.535642 0.185298 0.757432 0.368411 18.6037 4.66479 0.191223 0.233736 5.30697 8.12085 81.5804 0.612584 55.421 4.35859 1.09541 -48.04283 -1491.332 -1539.375
67100 1229.73 17.163 4.03925 10.2604 3.18147 7.61109 0.0326581 92.16 6.55125 7.46659 1.42886 0.529127 0.733907 0.713979 0.426525 18.8431 5.49886 0.178647 0.357225 3.68688 8.09182 67.7177 0.458315 36.2825 3.94579 1.13764 -48.17108 -1491.542 -1539.713
106100 750.824 11.4634 4.3556 15.5155 2.73832 6.08331 0.0244769 86.3885 5.64509 8.75872 2.72326 0.395892 0.31731 0.882432 0.427871 16.719 4.99383 0.454029 0.213172 9.44504 9.4942 73.36 0.498264 50.838 5.19921 1.1788 -49.619 -1496.135 -1545.754
168900 828.946 13.0698 3.76312 14.2224 3.34617 6.53638 0.0266991 91.3918 5.77162 8.30939 2.9941 0.13684 0.88581 0.634061 0.509849 17.2379 3.49543 0.313493 0.294478 1.38427 7.37707 61.1551 0.674151 60.9272 5.53847 1.04518 -47.45197 -1492.835 -1540.287
47000 2982.47 14.2106 3.61874 13.0957 3.86708 6.49664 0.0250794 97.5547 6.91691 9.50043 1.17963 0.221006 0.807531 0.827352 0.405769 18.0144 5.77561 0.359844 0.12903 6.83435 8.88094 53.8702 0.633379 55.6171 5.2385 1.49796 -46.58042 -1500.034 -1546.614
