"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,0
8,"CumDeath",0,0,0,0,0,0,0,0,0
9,"CumDeath",0,0,0,0,0,0,3.862629e-10,3.8086585e-09,6.8525775e-09
10,"CumDeath",0,0,0,0,0,4.5740825e-09,1.179092e-08,1.837945e-08,2.52822575e-08
11,"CumDeath",0,0,0,0,1.002092e-08,2.257335e-08,3.714276e-08,4.8048255e-08,5.6709875e-08
12,"CumDeath",0,0,1.20579220000001e-11,1.37796e-08,3.33526e-08,5.3967425e-08,7.33446e-08,9.424198e-08,1.086046e-07
13,"CumDeath",0,7.6137165e-09,2.029958e-08,4.1448025e-08,6.508675e-08,9.895435e-08,1.29811e-07,1.4953885e-07,1.8412965e-07
14,"CumDeath",2.0826875e-08,3.609482e-08,5.049946e-08,7.57901e-08,1.110305e-07,1.62788e-07,2.105756e-07,2.4146135e-07,2.80083475e-07
15,"CumDeath",6.313964e-08,7.0859415e-08,8.8898e-08,1.246505e-07,1.758285e-07,2.4725325e-07,3.129862e-07,3.6459675e-07,4.180759e-07
16,"CumDeath",1.05858725e-07,1.197217e-07,1.457918e-07,1.98958e-07,2.66507e-07,3.6304775e-07,4.564342e-07,5.3512075e-07,6.03449075e-07
17,"CumDeath",1.6498495e-07,1.940728e-07,2.283675e-07,3.01035e-07,3.986165e-07,5.27683e-07,6.541079e-07,7.7052535e-07,8.59866549999999e-07
18,"CumDeath",2.52584175e-07,2.908458e-07,3.464333e-07,4.5315475e-07,5.859e-07,7.570075e-07,9.248438e-07,1.080613e-06,1.199395e-06
19,"CumDeath",3.8417305e-07,4.3401555e-07,5.202137e-07,6.6527225e-07,8.42943e-07,1.075295e-06,1.29536e-06,1.4939275e-06,1.668275e-06
20,"CumDeath",5.5846725e-07,6.394724e-07,7.674631e-07,9.6277325e-07,1.185475e-06,1.5130725e-06,1.79841e-06,2.061152e-06,2.29121925e-06
21,"CumDeath",8.078091e-07,9.506128e-07,1.112845e-06,1.358365e-06,1.674225e-06,2.1215525e-06,2.488685e-06,2.8659295e-06,3.1341855e-06
22,"CumDeath",1.1062275e-06,1.274296e-06,1.513296e-06,1.8442075e-06,2.34862e-06,2.921195e-06,3.419765e-06,3.8478095e-06,4.2571145e-06
23,"CumDeath",1.471951e-06,1.74113e-06,1.975796e-06,2.4393625e-06,3.161145e-06,3.89559e-06,4.5864e-06,5.1314805e-06,5.4459685e-06
24,"CumDeath",1.88057975e-06,2.2364065e-06,2.54251e-06,3.07937e-06,4.08139e-06,5.034395e-06,5.998869e-06,6.639026e-06,6.984162e-06
25,"CumDeath",2.3836795e-06,2.794106e-06,3.21526e-06,3.88841e-06,5.146145e-06,6.4207725e-06,7.648338e-06,8.3155445e-06,9.010487e-06
26,"CumDeath",3.01010625e-06,3.4707685e-06,3.911476e-06,4.826115e-06,6.26137e-06,7.803835e-06,9.34365e-06,1.0279295e-05,1.125198e-05
27,"CumDeath",3.79550525e-06,4.375674e-06,4.829561e-06,5.894855e-06,7.583145e-06,9.3358075e-06,1.118316e-05,1.241716e-05,1.3333185e-05
28,"CumDeath",4.7411425e-06,5.2810585e-06,5.901246e-06,7.17768e-06,9.115515e-06,1.1103975e-05,1.334201e-05,1.4772645e-05,1.5689925e-05
29,"CumDeath",5.9076125e-06,6.436579e-06,7.142883e-06,8.6738725e-06,1.08125e-05,1.3290675e-05,1.577035e-05,1.7282955e-05,1.82668675e-05
30,"CumDeath",7.2078145e-06,7.8314575e-06,8.671701e-06,1.0451175e-05,1.285585e-05,1.5567875e-05,1.854304e-05,2.0166605e-05,2.12836675e-05
31,"CumDeath",8.81367e-06,9.3972625e-06,1.037908e-05,1.2538725e-05,1.513365e-05,1.7976025e-05,2.160379e-05,2.3426145e-05,2.490992e-05
32,"CumDeath",1.070519e-05,1.1348185e-05,1.248787e-05,1.4778025e-05,1.77336e-05,2.094595e-05,2.489114e-05,2.698737e-05,2.851674e-05
33,"CumDeath",1.271865e-05,1.3538585e-05,1.480202e-05,1.728605e-05,2.058895e-05,2.4209675e-05,2.83712e-05,3.120934e-05,3.26792575e-05
34,"CumDeath",1.51027575e-05,1.618463e-05,1.724784e-05,2.01526e-05,2.38367e-05,2.7816875e-05,3.241761e-05,3.5213855e-05,3.76219475e-05
35,"CumDeath",1.766828e-05,1.8924465e-05,2.018221e-05,2.350155e-05,2.728535e-05,3.16317e-05,3.68975e-05,3.936667e-05,4.273724e-05
36,"CumDeath",2.03189625e-05,2.1949515e-05,2.324075e-05,2.692895e-05,3.133295e-05,3.580395e-05,4.165682e-05,4.463384e-05,4.82255275e-05
37,"CumDeath",2.350477e-05,2.5346895e-05,2.674369e-05,3.071765e-05,3.55011e-05,4.0728025e-05,4.668234e-05,4.958518e-05,5.3844155e-05
38,"CumDeath",2.71940625e-05,2.8985765e-05,3.048902e-05,3.47268e-05,3.984725e-05,4.58876e-05,5.228169e-05,5.5543645e-05,6.01124825e-05
39,"CumDeath",3.109612e-05,3.291304e-05,3.462282e-05,3.9390925e-05,4.463525e-05,5.133965e-05,5.818487e-05,6.167816e-05,6.68400025e-05
40,"CumDeath",3.5401415e-05,3.7078775e-05,3.903569e-05,4.39295e-05,4.967905e-05,5.6944225e-05,6.408961e-05,6.8273135e-05,7.4217185e-05
41,"CumDeath",3.999158e-05,4.173199e-05,4.354446e-05,4.9119675e-05,5.51185e-05,6.2936025e-05,7.062889e-05,7.5248925e-05,8.2055475e-05
42,"CumDeath",4.484742e-05,4.6905645e-05,4.862432e-05,5.445255e-05,6.087675e-05,6.9494075e-05,7.780316e-05,8.272319e-05,8.947218e-05
43,"CumDeath",5.03206675e-05,5.2192585e-05,5.413401e-05,6.045125e-05,6.691885e-05,7.6282725e-05,8.488356e-05,9.048197e-05,9.810086e-05
44,"CumDeath",5.59050125e-05,5.7767195e-05,6.003126e-05,6.6681025e-05,7.34471e-05,8.3217725e-05,9.190047e-05,9.8794635e-05,0.00010713765
45,"CumDeath",6.1843405e-05,6.3803425e-05,6.622116e-05,7.326795e-05,8.020095e-05,9.04305e-05,9.947042e-05,0.00010781885,0.000116950825
46,"CumDeath",6.8211065e-05,7.0433625e-05,7.286031e-05,8.0090275e-05,8.72869e-05,9.82845e-05,0.0001075942,0.00011773615,0.000127095975
47,"CumDeath",7.50150025e-05,7.7011305e-05,7.994429e-05,8.7343575e-05,9.50322e-05,0.0001064875,0.0001164207,0.00012711565,0.000136822575
48,"CumDeath",8.210656e-05,8.4290545e-05,8.713866e-05,9.4815325e-05,0.0001029425,0.000115167,0.0001251972,0.0001360116,0.0001465424
49,"CumDeath",8.93130425e-05,9.1657335e-05,9.470017e-05,0.00010260275,0.0001112835,0.00012375875,0.000134299,0.00014627565,0.000156539075
50,"CumDeath",9.6954165e-05,9.9228095e-05,0.0001031097,0.0001106075,0.000119885,0.000132491,0.0001434336,0.00015596735,0.000167011825
51,"CumDeath",0.000104823375,0.000107313,0.0001116622,0.0001190115,0.0001287745,0.00014147175,0.0001532127,0.00016601265,0.000178467325
52,"CumDeath",0.000112742825,0.00011549745,0.0001199601,0.000127677,0.000137939,0.000150729,0.0001631779,0.0001765761,0.0001891779
53,"CumDeath",0.0001212991,0.0001242483,0.0001289319,0.00013644725,0.000147159,0.00016043125,0.0001732948,0.0001873882,0.0001993402
54,"CumDeath",0.000129918675,0.00013385995,0.0001380632,0.000145688,0.000156768,0.00016984875,0.0001836552,0.00019842165,0.000210371625
55,"CumDeath",0.000138523825,0.0001426659,0.0001471646,0.000154807,0.0001665635,0.0001797635,0.0001939285,0.00020963235,0.0002221511
56,"CumDeath",0.000147577775,0.00015158045,0.000156298,0.000164111,0.0001766415,0.00018993175,0.0002049196,0.000220369,0.00023385365
57,"CumDeath",0.000156887825,0.00016056255,0.0001654511,0.00017365775,0.000186689,0.00020068125,0.0002165045,0.00023118145,0.0002457969
58,"CumDeath",0.00016633765,0.00016997515,0.0001750781,0.000183547,0.0001966425,0.0002115045,0.0002271767,0.0002420474,0.000257787475
59,"CumDeath",0.000175650325,0.00017967145,0.000184529,0.000193558,0.0002070705,0.000222309,0.0002378537,0.00025301755,0.000269779225
60,"CumDeath",0.000184903175,0.00018943645,0.0001938738,0.0002035335,0.000217327,0.00023297375,0.0002487861,0.0002644892,0.00028164525
61,"CumDeath",0.0001942135,0.0001989899,0.0002037291,0.000213558,0.0002273315,0.00024365425,0.0002593798,0.00027595455,0.00029348845
