Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	1364.99	7.50306	3.2335	9.42087	3.78657	6.03824	0.0143089	100.793	9.0528	9.17751	2.22494	0.480326	0.330015	0.656385	0.51288	17.4609	4.28589	0.547514	0.416544	4.4031	10.5274	34.5357	0.715309	73.7832	0.133279	0.264091	0.165611	0.0122659	0.15331	0.154438	0.0568423	17.4609	34.5357	0.715309	73.7832	0.852485	0.0121092	0.000335523	0.00023953	0.000532502	0.000213498	0.000239078	0.119444	0.0144985	0.00119206	0.51288	0.693792	0.416539	0.0122657	0.153309	0.154436	0.0101517	8.1144	0.0394367	1.04966	0.894821	34.674	1e-15	0.0120424	0
1	1784.8	15.4027	3.52998	14.9482	2.56887	8.54291	0.0147399	104.494	11.5172	8.48247	2.74959	0.495065	0.135502	0.650862	0.446793	16.7089	4.28042	0.170367	0.454997	5.56144	10.6146	54.5274	0.567245	65.8242	0.0649237	0.389276	0.117056	0.00524986	0.119524	0.126978	0.0276425	16.7089	54.5274	0.567245	65.8242	0.777147	0.0574625	0.000251573	0.000209938	0.000834147	0.000336787	0.000375815	0.148606	0.0150799	0.00138123	0.446793	0.871745	0.454917	0.00524893	0.119503	0.126956	0.0075268	11.3696	0.0240972	1.22104	0.948926	47.4097	3.26609	0.0168122	0.00135002
2	1381.78	12.6021	3.05169	8.65914	4.59791	8.87524	0.0220895	99.5237	7.62087	9.58883	2.45198	0.306374	0.798583	0.741922	0.527484	20.98	4.91479	0.506353	0.277706	7.7538	8.96984	51.6136	0.804552	53.312	0.0793519	0.21749	0.112673	0.0428586	0.209878	0.105253	0.0397087	20.98	51.6136	0.804552	53.312	0.91777	0.0136725	0.000367396	0.000141255	0.000525426	9.856e-05	0.000375127	0.0529369	0.0143197	0.00109721	0.527484	0.723336	0.277706	0.0428586	0.209878	0.105253	0.00687729	7.85945	0.0287227	1.04837	0.962159	46.4165	2.86105	0.0156151	0.00107356
3	2968.13	15.0734	2.56624	12.3628	3.20609	5.64996	0.0128982	107.927	11.1715	8.78754	1.81471	0.424992	0.119838	0.723978	0.572473	16.3925	3.59038	0.335521	0.368681	6.1546	11.3096	44.9166	0.655243	64.8363	0.066342	0.311906	0.176992	0.0056771	0.229399	0.152103	0.0367397	16.3925	44.9166	0.655243	64.8363	0.787951	0.0286815	0.000254217	0.000148397	0.000472911	0.000126237	0.000184055	0.169359	0.0143212	0.00130342	0.572473	0.829319	0.368613	0.00567605	0.229357	0.152075	0.00999642	10.5406	0.0304689	1.11008	0.874689	33.7942	2.32322	0.0157914	0.00128069
4	2607.02	14.0906	3.45603	11.1745	3.79726	8.14703	0.0113681	107.424	10.8169	6.74976	2.87903	0.484296	0.425876	0.66526	0.395665	21.6026	2.37194	0.493973	0.127916	10.3717	11.3033	59.7702	1.16442	74.3681	0.0709693	0.263348	0.122744	0.0216465	0.119164	0.116268	0.0379621	21.6026	59.7702	1.16442	74.3681	0.817056	0.0223573	0.00118974	0.00017447	0.00185038	0.000175019	0.000409119	0.145789	0.0121842	0.00127603	0.395665	0.632544	0.127899	0.0216436	0.119148	0.116253	0.0075796	11.0434	0.0240127	1.6017	1.30868	56.6379	2.86089	0.0134974	0.0012437
5	780.409	20.7593	3.84414	17.7339	3.30965	9.02284	0.028316	104.713	11.7144	7.04623	2.68425	0.0823323	0.303868	0.811775	0.391929	18.0183	3.29739	0.227289	0.404461	12.8694	9.36993	54.291	0.795506	64.2269	0.0481712	0.302147	0.11083	0.0321255	0.277522	0.070122	0.0240244	18.0183	54.291	0.795506	64.2269	0.876483	0.0541524	0.000255026	0.000173118	0.000505098	0.000146179	0.000452144	0.0532509	0.0139904	0.00132834	0.391929	0.80824	0.404377	0.0321188	0.277465	0.0701074	0.00732682	15.5287	0.0194175	1.25638	1.10119	58.5537	3.35928	0.0155735	0.00129812
6	991.959	14.0472	4.08263	14.3424	3.5105	12.5122	0.0266556	99.1026	9.80038	9.2819	2.61372	0.242417	0.680568	0.700659	0.296531	20.3212	5.37549	0.0838539	0.270275	12.9137	10.2399	65.902	1.13658	63.4696	0.0711886	0.28486	0.079922	0.0389199	0.203085	0.114527	0.0227502	20.3212	65.902	1.13658	63.4696	0.898823	0.0423061	0.000831603	0.000307995	0.00142487	0.000237619	0.000848014	0.042258	0.0127853	0.00111416	0.296531	0.90309	0.270269	0.038919	0.20308	0.114524	0.00553147	14.6919	0.0205454	1.85348	1.66595	86.5402	3.71454	0.0141959	0.00107311
7	1036.55	10.6427	3.5524	9.67284	3.57397	8.40502	0.0210854	99.2581	9.16349	7.37718	2.61288	0.290683	0.50087	0.629706	0.444476	18.241	3.35417	0.397444	0.298262	12.2791	12.0385	53.0122	0.615862	64.1637	0.0939611	0.279801	0.118977	0.0303258	0.170946	0.141719	0.0436947	18.241	53.0122	0.615862	64.1637	0.905859	0.0141282	0.000367045	0.000156003	0.000676646	0.000138347	0.00034351	0.0653402	0.0127351	0.00123406	0.444476	0.724502	0.298259	0.0303255	0.170944	0.141717	0.00881724	7.60868	0.0316569	1.13211	1.02553	46.4048	3.28549	0.0140639	0.00119741
8	774.28	13.4789	2.7784	10.793	2.28078	6.79622	0.030253	109.831	13.3468	7.55253	2.49392	0.1237	0.6207	0.885932	0.483214	18.8257	4.4741	0.387003	0.10614	12.9503	13.3622	37.892	0.478169	55.028	0.07419	0.438446	0.147141	0.0638032	0.311294	0.0457384	0.0378778	18.8257	37.892	0.478169	55.028	0.930229	0.00398828	0.000136036	1.61345e-05	0.000306496	2.07769e-05	0.000180064	0.0546222	0.00961658	0.00161535	0.483214	0.754677	0.106049	0.0637482	0.311026	0.045699	0.0133904	7.8824	0.0285855	0.955135	0.888495	32.3952	3.16645	0.0111304	0.00157938
9	1030.9	14.7193	3.87704	9.08042	3.73678	12.5455	0.0257883	98.7044	8.29532	6.84979	2.49578	0.278902	0.562456	0.66457	0.397447	17.34	3.21117	0.0835206	0.414363	8.79485	6.57757	59.7496	0.719123	63.5648	0.067938	0.26761	0.0797099	0.0393501	0.192012	0.134399	0.0340335	17.34	59.7496	0.719123	63.5648	0.925985	0.0209347	0.00024882	0.000176049	0.000531316	0.000140614	0.000566616	0.0373796	0.0139878	0.00102282	0.397447	0.925831	0.414362	0.03935	0.192012	0.134398	0.00499512	7.54362	0.0315092	1.16918	1.08264	49.9839	3.05152	0.0153974	0.00100408
10	1544.04	9.4339	3.04043	17.7073	2.75259	8.42233	0.0190376	101.177	8.38326	8.86892	1.61981	0.274595	0.251474	0.764634	0.480808	17.7042	3.04975	0.297215	0.384849	10.3361	9.25852	41.88	0.544233	67.2789	0.106001	0.363294	0.118732	0.0157274	0.342429	0.145305	0.0203869	17.7042	41.88	0.544233	67.2789	0.882763	0.0253164	0.000182122	0.000113937	0.000533918	8.67202e-05	0.000331664	0.0772332	0.013812	0.00108422	0.480808	0.80441	0.384847	0.0157273	0.342427	0.145304	0.00699569	13.5172	0.0163994	1.01416	0.895264	41.3884	2.72638	0.0151362	0.0010616
11	1296.36	13.7352	3.79734	16.5724	4.10319	9.01861	0.0232106	111.857	12.697	7.56793	2.55091	0.33463	0.853494	0.631839	0.306028	19.8892	4.759	0.231276	0.310786	12.7037	13.6442	40.7144	0.762079	67.5242	0.0728056	0.243713	0.110882	0.0474125	0.164807	0.144325	0.0254071	19.8892	40.7144	0.762079	67.5242	0.892387	0.0289489	0.000386738	0.00017413	0.000581639	0.000135672	0.000411944	0.0657725	0.0111289	0.00129618	0.306028	0.760447	0.310567	0.0473791	0.16469	0.144224	0.00737941	13.8361	0.0193207	1.16454	1.03922	51.4717	3.17677	0.0124956	0.00125521
12	1666.85	13.5242	3.25654	10.6376	2.47765	7.67504	0.0126523	109.787	12.1648	11.4766	1.27395	0.380037	0.263147	0.742047	0.439511	21.1688	5.46175	0.452896	0.256109	13.2728	13.6827	55.0606	0.853241	59.7727	0.0739415	0.403608	0.130292	0.0105483	0.361114	0.202483	0.0398871	21.1688	55.0606	0.853241	59.7727	0.780549	0.0332418	0.000542233	0.000186546	0.0014411	0.0001311	0.000420229	0.171073	0.0125493	0.00144002	0.439511	0.689132	0.255998	0.0105437	0.360958	0.202395	0.00796094	9.76259	0.0274875	1.41762	1.10652	64.3085	3.20774	0.0142215	0.00139691
13	4924.22	11.771	2.3536	7.27188	4.54781	5.2046	0.0118229	100.145	8.41424	6.81957	2.55575	0.361766	0.0554725	0.931961	0.591585	19.4512	4.67872	0.627323	0.248607	3.65548	8.23945	50.921	0.834082	59.0902	0.0849545	0.219886	0.192138	0.00483836	0.232734	0.0266219	0.0621869	19.4512	50.921	0.834082	59.0902	0.808751	0.0111493	0.00056848	0.000188086	0.000657216	0.000163713	0.000211559	0.166789	0.0151366	0.00103344	0.591585	0.719418	0.248606	0.00483834	0.232733	0.0266218	0.00988862	6.77911	0.0447383	1.15693	0.935668	43.816	2.35211	0.0163698	0.00101569
14	1154.4	12.6505	2.89412	19.1659	4.10188	5.01308	0.0165289	106.287	10.7544	8.67321	2.61801	0.431665	0.802918	0.683596	0.554675	17.0446	3.54005	0.41839	0.356195	4.58389	13.0705	52.1145	0.750161	46.4337	0.0790483	0.243791	0.199478	0.0359663	0.1484	0.120857	0.0301219	17.0446	52.1145	0.750161	46.4337	0.848382	0.0298088	0.000383733	0.000212245	0.00041232	0.000198467	0.000218425	0.104704	0.0153756	0.0013943	0.554675	0.781463	0.356155	0.0359622	0.148383	0.120843	0.0118557	17.0335	0.0235392	1.09647	0.930223	47.5369	3.0791	0.016919	0.00135843
15	2255.88	20.1968	3.27927	15.9835	2.12214	9.39283	0.0129431	109.782	10.6807	5.6496	1.49845	0.545247	0.238607	0.733526	0.439352	19.9234	4.64245	0.198201	0.337564	4.32827	10.6606	52.604	0.761252	79.759	0.0495128	0.471222	0.106464	0.0140882	0.222612	0.177833	0.0218428	19.9234	52.604	0.761252	79.759	0.746479	0.0668493	0.000214317	0.000109181	0.00084599	0.000127511	0.000376936	0.16935	0.0163725	0.00140497	0.439352	0.849582	0.337514	0.0140862	0.222579	0.177807	0.00546609	13.1353	0.0185573	1.33956	0.999955	42.8409	2.40309	0.0181025	0.00138208
16	697.185	15.3797	3.75282	16.3631	3.77107	13.6323	0.0319032	95.7035	6.97275	3.25198	2.26911	0.375352	0.461344	0.618495	0.531982	18.6095	3.22443	0.166315	0.386877	7.89625	6.57294	53.2964	0.74675	51.5987	0.0650208	0.265177	0.0733552	0.0548086	0.170261	0.16813	0.0168238	18.6095	53.2964	0.74675	51.5987	0.922522	0.036527	0.000204824	0.000129243	0.000434438	0.000102207	0.000564328	0.0260619	0.0130407	0.00107137	0.531982	0.900352	0.386877	0.0548086	0.170261	0.16813	0.00550712	14.4237	0.0151473	1.04519	0.964207	44.3018	3.43824	0.014486	0.00105051
17	290.596	9.92952	3.86565	11.2192	3.37832	5.30929	0.0151667	105.953	13.1065	11.1263	2.09583	0.168454	0.460867	0.658816	0.525667	19.776	4.86971	0.925826	0.303928	8.51405	13.007	54.8542	0.630888	46.2367	0.10071	0.296005	0.188349	0.0226921	0.261393	0.162792	0.0648969	19.776	54.8542	0.630888	46.2367	0.863216	0.013399	0.000368243	0.00016061	0.00053448	0.00011404	0.000217198	0.107159	0.0137533	0.00135184	0.525667	0.551349	0.303757	0.0226793	0.261246	0.1627	0.0115728	9.25492	0.0357809	1.09256	0.943112	45.1955	2.91309	0.0152159	0.00131762
18	177.186	9.13554	3.68077	11.4299	3.61349	5.1793	0.0199921	105.955	12.3727	2.62131	1.91667	0.216801	0.282986	0.688266	0.345162	20.6149	5.58817	0.10149	0.281579	6.09164	12.9185	45.108	0.494882	75.5423	0.109463	0.276741	0.193076	0.0581936	0.281243	0.162644	0.0621763	20.6149	45.108	0.494882	75.5423	0.909242	0.00730266	0.000459639	0.000180026	0.000479815	0.000108677	0.000270093	0.0668165	0.0139968	0.00131102	0.345162	0.897664	0.281477	0.0581725	0.281141	0.162585	0.0118875	7.64923	0.0558135	1.22094	1.11013	59.8182	3.14742	0.0154145	0.0012716
19	641.6	10.6498	3.84424	14.9278	4.66582	6.05762	0.0152622	105.951	11.6209	8.86101	2.05578	0.495425	0.661285	0.609999	0.418039	20.4569	3.0786	0.382308	0.481938	7.44785	10.3952	44.5977	0.864919	70.5262	0.0938985	0.214325	0.165081	0.02297	0.149719	0.18971	0.0425121	20.4569	44.5977	0.864919	70.5262	0.865317	0.0235261	0.000342493	0.000318388	0.000390655	0.00020094	0.000224606	0.0961654	0.0129837	0.00113607	0.418039	0.716454	0.481834	0.022965	0.149687	0.189668	0.00966989	13.7543	0.030458	1.15437	0.998893	41.3994	2.37549	0.0142775	0.00111324
20	2145.27	16.209	3.19821	12.8744	3.56442	9.04056	0.0153501	104.041	8.56266	10.4689	1.56673	0.393371	0.450469	0.668771	0.530268	18.8069	4.14708	0.417301	0.437816	2.34675	7.87605	43.6991	0.741351	64.9387	0.0616941	0.280551	0.110613	0.0174568	0.258944	0.211414	0.027478	18.8069	43.6991	0.741351	64.9387	0.825278	0.048306	0.000234049	0.000182267	0.00056814	0.00011157	0.000377169	0.108458	0.0173225	0.00118713	0.530268	0.767417	0.437812	0.0174566	0.258942	0.211412	0.00561654	11.3102	0.0210871	1.04694	0.86402	41.4266	2.50427	0.0188631	0.00116951
21	352.503	12.8875	3.5415	9.82883	3.26136	9.97985	0.0325135	91.295	7.2876	4.67514	2.97281	0.304689	0.778067	0.791671	0.558398	15.2288	3.65695	0.127905	0.183681	11.0931	10.688	34.4792	0.14863	63.5442	0.0775946	0.306621	0.100202	0.0916107	0.185164	0.0700781	0.0361045	15.2288	34.4792	0.14863	63.5442	0.958621	0.00477513	0.000147721	3.32389e-05	0.000263398	4.32952e-05	0.000370505	0.020462	0.0145696	0.00104732	0.558398	0.928181	0.183681	0.0916107	0.185164	0.0700781	0.00664047	6.13352	0.0335115	0.874755	0.838559	40.3634	3.23529	0.0156879	0.00101796
