Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	2084.3	10.8557	2.78815	9.84281	2.37557	7.78061	0.00774219	124.132	24.2315	4.0052	2.71181	0.239512	0.0983331	0.652923	0.411982	21.2455	6.82729	0.256534	0.285745	3.33612	10.8438	37.6104	0.933696	40.5717	0.0921175	0.420952	0.128525	0.0160301	0.24077	0.127987	0.0364069	21.2455	37.6104	0.933696	40.5717	0.748092	0.152119	0.00289792	0.00109644	0.00613378	0.000970737	0.00220259	0.073511	0.0100478	0.000398322	0.411982	0.796532	0.275542	0.0154578	0.232173	0.123417	0.00398117	9.45906	0.0289992	1.41995	1.06225	1160.41	1e-15	0.00868415	0
1	1091.6	12.2296	3.60634	9.38456	2.77634	9.74289	0.0058257	133.829	33.8331	8.95226	1.43099	0.281039	0.364559	0.691485	0.50207	21.0076	7.57046	0.642859	0.123482	6.10059	5.55287	38.6806	0.477016	46.0131	0.0817688	0.360186	0.102639	0.028159	0.483221	0.215595	0.0394425	21.0076	38.6806	0.477016	46.0131	0.816657	0.0739035	0.00401034	0.000488794	0.00775155	0.000202097	0.0023675	0.0802676	0.0101362	0.000315057	0.50207	0.642146	0.109696	0.0250152	0.429272	0.191525	0.00244566	6.94073	0.0253279	1.31003	1.06984	1400.56	27.455	0.0116739	0.000283949
2	1804.07	11.3298	3.63171	10.6099	5.1457	10.8601	0.0137337	155.084	32.247	4.64382	1.30275	0.30467	0.348343	0.755551	0.373068	23.1878	6.3575	0.289805	0.350305	5.12278	11.6761	45.7966	0.837167	29.9094	0.0882628	0.194337	0.0920802	0.0566755	0.579966	0.187641	0.0315185	23.1878	45.7966	0.837167	29.9094	0.788645	0.139467	0.00437457	0.00168893	0.00415518	0.000359345	0.00324681	0.0447232	0.00975638	0.000417282	0.373068	0.751453	0.28728	0.0464787	0.475621	0.153881	0.00285851	9.52679	0.0236847	1.33914	1.0561	1848.12	36.983	0.0124577	0.00031864
3	3846.08	7.72684	2.86078	19.8537	3.28941	8.18042	0.00848735	174.61	40.4568	8.83879	1.80899	0.399599	0.538428	0.812583	0.425105	19.8899	1.97785	0.305751	0.406455	2.49678	12.3064	38.0601	0.823359	39.8812	0.129419	0.304006	0.122243	0.0494997	0.449192	0.103603	0.0176144	19.8899	38.0601	0.823359	39.8812	0.727471	0.174526	0.00288319	0.00104673	0.00359043	0.000521815	0.0021036	0.0743736	0.00987904	0.000347392	0.425105	0.769861	0.273961	0.0333641	0.302767	0.0698313	0.00280562	17.8376	0.0135606	1.2517	0.910577	1442.98	25.9986	0.0120308	0.000276506
4	4003.84	16.2397	3.58256	11.7942	4.3557	9.2735	0.00531496	145.088	38.4849	7.21575	2.31228	0.230654	0.213016	0.76766	0.280891	20.8575	4.81926	0.114328	0.125185	5.88242	12.4608	41.2806	0.507501	37.7881	0.0615775	0.229584	0.107834	0.0226621	0.331993	0.100481	0.0327553	20.8575	41.2806	0.507501	37.7881	0.721385	0.125445	0.0109268	0.00122504	0.013861	0.000589651	0.0031365	0.107921	0.0106506	0.000385415	0.280891	0.864873	0.102917	0.018631	0.272938	0.0826074	0.00278424	7.61716	0.0283292	1.59169	1.14822	2046.56	31.7044	0.0127363	0.000290235
5	965.498	14.1257	3.58407	14.2682	4.02356	6.28262	0.0119357	138.447	41.4996	7.11583	2.6772	0.386175	0.493951	0.829201	0.297562	21.0943	1.43342	0.189925	0.319207	3.47533	13.2046	35.5163	0.950036	58.886	0.070793	0.248536	0.159169	0.0575596	0.309727	0.0637976	0.0399822	21.0943	35.5163	0.950036	58.886	0.605341	0.276557	0.00896851	0.00315393	0.00638601	0.00151612	0.00372787	0.0730567	0.0141407	0.000537785	0.297562	0.794363	0.26467	0.0477255	0.25681	0.0528977	0.00503723	13.7674	0.0317604	1.73402	1.04967	3517.76	60.7855	0.0173721	0.000329176
6	1196.42	12.5591	3.76307	13.8926	2.81383	8.21091	0.00906624	123.889	18.4087	10.8396	1.88882	0.487818	0.566284	0.758886	0.331737	21.6952	4.15465	0.358463	0.0894783	5.56667	9.7685	41.5644	0.804881	44.7933	0.0796235	0.355387	0.121789	0.0396458	0.401778	0.127653	0.0329889	21.6952	41.5644	0.804881	44.7933	0.682715	0.160255	0.0104469	0.00100992	0.0104877	0.000341176	0.00354513	0.106374	0.0108403	0.00043473	0.331737	0.673321	0.0883402	0.0391416	0.396667	0.12603	0.00394759	12.0811	0.0222121	1.7585	1.20055	2545.99	51.5545	0.0126789	0.000317124
7	1261.76	8.73703	3.57556	9.95071	6.0037	8.27898	0.0160974	91.6695	32.8391	9.21996	2.47422	0.487064	0.692213	0.747241	0.434496	21.7724	7.3643	0.311876	0.293888	4.82856	13.2454	31.0634	0.951169	43.3363	0.114455	0.166564	0.120788	0.0561011	0.302011	0.102157	0.0434023	21.7724	31.0634	0.951169	43.3363	0.770527	0.138635	0.00880009	0.00347081	0.00388958	0.00072499	0.00285392	0.0526383	0.011173	0.000464299	0.434496	0.771075	0.284584	0.0543251	0.29245	0.0989231	0.00464606	9.67593	0.0334664	1.61275	1.24267	2081.57	47.8841	0.0135199	0.000314568
8	1646.18	9.7312	3.42257	14.1153	3.96187	7.73871	0.00802367	143.765	33.3801	10.5271	1.32943	0.368503	0.667958	0.765309	0.36468	21.0585	4.68744	0.357848	0.0811435	2.79417	10.9083	33.8397	0.639739	32.1185	0.102762	0.252406	0.129221	0.0485598	0.575667	0.176535	0.0313324	21.0585	33.8397	0.639739	32.1185	0.779167	0.0792082	0.0108804	0.000799753	0.00947564	0.000193948	0.00318304	0.0972363	0.0121532	0.000462396	0.36468	0.696997	0.0696778	0.0416982	0.494324	0.15159	0.0038081	10.8846	0.0218386	1.44769	1.12799	2455.16	47.307	0.0147213	0.000343915
9	3168.2	13.4865	3.72614	11.5078	4.44338	9.15324	0.00486673	159.266	33.3957	9.29441	1.49334	0.106009	0.279329	0.663873	0.295018	22.6999	5.61911	0.224901	0.178774	4.60872	12.7351	38.3233	0.616475	38.1955	0.0741482	0.225054	0.109251	0.0199517	0.444556	0.225084	0.0353746	22.6999	38.3233	0.616475	38.1955	0.661994	0.165066	0.0108223	0.00172586	0.016736	0.000650847	0.00380296	0.124335	0.0124623	0.000460451	0.295018	0.759921	0.141662	0.0158099	0.35227	0.178359	0.00268956	8.39634	0.0268819	1.57289	1.04125	2500.02	38.5917	0.0155415	0.000342756
