Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	75.8007	5.9088	3.99448	2.35718	0.0857998	0.178003	0.651506	0.631007	19.3654	3.46322	0.141873	0.51497	8.92788	5.47278	24.0121	1.41875	85.7752	2.69486	39.2822	16.6118
1	9.40867	8.52073	3.36704	11.9071	3.53608	19.2549	0.00526137	97.2581	5.83049	6.70874	2.09648	0.119204	0.779437	0.624828	0.147731	16.1078	2.07563	0.0742598	0.0522454	8.00106	6.23936	22.3782	1.52526	46.2977	37.8771	0.119667	9.40867
2	8681.55	11.3583	3.16858	10.9843	4.15183	7.45121	0.0153161	96.1876	9.9813	6.45169	2.06519	0.258866	0.604873	0.697023	0.85623	16.6317	2.9041	0.254668	0.533463	1.74133	1.12833	33.8761	1.17936	52.9736	16.1656	2.63698	8681.55
3	2718.39	13.7836	2.63743	12.5697	4.32845	12.9781	0.00416176	62.4366	7.72474	8.52766	1.99127	0.294381	0.33567	0.707872	0.356171	18.888	2.44374	0.383542	0.110642	3.60408	2.40367	23.5256	1.68417	64.9365	1.468	0.104744	2718.39
4	939.812	7.52009	2.74786	16.172	2.23867	7.98251	0.00523025	79.3577	12.2546	4.19639	1.82775	0.216999	0.450219	0.657889	0.908179	19.5638	2.84104	0.382236	0.095745	5.64847	3.76343	27.8597	0.264971	51.885	0.381171	2.28416	939.812
5	2902.69	8.44398	2.475	16.2831	3.20711	11.6617	0.0224668	89.8327	9.69023	8.67495	2.39504	0.166591	0.496354	0.617152	0.489619	16.3699	3.76151	0.467446	0.2198	4.92997	3.52304	27.1665	1.53049	62.6329	0.543418	0.657234	2902.69
6	172.026	12.3157	3.90408	12.2938	5.05117	10.1394	0.0355334	80.5184	6.57761	9.64608	1.73457	0.412347	0.259303	0.601899	0.838401	19.2734	2.16633	0.611144	0.818217	5.2336	3.23598	44.6961	1.69596	67.4297	0.271143	0.159353	172.026
7	7.49882	8.16497	2.92571	17.0732	3.30597	5.7591	0.0067205	84.9341	6.08157	6.80275	1.71979	0.504305	0.866219	0.727251	0.730024	14.5818	5.70967	0.313194	0.109757	7.89793	12.9004	22.3788	0.800327	63.8325	0.565277	27.7432	7.49882
8	150.961	13.8829	4.07887	10.3685	3.98396	16.459	0.00566991	64.3219	10.9331	4.72553	1.03374	0.37637	0.621589	0.744092	0.575227	19.8159	4.1065	0.385891	0.419848	5.78107	13.1206	45.7526	1.44871	56.1288	7.97468	0.980993	150.961
9	2834.51	14.4643	2.71449	11.5834	4.62509	13.0039	0.0152153	63.7784	9.29702	8.24261	1.2545	0.522469	0.625066	0.81622	0.766295	17.5956	3.04412	0.334897	0.653998	9.69301	6.72173	38.981	0.724899	64.4926	0.270266	37.9044	2834.51
