"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 849.812 12.3371 3.40747 19.8173 3.21433 7.44785 0.00364499 140.297 37.4564 6.91921 2.97413 0.219017 0.669329 0.753798 0.503345 21.9327 5.49661 0.661235 0.162191 3.83539 6.39453 42.2269 1.13493 64.066 3.96097 2.76267 -52.98474 -1204.386 -1257.371
66300 819.771 10.3727 4.01602 14.8323 3.43821 7.92169 0.00443778 150.809 38.4936 8.01225 2.25576 0.286977 0.825313 0.832369 0.337034 20.2857 3.76106 0.23247 0.254048 7.63399 8.28758 45.875 0.691875 57.7278 5.37347 2.83081 -48.73219 -1208.541 -1257.273
200000 1840.6 10.3856 3.26186 19.4193 3.56432 7.88115 0.00364998 128.955 32.7672 9.25267 2.00543 0.320248 0.87061 0.79327 0.398556 20.7512 5.04636 0.272388 0.138423 2.36987 7.84402 37.8759 0.810208 67.0523 5.33543 3.38087 -48.90815 -1211.482 -1260.39
161800 7776.46 17.7614 3.32731 17.2143 3.04328 11.5786 0.00448183 117.048 17.4893 5.48429 2.31003 0.39735 0.307456 0.842863 0.291381 17.6604 5.76823 0.173393 0.0989888 3.7827 10.6043 41.7102 0.831317 45.8912 3.52715 3.34546 -51.11789 -1208.983 -1260.101
170600 3073.35 7.69876 3.48365 11.1534 3.7123 10.3704 0.00284585 125.288 34.8612 11.463 1.00658 0.520789 0.876309 0.683732 0.370821 21.4159 4.51764 0.228016 0.132493 4.09471 6.74125 33.638 0.555956 62.9746 3.81526 2.46304 -48.0758 -1207.362 -1255.438
168200 3033.9 11.4797 3.93613 9.89104 3.64867 9.12452 0.00435345 140.384 26.4834 3.90869 1.91243 0.439002 0.45332 0.812384 0.302077 19.1616 3.11166 0.310078 0.0558959 5.3221 12.1142 38.7289 0.714577 58.9312 4.39301 2.36768 -48.99057 -1205.276 -1254.267
67100 3629.7 19.2507 3.54945 12.9683 4.87978 8.72758 0.00404085 128.035 36.4041 7.73112 1.8824 0.28044 0.781612 0.660115 0.354318 15.8445 4.9514 0.153586 0.194998 12.7865 11.4996 37.125 0.728889 67.1098 4.88677 2.32664 -50.31766 -1207.005 -1257.322
106100 2827.66 9.17721 3.56183 11.9167 4.49023 7.09868 0.00356825 103.625 16.7695 4.06935 1.05921 0.493972 0.178023 0.744527 0.355804 17.3402 3.3887 0.286905 0.242507 4.80559 7.35681 34.1145 0.754422 60.8731 3.62137 2.53301 -46.45547 -1209.969 -1256.424
168900 1417.36 7.08956 3.43974 9.58579 3.7311 8.65261 0.00317401 118.299 34.8674 4.12918 1.19559 0.34793 0.264234 0.726068 0.3704 24.4867 4.12723 0.255194 0.122382 9.74642 5.76874 33.5591 0.574147 48.0745 4.92161 3.02101 -48.07653 -1212.02 -1260.097
47000 3464.9 12.9635 3.85252 10.1437 3.97632 8.80826 0.00306239 135.596 38.7978 11.4621 2.39657 0.435967 0.392428 0.65056 0.300101 18.2946 6.04659 0.132564 0.401628 10.8716 9.65904 38.9218 0.57968 56.4347 4.69278 2.38485 -51.95566 -1205.634 -1257.589
64700 934.36 8.84677 3.80102 17.2818 2.89371 7.10157 0.00442285 125.132 33.6619 5.4381 1.76219 0.504204 0.632399 0.840418 0.364966 17.1918 5.39277 0.288899 0.0903192 5.52964 13.104 38.5318 0.572885 69.5338 4.23678 2.957 -49.5569 -1205.201 -1254.757
108800 3038.91 14.872 3.29511 12.8689 2.50254 8.81016 0.00360951 133.465 38.3064 6.99412 2.45981 0.196367 0.207088 0.934881 0.362066 17.0014 4.01651 0.186539 0.199436 8.96941 10.9553 39.0279 0.47184 45.2463 3.84248 3.05493 -50.55815 -1208.116 -1258.674
85300 641.536 14.2822 4.4225 10.1261 2.18346 8.31193 0.00610829 135.421 35.3407 5.42707 2.27208 0.18679 0.47847 0.766347 0.300777 16.2492 3.58548 0.190294 0.34397 8.99989 9.23207 35.6876 0.554155 65.9343 4.59875 2.39479 -49.50016 -1205.938 -1255.438
78100 6508.61 13.0847 3.43071 9.97367 3.31028 10.1426 0.00374218 139.047 22.8409 6.05041 1.86391 0.379718 0.609038 0.786308 0.36292 17.1221 4.23458 0.375581 0.0859677 7.53901 9.83062 44.3529 0.878842 46.0037 5.11585 3.43156 -49.35911 -1209.219 -1258.578
177000 1601.59 8.83778 3.48286 13.8911 2.57844 10.0944 0.00521707 130.083 29.2068 8.07272 2.67352 0.149657 0.579501 0.737109 0.291375 21.7917 4.98945 0.0508519 0.244685 5.27114 8.4978 34.1951 0.648986 57.1644 4.97066 2.88705 -47.09848 -1207.006 -1254.105
50600 7533.66 8.94936 3.95861 9.80719 4.43983 15.2855 0.00595426 150.062 34.7106 3.95305 2.10593 0.459976 0.452972 0.909582 0.281922 16.6596 3.28854 0.220031 0.075013 10.7518 6.76488 38.1868 0.78713 56.8304 4.71212 3.19628 -53.11291 -1210.269 -1263.382
121500 260.119 12.4047 3.83599 16.5994 2.78027 5.62928 0.00415681 127.079 26.2853 7.1028 2.12971 0.145052 0.976305 0.734592 0.36591 18.642 4.17382 0.221676 0.149458 2.94608 7.32909 43.088 0.551856 57.6633 4.93553 3.79599 -47.55362 -1204.316 -1251.87
122100 1988.72 13.2768 3.31846 10.3105 4.86796 8.31437 0.00479092 121.536 27.6993 6.13769 1.40483 0.258277 0.578879 0.741332 0.299104 22.4199 5.19427 0.0447966 0.276198 6.02507 6.66674 24.7663 0.702536 66.1831 3.57204 3.03026 -47.75086 -1209.103 -1256.854
128700 1850.6 12.7281 3.41217 11.8384 4.26267 6.34186 0.00455968 115.954 28.2939 6.55529 2.04189 0.353574 0.739825 0.727244 0.472598 16.0243 5.68938 0.532236 0.253927 9.74827 9.78832 37.6578 1.03454 57.5508 4.35794 2.97918 -49.93438 -1206.459 -1256.394
46800 735.055 9.26024 3.54856 19.1767 2.70957 6.86161 0.00347852 138.564 39.223 5.49632 2.28275 0.534057 0.611073 0.880143 0.420686 20.6758 4.08026 0.411014 0.176926 4.964 10.1144 40.1654 0.716843 60.8138 4.39302 2.57041 -48.89294 -1204.357 -1253.25
196700 6069.97 9.8584 3.93121 7.80903 5.67383 12.0179 0.00518826 156.331 33.566 8.05276 1.52675 0.0223248 0.472379 0.928446 0.325881 19.0751 3.79646 0.380712 0.123297 8.88099 11.3639 36.7729 0.859631 61.5195 5.00671 2.59068 -53.65403 -1206.333 -1259.987
198800 583.367 13.6143 3.89022 13.3694 3.15653 7.77093 0.00512734 99.6279 34.775 5.51926 1.39033 0.190079 0.467762 0.720636 0.379751 19.105 4.08111 0.133396 0.288052 11.5059 6.20913 30.7339 0.604401 72.2343 4.1894 3.31411 -46.32464 -1208.73 -1255.055
133600 276.95 12.5682 3.50668 13.8124 2.08858 7.72243 0.0067805 80.12 21.8778 4.63929 1.42461 0.384017 0.761755 0.689422 0.577603 19.0776 4.83309 0.529922 0.129708 2.78253 8.60481 29.7062 0.726328 63.0757 3.80346 2.40497 -45.08016 -1214.465 -1259.545
88200 2879.88 13.0192 3.7611 15.4363 2.72416 15.2803 0.0072301 112.506 26.9654 6.21847 2.09834 0.43989 0.565693 0.765122 0.439802 18.9029 5.89437 0.404702 0.145575 7.48144 11.5025 45.0847 1.03986 45.9312 3.29726 3.11516 -52.26588 -1214.107 -1266.373
108100 2540.23 12.5217 3.54147 9.6344 3.73448 6.60873 0.00373637 133.41 22.7956 9.36172 1.6828 0.246099 0.815116 0.820596 0.306928 17.3331 5.23133 0.179726 0.10902 7.26006 13.1901 39.0277 0.579907 57.4526 4.25809 2.53877 -48.27249 -1202.707 -1250.98
139400 650.339 15.793 3.66159 11.1181 4.79576 5.28867 0.0029357 98.5414 37.7966 10.1673 2.54 0.391781 0.637033 0.80425 0.412368 21.7376 4.74301 0.34078 0.168174 7.32477 6.91864 30.5278 0.470765 58.377 4.12206 3.51273 -47.27723 -1209.603 -1256.88
113900 442.262 12.8612 3.40668 9.57312 3.96934 6.18422 0.00493552 98.4303 28.2186 4.36095 1.955 0.127692 0.41868 0.893233 0.412054 20.5116 6.55474 0.0586681 0.164049 5.8158 6.69915 35.527 0.621864 74.0388 5.14945 2.44082 -51.05311 -1209.345 -1260.398
133400 7556.01 14.9045 3.44541 14.2439 6.28308 8.69009 0.00379132 131.676 25.5833 5.13578 2.76826 0.299865 0.499932 0.622301 0.298934 17.0909 4.64192 0.122534 0.079499 10.0704 12.85 46.2151 0.852024 57.4919 3.94744 3.24915 -54.05595 -1207.409 -1261.465
