"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,8.05936300000002e-12,6.36915349999996e-10,2.57206724999997e-09
8,"CumDeath",0,0,0,0,0,5.2008925e-10,2.934393e-09,7.3019225e-09,1.14074775e-08
9,"CumDeath",0,0,0,0,1.47664e-09,5.53131e-09,1.314639e-08,2.1570935e-08,2.81970225e-08
10,"CumDeath",0,0,7.13364900000001e-11,2.680825e-09,8.517055e-09,1.71602e-08,3.204829e-08,4.2742555e-08,5.180841e-08
11,"CumDeath",1.699725e-09,3.137355e-09,5.41032e-09,1.0641425e-08,1.934565e-08,3.3896075e-08,5.634357e-08,6.95464399999999e-08,8.3173395e-08
12,"CumDeath",6.34111475e-09,8.897225e-09,1.289916e-08,1.99587e-08,3.365165e-08,5.5810725e-08,8.515964e-08,1.0192385e-07,1.2068125e-07
13,"CumDeath",1.18969125e-08,1.5511005e-08,2.076768e-08,3.04305e-08,5.007835e-08,8.2346125e-08,1.194541e-07,1.422675e-07,1.62174725e-07
14,"CumDeath",1.71105375e-08,2.302239e-08,3.07784e-08,4.2949325e-08,7.065625e-08,1.1130825e-07,1.574172e-07,1.883641e-07,2.1582115e-07
15,"CumDeath",2.6294075e-08,3.2301645e-08,4.213156e-08,5.85284e-08,9.44247e-08,1.470415e-07,2.017971e-07,2.4629625e-07,2.77167625e-07
16,"CumDeath",3.64775675e-08,4.417115e-08,5.573037e-08,7.8028075e-08,1.227465e-07,1.9026675e-07,2.50828e-07,3.020274e-07,3.5213355e-07
17,"CumDeath",4.87321725e-08,5.9606905e-08,7.374126e-08,1.003405e-07,1.56586e-07,2.3367175e-07,3.100478e-07,3.804879e-07,4.273123e-07
18,"CumDeath",6.492939e-08,7.7309175e-08,9.701954e-08,1.29053e-07,1.958715e-07,2.9010225e-07,3.76362e-07,4.576602e-07,5.1254665e-07
19,"CumDeath",8.657873e-08,9.995734e-08,1.242572e-07,1.6323025e-07,2.438685e-07,3.556815e-07,4.583107e-07,5.378548e-07,6.14417575e-07
20,"CumDeath",1.15911725e-07,1.313208e-07,1.594793e-07,2.0615875e-07,3.01919e-07,4.33703e-07,5.533453e-07,6.405863e-07,7.1720605e-07
21,"CumDeath",1.50447925e-07,1.7569415e-07,2.050506e-07,2.5918875e-07,3.723485e-07,5.2660475e-07,6.701861e-07,7.5893535e-07,8.55543374999999e-07
22,"CumDeath",1.9764835e-07,2.234513e-07,2.605951e-07,3.2720325e-07,4.601915e-07,6.358895e-07,8.187803e-07,9.3248735e-07,1.025045e-06
23,"CumDeath",2.58015325e-07,2.94142e-07,3.31692e-07,4.144495e-07,5.689e-07,7.6727475e-07,9.71508e-07,1.124824e-06,1.25765875e-06
24,"CumDeath",3.330899e-07,3.8100605e-07,4.22432e-07,5.172205e-07,6.850495e-07,9.2122575e-07,1.155215e-06,1.34625e-06,1.548519e-06
25,"CumDeath",4.30669575e-07,4.900393e-07,5.274924e-07,6.4796075e-07,8.363185e-07,1.109595e-06,1.372521e-06,1.5636255e-06,1.87375975e-06
26,"CumDeath",5.51246025e-07,6.130263e-07,6.521844e-07,8.0352375e-07,1.016055e-06,1.331305e-06,1.628575e-06,1.8540865e-06,2.23331025e-06
27,"CumDeath",7.02225575e-07,7.6997915e-07,8.273924e-07,9.922925e-07,1.236835e-06,1.6011775e-06,1.937315e-06,2.184412e-06,2.611241e-06
28,"CumDeath",8.7651125e-07,9.510407e-07,1.035767e-06,1.2244175e-06,1.48852e-06,1.9060775e-06,2.278595e-06,2.5788205e-06,3.042419e-06
29,"CumDeath",1.10681725e-06,1.1721045e-06,1.268958e-06,1.49625e-06,1.802055e-06,2.2615375e-06,2.671339e-06,3.0645035e-06,3.53573925e-06
30,"CumDeath",1.3742385e-06,1.436997e-06,1.554313e-06,1.8119575e-06,2.140975e-06,2.69783e-06,3.126473e-06,3.60205e-06,4.11065975e-06
31,"CumDeath",1.671626e-06,1.7730965e-06,1.888719e-06,2.17351e-06,2.555485e-06,3.1737925e-06,3.663661e-06,4.184135e-06,4.76640025e-06
32,"CumDeath",2.0065845e-06,2.1545155e-06,2.276615e-06,2.6137925e-06,3.028305e-06,3.7063125e-06,4.254628e-06,4.8758845e-06,5.496615e-06
33,"CumDeath",2.41039e-06,2.5543405e-06,2.722667e-06,3.072985e-06,3.57262e-06,4.2962875e-06,4.935134e-06,5.580279e-06,6.257187e-06
34,"CumDeath",2.85390725e-06,3.03174e-06,3.202472e-06,3.6174325e-06,4.167625e-06,4.9381625e-06,5.650599e-06,6.379839e-06,7.2057675e-06
35,"CumDeath",3.32003775e-06,3.5284215e-06,3.764227e-06,4.206475e-06,4.803635e-06,5.6862275e-06,6.46989e-06,7.2230985e-06,8.170438e-06
36,"CumDeath",3.891102e-06,4.0730235e-06,4.382814e-06,4.8759825e-06,5.510965e-06,6.4644775e-06,7.383179e-06,8.11424e-06,9.151925e-06
37,"CumDeath",4.4999675e-06,4.708631e-06,5.028906e-06,5.5968825e-06,6.28729e-06,7.2938125e-06,8.41415e-06,9.0586245e-06,1.018123e-05
38,"CumDeath",5.1119795e-06,5.426797e-06,5.730337e-06,6.3407725e-06,7.110335e-06,8.17753e-06,9.319737e-06,1.01143e-05,1.129252e-05
39,"CumDeath",5.771868e-06,6.15199e-06,6.446698e-06,7.1330475e-06,8.01722e-06,9.140025e-06,1.038867e-05,1.1236225e-05,1.24735325e-05
40,"CumDeath",6.50407225e-06,6.8560365e-06,7.258498e-06,7.9531975e-06,8.971525e-06,1.0124375e-05,1.145277e-05,1.237956e-05,1.36836375e-05
41,"CumDeath",7.2764695e-06,7.629927e-06,8.070403e-06,8.8039025e-06,9.94729e-06,1.11546e-05,1.248663e-05,1.359918e-05,1.4924015e-05
42,"CumDeath",8.08623025e-06,8.454481e-06,8.902006e-06,9.6770425e-06,1.09428e-05,1.2172475e-05,1.366112e-05,1.47836e-05,1.6181125e-05
43,"CumDeath",8.86007075e-06,9.255759e-06,9.721138e-06,1.0619525e-05,1.196915e-05,1.327865e-05,1.482687e-05,1.6048745e-05,1.73851625e-05
44,"CumDeath",9.69530325e-06,1.008892e-05,1.059972e-05,1.1569175e-05,1.298745e-05,1.438765e-05,1.605307e-05,1.7321815e-05,1.86938025e-05
45,"CumDeath",1.06047725e-05,1.098282e-05,1.151126e-05,1.25613e-05,1.408155e-05,1.550185e-05,1.719394e-05,1.866429e-05,2.00091225e-05
46,"CumDeath",1.13997275e-05,1.1956975e-05,1.242946e-05,1.3554075e-05,1.51284e-05,1.663075e-05,1.843945e-05,2.0018855e-05,2.12607125e-05
47,"CumDeath",1.22439075e-05,1.2809935e-05,1.337661e-05,1.4580025e-05,1.6228e-05,1.7800825e-05,1.967605e-05,2.1193725e-05,2.249872e-05
48,"CumDeath",1.315903e-05,1.3667385e-05,1.430207e-05,1.5621125e-05,1.730795e-05,1.898495e-05,2.094731e-05,2.2447705e-05,2.37832625e-05
49,"CumDeath",1.40665975e-05,1.4620485e-05,1.521926e-05,1.6616325e-05,1.839805e-05,2.0190525e-05,2.215109e-05,2.3845495e-05,2.512625e-05
50,"CumDeath",1.49570525e-05,1.5526865e-05,1.622658e-05,1.76443e-05,1.948695e-05,2.134285e-05,2.3342e-05,2.524395e-05,2.6452815e-05
51,"CumDeath",1.58541325e-05,1.6404225e-05,1.725751e-05,1.868435e-05,2.058575e-05,2.259055e-05,2.466016e-05,2.6399645e-05,2.77209575e-05
52,"CumDeath",1.67654475e-05,1.728011e-05,1.825318e-05,1.9711675e-05,2.17213e-05,2.3750325e-05,2.587252e-05,2.774691e-05,2.899867e-05
53,"CumDeath",1.76672275e-05,1.8182065e-05,1.92616e-05,2.0759025e-05,2.28252e-05,2.4928275e-05,2.7101e-05,2.905772e-05,3.0260285e-05
54,"CumDeath",1.856059e-05,1.912444e-05,2.031019e-05,2.1788325e-05,2.39075e-05,2.610975e-05,2.836032e-05,3.0277545e-05,3.149611e-05
55,"CumDeath",1.94449425e-05,2.0073255e-05,2.131063e-05,2.2828375e-05,2.49513e-05,2.7246175e-05,2.962498e-05,3.1426875e-05,3.26857425e-05
56,"CumDeath",2.032146e-05,2.1038925e-05,2.228845e-05,2.3881025e-05,2.60176e-05,2.835605e-05,3.086724e-05,3.2560695e-05,3.39019475e-05
57,"CumDeath",2.12376925e-05,2.197406e-05,2.331028e-05,2.4953675e-05,2.713875e-05,2.953745e-05,3.196062e-05,3.375374e-05,3.510821e-05
