"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 473.894 8.75168 2.98818 16.1616 2.59389 7.70485 0.00400166 139.796 39.6875 3.86555 2.62669 0.0958001 0.532869 0.745016 0.430593 18.7411 4.53182 0.0720143 0.268275 7.48636 9.77009 36.8251 0.529618 33.3625 15.4888 2.60058 -46.59193 -924.1449 -970.7368
66300 1103.92 13.7689 3.76956 15.576 5.04474 10.24 0.0036472 155.868 37.5908 3.72668 1.73973 0.19405 0.48376 0.767451 0.394845 17.9414 5.25065 0.375748 0.262138 6.80269 8.35201 34.3902 0.640022 36.803 11.9813 3.09604 -46.4442 -925.9312 -972.3755
200000 2294.43 11.4649 4.40181 14.4142 3.79055 14.3199 0.0037909 166.054 34.0102 4.17634 1.41404 0.1943 0.5918 0.649579 0.292544 17.1522 3.86587 0.365346 0.16821 8.82871 13.7934 32.4778 0.593511 38.57 10.1434 2.57313 -48.58228 -926.1654 -974.7477
161800 2013.24 11.6501 3.27592 8.57537 4.03114 11.0009 0.00255652 109.058 32.3543 7.55705 1.87429 0.460349 0.618035 0.672727 0.457061 16.7166 5.32237 0.363314 0.0957196 10.1666 9.90634 37.0544 0.511767 30.2177 15.468 1.66374 -47.04761 -929.6622 -976.7098
170600 2274.96 10.4895 3.77811 13.7664 5.0868 11.066 0.00461718 160.164 39.2262 6.87758 2.26379 0.441206 0.770264 0.782304 0.343216 17.1229 3.73591 0.303222 0.603668 11.4197 12.0603 42.6279 0.80613 26.7592 12.8159 2.22006 -52.65313 -921.9145 -974.5676
168200 924.296 15.2145 4.19547 17.4619 3.0261 13.8138 0.0046408 151.835 35.8188 3.85741 2.05649 0.0254767 0.572452 0.618487 0.310981 17.9822 4.14416 0.18547 0.292705 9.71609 10.3041 37.8324 0.616451 27.9491 11.4573 1.71154 -48.87641 -921.4545 -970.3309
67100 2207.89 19.9529 3.27595 9.15556 4.93604 13.8548 0.0038532 147.669 30.4685 4.70787 2.70604 0.166855 0.643426 0.792621 0.344769 17.4009 4.40589 0.0644029 0.0995706 8.95976 4.4784 45.1524 0.623863 19.2621 10.8283 1.36062 -50.21066 -927.7441 -977.9548
106100 1157.15 19.4778 3.31699 18.1401 3.15058 9.78407 0.00271828 138.058 32.8828 3.51756 2.01279 0.39458 0.453447 0.69253 0.38971 19.0724 3.20774 0.265371 0.182667 6.52509 4.66658 33.6457 0.611131 39.3573 16.5576 1.47267 -45.79545 -926.1553 -971.9508
168900 4916.42 13.4506 4.25137 16.6381 2.67095 15.9171 0.00298569 151.6 26.2638 8.5437 1.75794 0.537898 0.588919 0.707009 0.254406 19.1116 5.24349 0.362937 0.205818 7.58574 13.7818 41.997 0.707763 31.2582 12.987 2.39353 -53.4899 -921.5295 -975.0194
47000 1554.79 18.73 3.87375 15.7948 4.71083 6.46197 0.00158563 152.487 31.8074 8.37517 2.31513 0.0752076 0.377674 0.62384 0.291921 18.7767 2.63619 0.207781 0.293878 2.53875 11.5493 40.8117 0.460947 43.0473 13.7178 2.44787 -51.14924 -924.4345 -975.5838
64700 1840.23 15.8729 2.91045 11.5416 3.48215 8.92479 0.00399597 167.547 32.7521 4.91327 2.2548 0.102151 0.647593 0.678489 0.395361 18.1285 5.90927 0.17895 0.642849 8.17911 12.9216 42.9975 0.907445 38.2019 15.1673 2.30794 -52.08279 -923.9686 -976.0514
108800 3506.24 13.8124 2.96092 13.1275 5.35236 12.2369 0.00339342 139.844 36.5366 6.54186 1.06474 0.378845 0.531729 0.835484 0.380002 17.2815 4.65402 0.154099 0.143487 10.4412 13.7807 38.5429 0.624171 20.1705 16.0179 3.36396 -51.19625 -928.5564 -979.7527
85300 2992.07 14.5477 3.09994 11.3953 2.2626 10.0212 0.00180183 174.105 40.3813 9.22654 2.90479 0.0717916 0.452078 0.711281 0.384693 18.219 3.52687 0.28806 0.202774 8.21358 13.7635 33.0054 0.429625 35.3101 9.57959 1.25807 -49.34458 -926.7997 -976.1443
78100 1315.02 17.3254 3.72475 12.6377 4.7759 12.4694 0.00460577 136.313 28.4465 3.5151 2.47739 0.0215518 0.275962 0.902825 0.300044 19.3083 5.19301 0.126304 0.176283 6.07624 5.85988 35.3015 0.610907 32.4394 17.843 2.37198 -49.48241 -925.1562 -974.6386
177000 3173.42 14.3333 2.90221 13.3513 3.19627 10.7158 0.00299329 145.042 27.285 7.84942 2.4013 0.269182 0.88087 0.639697 0.365612 19.2924 4.88673 0.266907 0.0931417 8.54645 13.416 34.9511 0.678434 27.4684 13.1577 2.36317 -48.95246 -920.3572 -969.3096
50600 885.349 16.3228 3.96355 14.1344 4.08591 7.98338 0.00269823 125.22 25.7108 6.26344 1.31093 0.532317 0.545835 0.736348 0.337071 19.1798 4.49318 0.402973 0.311369 8.18068 12.8095 24.237 0.846507 67.1927 16.0917 1.66913 -49.59438 -925.0543 -974.6487
121500 2558.73 12.9609 4.29838 13.3089 4.03973 11.8733 0.00385285 151.741 27.9564 7.03082 2.9115 0.329309 0.494565 0.799657 0.237766 19.023 3.66626 0.291882 0.469422 6.1552 13.2328 33.5313 0.821884 55.6901 16.621 1.84051 -50.68734 -921.7545 -972.4418
122100 1080.15 11.5818 3.99651 13.1141 3.33311 12.9626 0.0030388 155.498 35.7601 3.81035 1.73435 0.369038 0.613294 0.670422 0.359554 19.3944 4.9799 0.306989 0.382636 10.2871 6.21602 45.163 0.724881 24.4803 14.9335 2.78786 -51.77915 -926.4997 -978.2789
128700 2497.38 8.86013 3.74425 11.9004 4.55619 17.938 0.00506152 135.63 35.0845 8.08255 2.58601 0.0212568 0.580389 0.677376 0.337047 19.1704 5.02688 0.294451 0.102117 10.7206 11.2884 26.0634 0.688295 27.8587 13.0076 1.74273 -49.3671 -929.731 -979.0981
46800 2172.06 16.1536 3.87695 17.4838 4.82483 14.1943 0.00360727 133.872 34.1388 5.51433 2.84296 0.163587 0.404091 0.656933 0.326558 17.4512 5.42211 0.169089 0.12846 10.6841 13.6779 40.1644 0.508337 26.6572 12.1679 2.30353 -50.29185 -925.7325 -976.0243
196700 778.39 7.70178 4.06657 18.6126 3.41441 9.95048 0.00422557 132.488 27.6232 3.89405 1.29355 0.26609 0.47622 0.668952 0.319762 17.6323 3.7615 0.243425 0.29317 8.84655 13.4088 37.3898 0.699693 41.5624 16.3222 2.44037 -47.14785 -923.7467 -970.8945
198800 1660.92 10.9384 3.55024 12.0549 4.91748 6.96965 0.00182595 138.9 33.0999 7.16996 2.10009 0.378455 0.425774 0.676625 0.363617 18.4401 5.4141 0.326797 0.280168 7.47308 13.871 32.4367 0.518314 44.9871 8.609 2.28414 -46.57859 -926.9817 -973.5603
133600 4314.78 14.532 3.99554 18.303 4.55622 18.3592 0.00415426 145.034 26.1695 5.95307 2.07132 0.396607 0.682829 0.611458 0.160448 19.7581 5.1474 0.0490689 0.355049 6.82741 10.5953 42.0338 0.671339 17.759 13.0315 1.72225 -55.60263 -924.0414 -979.6441
88200 2217.92 13.567 3.29349 8.45183 4.95924 11.8099 0.00390733 172.873 37.7266 2.91048 2.2585 0.151064 0.332607 0.828624 0.337711 20.628 5.13187 0.140083 0.111346 5.01716 11.8113 38.8797 0.463305 28.9085 15.644 1.49604 -52.96514 -923.4617 -976.4269
108100 3704.58 9.08942 2.99994 17.7796 2.77515 10.8271 0.00201717 159.095 33.0504 9.02582 1.2187 0.163231 0.560678 0.652742 0.366007 17.7408 5.49206 0.122457 0.211224 8.73373 12.6592 45.1614 0.441835 33.1471 13.1529 1.78245 -51.23208 -925.5481 -976.7801
139400 3890.19 10.9858 3.56589 16.4154 2.81049 12.7531 0.00249236 153.325 29.7534 2.27952 2.18547 0.225198 0.189336 0.631045 0.418638 18.6871 2.90546 0.779379 0.0662795 9.1385 10.0035 32.0491 0.837161 32.0247 19.6458 3.82394 -55.41108 -928.6215 -984.0325
113900 437.996 8.17879 3.60875 16.6729 2.8732 8.51663 0.00378004 134.731 26.9724 3.92933 1.93759 0.282165 0.762287 0.729705 0.352511 18.5645 6.56879 0.214781 0.124153 7.92312 12.5588 35.6385 0.572964 30.9041 13.7078 1.33098 -46.69627 -921.5773 -968.2735
133400 751.529 8.42654 4.30467 13.5791 4.12671 7.60349 0.00249096 115.688 32.6102 9.7015 2.85985 0.30413 0.460416 0.630046 0.316318 16.9942 3.83726 0.275467 0.357203 11.8963 13.2238 37.3814 0.463375 25.4621 14.005 2.58326 -49.34423 -927.4099 -976.7542
54200 2974.65 14.8017 3.91016 12.2734 3.39981 16.9315 0.0040554 161.866 39.8634 7.41113 2.10522 0.206939 0.753019 0.647972 0.324105 17.1138 5.48481 0.311867 0.357367 13.0916 12.27 25.2603 0.738494 54.1915 12.617 2.34189 -51.50539 -924.5364 -976.0418
178100 1088.89 7.27194 2.94871 8.70978 3.83964 7.51795 0.00338332 125.563 27.2064 8.05056 2.06636 0.320409 0.59572 0.843578 0.395038 18.769 4.78532 0.148867 0.266861 8.37141 9.89397 35.5693 0.566768 34.3243 14.8222 3.62392 -45.89667 -926.8345 -972.7312
108200 3197.61 9.11151 3.00734 9.37691 5.54501 7.024 0.0029346 143.197 27.8465 5.17214 2.18272 0.227524 0.535985 0.694764 0.300562 15.9438 3.83715 0.0969012 0.296088 10.7061 12.1047 33.6588 0.613339 39.8494 16.1943 1.58455 -49.15257 -926.3051 -975.4577
156400 1145.55 14.0144 3.98747 13.6397 4.03483 9.69364 0.00392251 166.105 36.4918 4.03602 1.2407 0.122969 0.730395 0.621512 0.458795 16.895 4.92223 0.829395 0.228711 9.8458 13.163 39.1964 0.942835 30.7984 15.3015 1.55691 -53.76261 -921.1498 -974.9124
46600 1540.73 12.2671 3.9193 11.7974 3.66938 14.7476 0.00374527 146.553 38.5044 6.29216 2.01814 0.129452 0.50016 0.66702 0.334993 19.6 4.19118 0.198065 0.195031 7.49727 7.39695 40.5738 0.461675 21.2082 15.6488 3.98707 -49.85171 -924.3397 -974.1914
187700 124.242 13.4422 4.21487 9.23531 3.23164 5.77017 0.00300174 148.738 38.2258 5.73177 2.95795 0.395132 0.781876 0.836031 0.332292 19.3537 5.41834 0.249265 0.527687 5.59365 4.37999 39.7869 0.505011 33.5752 12.9878 2.04408 -49.33348 -920.6191 -969.9525
130000 980.219 17.7367 3.11024 14.0702 4.00446 9.31243 0.00326259 147.465 41.5616 2.82588 2.38307 0.121768 0.464443 0.602807 0.478916 19.7786 5.23464 0.364314 0.19245 9.80224 3.86113 33.6734 0.747651 33.3932 11.9945 1.34827 -47.86548 -927.5726 -975.4381
171900 2176.43 13.2589 4.07149 7.82269 3.15511 12.6868 0.00227133 145.245 32.5341 6.81224 2.06686 0.131095 0.228044 0.645916 0.362965 18.934 2.40247 0.48718 0.445202 9.60639 8.43833 41.8419 0.819011 35.998 12.05 1.70378 -53.45973 -924.7482 -978.2079
173700 562.506 14.6707 2.94702 14.3502 2.97733 5.4119 0.00244642 156.664 37.514 5.52993 1.62691 0.0891136 0.67191 0.765273 0.426679 17.8988 3.6669 0.230695 0.370597 7.37473 10.3757 34.4714 0.588382 44.4558 11.2474 1.88914 -45.88835 -924.6701 -970.5584
52800 4701.15 9.96605 3.69606 8.74863 2.43107 16.4543 0.00514122 157.06 25.0327 5.90539 1.77738 0.422827 0.63983 0.906156 0.196774 17.4408 5.72092 0.154224 0.227097 12.0639 10.6382 34.941 0.682773 39.1637 13.1445 1.48584 -52.25627 -929.0369 -981.2932
