Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	806.456	7.77403	3.72165	7.50709	3.14044	10.8305	0.00903852	137.261	28.0947	8.39088	1.344	0.512692	0.466006	0.744383	0.061852	18.949	4.97395	0.127268	0.593952	4.88384	3.09777	37.1614	0.714059	35.4766	0.128633	0.318427	0.0923318	0.0201458	0.269899	0.190191	0.0457736	18.949	37.1614	0.714059	35.4766	0.972418	0.00252734	2.69201e-05	3.1257e-05	9.98878e-05	2.49954e-05	9.90373e-05	0.023972	0.00194839	0.000144481	0.061852	0.701743	0.54343	0.0184322	0.246941	0.174014	0.00216356	5.49328	0.0321213	0.727333	0.707271	3.8515	1e-15	0.00129718	0
1	769.575	9.30816	3.62122	8.00594	4.01618	6.54623	0.00500147	136.678	23.6551	7.95374	1.28922	0.410921	0.727356	0.671181	0.140376	18.1792	2.81958	0.387777	0.292748	2.71283	6.29364	26.7464	0.878484	41.312	0.107433	0.248993	0.15276	0.0361567	0.30668	0.255053	0.0690957	18.1792	26.7464	0.878484	41.312	0.96054	0.00243402	8.88638e-05	3.34454e-05	0.000128964	1.61082e-05	6.23799e-05	0.0360102	0.00178829	0.000131384	0.140376	0.467025	0.276679	0.0341721	0.289847	0.241053	0.00274552	7.16965	0.0322694	0.895235	0.859909	5.77875	0.113011	0.00196989	0.000130266
2	320.695	9.3514	3.1219	9.00728	3.58882	7.13962	0.00895213	132.99	25.3336	3.10334	1.73131	0.55942	0.760457	0.926546	0.116519	20.4855	4.33715	0.109567	0.267828	2.78385	5.57747	26.5725	0.770079	40.3814	0.106936	0.278643	0.140063	0.100032	0.235785	0.0424268	0.0485456	20.4855	26.5725	0.770079	40.3814	0.982958	0.0010087	4.35283e-05	1.45114e-05	5.60743e-05	1.64043e-05	6.83279e-05	0.0140273	0.0022106	0.000110876	0.116519	0.790147	0.252518	0.0943135	0.222307	0.0400016	0.00247876	7.17762	0.0383582	0.87806	0.863096	5.74257	0.112077	0.00237497	0.000109897
3	1319.52	13.7977	2.6513	13.5152	4.22072	6.54492	0.00527891	131.898	32.7221	7.91484	2.20712	0.199962	0.368361	0.680961	0.0867908	20.0027	4.70844	0.14047	0.379213	4.76856	11.2865	22.7126	0.814266	37.7979	0.0724758	0.236926	0.15279	0.025355	0.246835	0.14455	0.0299731	20.0027	22.7126	0.814266	37.7979	0.96075	0.00649523	8.13426e-05	4.1225e-05	0.000119505	2.8723e-05	6.158e-05	0.0319449	0.00246271	0.000129481	0.0867908	0.709394	0.341504	0.0228337	0.22229	0.130176	0.00272754	11.2228	0.0212628	0.894728	0.85961	5.8032	0.111336	0.0026404	0.000127487
4	897.457	7.00532	3.34667	11.7849	4.08044	8.73856	0.00555252	130.779	29.6859	5.09758	1.3201	0.520771	0.72283	0.738976	0.0882681	17.6532	4.15877	0.178623	0.248267	2.90114	7.23456	32.8723	0.730754	26.6032	0.142749	0.245072	0.114435	0.0502164	0.268267	0.19773	0.0324973	17.6532	32.8723	0.730754	26.6032	0.976534	0.00178273	7.51257e-05	2.1927e-05	0.000123948	1.28307e-05	8.0991e-05	0.0204127	0.00229645	9.80474e-05	0.0882681	0.648181	0.228843	0.0462875	0.247278	0.18226	0.00182441	8.89194	0.0210641	0.89868	0.877591	5.68616	0.0956247	0.00245863	9.69487e-05
5	1101.61	15.1353	3.71748	13.1372	5.17057	5.84759	0.00342848	169.786	32.9966	5.29052	1.08975	0.274376	0.148618	0.607007	0.0185198	18.9759	3.908	0.161072	0.962053	8.05958	5.13734	25.026	0.905037	39.9024	0.0660707	0.193402	0.171011	0.0123731	0.404183	0.360627	0.0483915	18.9759	25.026	0.905037	39.9024	0.939232	0.00838663	2.9831e-05	6.07113e-05	4.63907e-05	2.26032e-05	4.97812e-05	0.0517817	0.00205217	0.000103565	0.0185198	0.525975	0.710236	0.00913444	0.298389	0.266233	0.00151655	11.9128	0.0254527	0.487717	0.458079	4.60668	0.0535864	0.00220142	0.000103141
6	1540.42	19.9724	2.79206	9.66232	3.47611	9.31203	0.00733654	162.787	35.928	8.86145	1.80153	0.18986	0.631471	0.662885	0.00853584	20.0316	4.37352	0.0990536	0.389592	7.64185	8.75943	29.7579	0.853307	23.5876	0.0500691	0.287678	0.107388	0.038269	0.298096	0.187127	0.0310312	20.0316	29.7579	0.853307	23.5876	0.96482	0.00738418	6.213e-05	2.51318e-05	0.000152632	2.05574e-05	8.72881e-05	0.0280012	0.00176041	0.000155484	0.00853584	0.623853	0.295693	0.0290454	0.226249	0.142026	0.00242969	8.25702	0.0193589	0.825176	0.796146	6.07299	0.136127	0.00196778	0.000153548
7	911.914	7.71859	3.10327	18.6381	2.65608	7.8792	0.00279014	156.194	35.6621	11.477	1.93761	0.193147	0.436872	0.709312	0.14952	20.5434	5.12625	0.445995	0.23848	6.28429	4.57785	22.9563	1.01285	42.8411	0.129557	0.376495	0.126916	0.021785	0.295369	0.150024	0.0211318	20.5434	22.9563	1.01285	42.8411	0.949031	0.00755258	0.00010422	2.37983e-05	0.000290816	2.59539e-05	8.60317e-05	0.042357	0.00190137	8.90657e-05	0.14952	0.42847	0.189014	0.0172663	0.234103	0.118906	0.00161199	18.8418	0.00905432	0.959574	0.910665	7.09745	0.0859876	0.00204464	8.84247e-05
8	688.555	12.9652	3.22437	15.0858	4.35212	6.53766	0.0104891	140.31	23.7799	7.87291	1.85822	0.221773	0.711157	0.774663	0.0652222	17.1499	5.15174	0.0584538	0.523362	7.14924	9.73783	30.3292	0.719235	39.9261	0.0771295	0.229773	0.15296	0.0544564	0.324431	0.121265	0.032693	17.1499	30.3292	0.719235	39.9261	0.973767	0.0036951	3.38701e-05	3.15175e-05	4.41715e-05	1.84373e-05	5.67278e-05	0.0217541	0.00155109	0.000151888	0.0652222	0.852505	0.489728	0.0509568	0.303581	0.113472	0.00338837	11.1265	0.0278709	0.775994	0.755637	5.18939	0.138322	0.00174216	0.000149841
9	1558.71	17.1456	2.48313	9.65075	2.82456	6.0754	0.00474022	120.535	19.7251	7.62325	2.32518	0.306192	0.407548	0.600224	0.127116	20.5434	3.8443	0.220506	0.158886	4.20901	7.2926	24.0457	0.914633	35.2244	0.058324	0.354037	0.164598	0.0222634	0.1791	0.171933	0.042351	20.5434	24.0457	0.914633	35.2244	0.940618	0.00567181	0.000150923	2.79468e-05	0.000282541	2.83591e-05	6.47125e-05	0.0537292	0.00174392	0.000180844	0.127116	0.634557	0.15661	0.0219445	0.176535	0.169471	0.00447437	8.93162	0.0268741	1.08521	1.02077	6.9496	0.17476	0.00196358	0.000178761
10	898.423	20.0966	2.6243	11.8339	4.23731	7.56609	0.00591606	137.207	31.6748	7.73746	2.40934	0.155017	0.829404	0.761719	0.157713	18.1505	4.80512	0.0626407	0.174313	5.1063	3.67557	39.8125	0.681329	21.6353	0.0497597	0.235999	0.132169	0.0689939	0.267144	0.0988989	0.0293099	18.1505	39.8125	0.681329	21.6353	0.976269	0.0040936	0.000141474	2.55385e-05	0.000176121	1.85877e-05	0.000111683	0.0181959	0.00230978	9.79549e-05	0.157713	0.890746	0.155443	0.0615251	0.238224	0.0881928	0.0020807	8.65753	0.0261077	0.985543	0.962155	9.65031	0.143341	0.00246406	9.71018e-05
11	1229.24	11.8239	2.68797	13.9501	4.00928	7.84416	0.00582296	174.02	36.3947	4.22886	1.13814	0.320905	0.44341	0.883548	0.141993	19.1989	4.50299	0.182172	0.396975	3.34638	6.20268	27.1165	0.766985	44.9264	0.0845745	0.249421	0.127483	0.0629134	0.527187	0.102318	0.0245641	19.1989	27.1165	0.766985	44.9264	0.967557	0.00511175	8.18767e-05	2.95972e-05	0.0001374	1.76291e-05	0.000101516	0.0267047	0.00210677	0.000122079	0.141993	0.700756	0.27591	0.0437267	0.366412	0.0711141	0.0018098	11.1611	0.0172134	0.812525	0.786164	8.06201	0.117731	0.00230977	0.000120898
12	1410.71	8.67487	2.53749	11.2463	3.85687	5.54349	0.00325719	154.862	24.9759	6.92318	1.23856	0.311947	0.808643	0.628779	0.213921	21.1409	4.38823	0.349927	0.24184	4.46563	5.54716	28.5199	0.96092	40.256	0.115276	0.259278	0.180392	0.0505325	0.349303	0.29972	0.0407016	21.1409	28.5199	0.96092	40.256	0.941083	0.00272505	0.000109215	2.85674e-05	0.000137138	1.33793e-05	5.87063e-05	0.0562205	0.00174934	0.000136342	0.213921	0.582958	0.212174	0.0443339	0.306456	0.262954	0.00220595	10.9008	0.0237273	0.906746	0.853322	6.66255	0.0842839	0.00191643	0.000135599
13	756.529	8.36467	2.65209	14.9356	3.60548	7.23017	0.00663683	105.832	30.4435	11.5347	1.32909	0.22686	0.206354	0.782849	0.192177	19.4261	4.28021	0.152906	0.249627	11.5301	7.51449	31.1906	0.681954	38.9916	0.11955	0.277356	0.138309	0.0108279	0.455388	0.163383	0.0245594	19.4261	31.1906	0.681954	38.9916	0.972346	0.00532868	0.000147483	4.62894e-05	0.000265895	2.13747e-05	8.08413e-05	0.0209392	0.00191917	0.000117474	0.192177	0.777094	0.240079	0.0104137	0.437969	0.157134	0.0041115	11.0983	0.0190849	1.08227	1.05234	7.46306	0.195031	0.00208678	0.000115041
14	735.366	15.6865	3.64989	9.08307	4.19997	5.26837	0.00352507	151.751	33.0536	9.55213	1.00858	0.337662	0.0733823	0.764111	0.18476	15.0645	3.927	0.263051	0.645375	12.7185	7.80624	31.6461	0.603283	51.3362	0.0637491	0.238097	0.189812	0.00388801	0.501794	0.233882	0.076273	15.0645	31.6461	0.603283	51.3362	0.955783	0.00368396	3.94732e-05	4.28943e-05	5.92281e-05	1.76101e-05	4.39449e-05	0.0392137	0.00220264	9.16029e-05	0.18476	0.641328	0.535215	0.00322436	0.416142	0.193961	0.0018118	6.14543	0.048916	0.723796	0.691792	4.74866	0.0568978	0.0023353	9.09192e-05
15	1409.77	15.4726	3.22015	17.1459	4.42669	8.23691	0.00416235	161.763	26.5702	4.92435	1.51507	0.109222	0.570688	0.741377	0.0699862	18.9072	3.44744	0.277551	0.182736	3.52977	1.25356	23.6142	0.847663	39.451	0.0646304	0.225902	0.121405	0.0765347	0.435889	0.1707	0.0228009	18.9072	23.6142	0.847663	39.451	0.963584	0.003476	5.52829e-05	9.47012e-06	8.18486e-05	4.50674e-06	6.61082e-05	0.0331093	0.00176577	0.000106568	0.0699862	0.478005	0.151774	0.0635671	0.362034	0.141778	0.00127479	14.7167	0.0108989	0.735531	0.708747	4.65108	0.0539155	0.0019192	0.000106468
16	1414.93	8.47881	3.35269	13.5802	3.44797	7.82317	0.00344464	150.183	26.7217	8.75047	2.21608	0.142947	0.476159	0.879908	0.0558993	18.2296	3.93145	0.2043	0.194151	3.33024	7.3194	31.7305	0.739605	26.7717	0.117941	0.290026	0.127825	0.0410361	0.340298	0.0541912	0.0315576	18.2296	31.7305	0.739605	26.7717	0.952447	0.00227854	7.94719e-05	1.60779e-05	0.000154434	1.39134e-05	7.93207e-05	0.0451236	0.00196611	0.000108638	0.0558993	0.554747	0.171291	0.0362044	0.30023	0.0478106	0.00134559	10.2417	0.0175065	0.905835	0.86276	6.26729	0.068742	0.00213512	0.000107831
17	658.626	12.7596	3.3207	10.7295	3.50758	7.61195	0.00431551	148.185	36.3166	4.11135	2.54336	0.437932	0.433232	0.752559	0.143897	18.3562	4.32946	0.262871	0.190365	6.84325	7.04825	38.4141	0.66816	16.1181	0.0783724	0.285097	0.131372	0.0445723	0.166311	0.097289	0.0406588	18.3562	38.4141	0.66816	16.1181	0.970514	0.0027368	0.000105074	1.90892e-05	0.000188626	2.59265e-05	7.89357e-05	0.0253006	0.00199326	9.297e-05	0.143897	0.600726	0.156673	0.0366837	0.136876	0.0800702	0.00203484	7.68136	0.0244248	0.941479	0.913719	6.78988	0.0998048	0.00211721	9.18224e-05
18	1736.49	11.2168	2.56336	12.6895	3.10082	5.40391	0.00427655	153.237	32.9469	8.035	1.97389	0.173453	0.346292	0.749088	0.0369392	16.9246	3.71198	0.116461	0.516475	13.0223	12.4704	21.2795	0.910972	31.8904	0.089152	0.322495	0.185051	0.0266844	0.313673	0.127115	0.0373815	16.9246	21.2795	0.910972	31.8904	0.954418	0.00509085	4.64884e-05	3.32802e-05	8.3822e-05	3.17058e-05	5.83735e-05	0.040737	0.00216904	0.000114734	0.0369392	0.681033	0.425355	0.0219766	0.258333	0.104689	0.00220186	11.6015	0.0254581	0.819805	0.782436	6.69244	0.0912758	0.00231478	0.000112946
19	1711.13	13.3674	3.77512	16.1413	5.10057	9.95863	0.00541531	133.131	30.577	9.41632	1.7524	0.145123	0.169669	0.804385	0.0616297	17.4071	5.28607	0.283074	0.437861	3.24979	8.73918	37.7841	0.973856	35.7554	0.0748089	0.196057	0.100415	0.0123905	0.392405	0.111627	0.0234851	17.4071	37.7841	0.973856	35.7554	0.954137	0.0129889	8.27269e-05	5.32098e-05	0.000158898	2.31274e-05	0.000100352	0.0327299	0.00235529	0.000113256	0.0616297	0.454382	0.3986	0.0112795	0.35722	0.101618	0.0014872	15.7453	0.0106712	0.90468	0.863188	6.30798	0.0932103	0.00256301	0.000111931
20	375.557	7.07617	3.65669	9.40673	3.16708	12.3701	0.0126899	143.534	32.322	4.4347	1.43107	0.0292203	0.370816	0.712388	0.0744231	20.881	6.03881	0.107694	0.575456	5.24582	4.45759	37.5946	0.872836	32.8989	0.141319	0.315748	0.0808401	0.0578271	0.483255	0.200977	0.0314251	20.881	37.5946	0.872836	32.8989	0.985174	0.00273609	2.92642e-05	2.82431e-05	8.67656e-05	1.56072e-05	0.000148149	0.0102305	0.00203798	0.000115558	0.0744231	0.755944	0.498658	0.0501097	0.418762	0.174155	0.00193067	8.29956	0.0237556	0.754832	0.743641	7.14138	0.184724	0.00227766	0.000114251
21	2306.06	9.7923	2.95903	8.68839	2.92667	9.08395	0.00233613	164.598	32.6463	11.0131	1.02538	0.397495	0.425941	0.702749	0.128106	20.6895	5.10512	0.315685	0.236357	5.94432	5.44722	38.8519	0.817733	19.3226	0.102121	0.341685	0.110084	0.0163757	0.41293	0.289894	0.0374917	20.6895	38.8519	0.817733	19.3226	0.925795	0.00524703	0.000146545	3.17099e-05	0.000446106	2.03684e-05	0.000107464	0.0699344	0.00185378	0.000112876	0.128106	0.522725	0.181937	0.0126053	0.317855	0.223147	0.00136353	7.30765	0.0195978	0.954916	0.884057	7.75917	0.0902808	0.00204043	0.000112068
22	643.944	15.797	2.77182	17.8157	4.17122	5.53624	0.00796186	134.966	26.9576	5.23492	1.08964	0.384491	0.975713	0.681855	0.16342	17.1293	3.54065	0.14517	0.0600084	6.70864	12.5928	24.9924	0.591044	36.0844	0.0633032	0.239738	0.180628	0.0782237	0.385162	0.291973	0.0281026	17.1293	24.9924	0.591044	36.0844	0.977021	0.00122498	0.000120973	7.03615e-06	0.000119187	2.72145e-06	5.35485e-05	0.0206696	0.00165832	0.000154361	0.16342	0.768768	0.0557057	0.0726149	0.357545	0.271038	0.00488345	11.7205	0.0216044	0.94419	0.922494	6.36338	0.171512	0.00180678	0.000150924
23	2954.4	19.6145	2.50404	12.0126	3.89907	7.25655	0.00344537	135.596	25.3126	6.23367	1.33627	0.186161	0.273107	0.804018	0.0965211	18.4781	3.98419	0.158686	0.158352	2.14658	12.2192	23.2999	0.800074	46.8386	0.0509827	0.256471	0.137807	0.0286677	0.489677	0.146663	0.0287259	18.4781	23.2999	0.800074	46.8386	0.943364	0.00605537	0.000149175	2.56504e-05	0.000239353	1.11037e-05	8.25751e-05	0.0524976	0.00217807	0.000131608	0.0965211	0.690039	0.148402	0.0268664	0.458909	0.137448	0.00190152	9.84278	0.019822	1.00897	0.951825	7.23352	0.0960802	0.00237843	0.000129673
