"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,1.77265099999999e-08
7,"CumDeath",0,0,0,0,0,0,1.06231e-08,6.75834949999998e-08,1.55831925e-07
8,"CumDeath",0,0,0,0,0,1.3352175e-08,1.541102e-07,2.8512865e-07,4.355184e-07
9,"CumDeath",0,0,0,0,8.183615e-09,1.816275e-07,4.953996e-07,6.49485599999998e-07,8.061393e-07
10,"CumDeath",0,0,0,3.4086075e-09,1.433665e-07,5.1728275e-07,9.734727e-07,1.2366215e-06,1.462654e-06
11,"CumDeath",0,0,1.677758e-09,8.33861e-08,4.28727e-07,9.741565e-07,1.51783e-06,1.885355e-06,2.179911e-06
12,"CumDeath",2.0296775e-10,8.974241e-09,4.209573e-08,2.0705425e-07,8.138605e-07,1.6166825e-06,2.211516e-06,2.648224e-06,3.10422925e-06
13,"CumDeath",3.370208e-08,6.250409e-08,1.289754e-07,3.6694625e-07,1.33703e-06,2.3401275e-06,3.058468e-06,3.430762e-06,4.07483175e-06
14,"CumDeath",1.0758645e-07,1.7248205e-07,2.648051e-07,5.9702925e-07,1.853465e-06,3.0856175e-06,4.034757e-06,4.39953249999999e-06,5.0374665e-06
15,"CumDeath",2.50895225e-07,3.5237855e-07,4.630225e-07,8.97375e-07,2.53265e-06,3.8953525e-06,5.048478e-06,5.4765515e-06,6.1099575e-06
16,"CumDeath",4.536217e-07,5.6760335e-07,7.74332e-07,1.2757525e-06,3.268125e-06,4.83854e-06,6.249379e-06,6.9882965e-06,7.3573645e-06
17,"CumDeath",7.40659025e-07,9.0457055e-07,1.175875e-06,1.74997e-06,4.06738e-06,5.93447e-06,7.634405e-06,8.3828155e-06,9.0119635e-06
18,"CumDeath",1.09853e-06,1.334258e-06,1.67419e-06,2.3881725e-06,5.01405e-06,7.1740475e-06,9.142757e-06,1.000792e-05,1.0675565e-05
19,"CumDeath",1.5761445e-06,1.8774565e-06,2.274688e-06,3.107235e-06,6.12573e-06,8.59666e-06,1.086159e-05,1.184206e-05,1.2794505e-05
20,"CumDeath",2.176418e-06,2.5292145e-06,3.015952e-06,3.95541e-06,7.478285e-06,1.0212e-05,1.278703e-05,1.3896115e-05,1.507379e-05
21,"CumDeath",2.9218515e-06,3.336866e-06,3.878869e-06,4.95422e-06,9.01704e-06,1.20987e-05,1.509042e-05,1.622774e-05,1.736304e-05
22,"CumDeath",3.7769155e-06,4.2708565e-06,4.882268e-06,6.0516375e-06,1.079095e-05,1.4211475e-05,1.755296e-05,1.8926035e-05,2.00642275e-05
23,"CumDeath",4.786764e-06,5.352218e-06,5.98268e-06,7.311165e-06,1.28277e-05,1.6699275e-05,2.032127e-05,2.2028845e-05,2.32288825e-05
24,"CumDeath",5.96078725e-06,6.5880505e-06,7.232238e-06,8.7379425e-06,1.497095e-05,1.9451775e-05,2.350139e-05,2.5370465e-05,2.681177e-05
25,"CumDeath",7.28868825e-06,7.8865815e-06,8.610302e-06,1.0181275e-05,1.75809e-05,2.230195e-05,2.691851e-05,2.9063035e-05,3.05308825e-05
26,"CumDeath",8.70074225e-06,9.349682e-06,1.005791e-05,1.1815375e-05,2.037345e-05,2.5604625e-05,3.083961e-05,3.320673e-05,3.45232675e-05
27,"CumDeath",1.024246e-05,1.0931215e-05,1.16436e-05,1.3591875e-05,2.33573e-05,2.92433e-05,3.487779e-05,3.773734e-05,3.914087e-05
28,"CumDeath",1.1940985e-05,1.2636845e-05,1.340344e-05,1.5441675e-05,2.66124e-05,3.3038375e-05,3.92067e-05,4.241592e-05,4.42430725e-05
29,"CumDeath",1.3820635e-05,1.445554e-05,1.521799e-05,1.73983e-05,2.973635e-05,3.71863e-05,4.411112e-05,4.7336245e-05,4.95706675e-05
30,"CumDeath",1.5730345e-05,1.6386395e-05,1.717242e-05,1.943115e-05,3.33658e-05,4.1575225e-05,4.934014e-05,5.243364e-05,5.53119075e-05
31,"CumDeath",1.7814875e-05,1.8408455e-05,1.918897e-05,2.16544e-05,3.73434e-05,4.632965e-05,5.433537e-05,5.721661e-05,6.12114575e-05
32,"CumDeath",1.98057075e-05,2.0451905e-05,2.119746e-05,2.3861875e-05,4.11156e-05,5.1125625e-05,5.951682e-05,6.278158e-05,6.7069185e-05
33,"CumDeath",2.1877725e-05,2.2546785e-05,2.327153e-05,2.6103025e-05,4.481575e-05,5.560385e-05,6.484321e-05,6.858003e-05,7.2571195e-05
34,"CumDeath",2.41222375e-05,2.4636725e-05,2.55131e-05,2.8427025e-05,4.834425e-05,6.0260975e-05,7.021463e-05,7.402411e-05,7.81031925e-05
35,"CumDeath",2.62616975e-05,2.683969e-05,2.767806e-05,3.05871e-05,5.209795e-05,6.5038475e-05,7.523272e-05,7.90585e-05,8.3927485e-05
36,"CumDeath",2.8376645e-05,2.9022155e-05,2.993374e-05,3.29066e-05,5.59069e-05,6.9694175e-05,8.01256e-05,8.470792e-05,8.96792175e-05
37,"CumDeath",3.0640125e-05,3.126826e-05,3.219903e-05,3.5331575e-05,5.971185e-05,7.4077425e-05,8.505682e-05,9.0019005e-05,9.5705135e-05
38,"CumDeath",3.297889e-05,3.350651e-05,3.45052e-05,3.76395e-05,6.34607e-05,7.839725e-05,8.97332e-05,9.5423145e-05,0.00010166445
39,"CumDeath",3.514612e-05,3.568991e-05,3.675282e-05,3.99276e-05,6.71162e-05,8.2864925e-05,9.421505e-05,0.0001004923,0.000107508725
40,"CumDeath",3.717628e-05,3.7971265e-05,3.911617e-05,4.2360325e-05,7.0626e-05,8.709295e-05,9.853882e-05,0.00010512615,0.000113193225
41,"CumDeath",3.92031025e-05,4.0120795e-05,4.140565e-05,4.4643175e-05,7.388095e-05,9.099605e-05,0.0001027488,0.0001101804,0.0001185826
42,"CumDeath",4.12416625e-05,4.2311095e-05,4.360525e-05,4.6913475e-05,7.691515e-05,9.500425e-05,0.0001071861,0.0001147285,0.000123224625
43,"CumDeath",4.33341225e-05,4.444828e-05,4.57018e-05,4.9209275e-05,7.986475e-05,9.8783675e-05,0.0001111395,0.0001189869,0.000127666175
44,"CumDeath",4.5494165e-05,4.6636985e-05,4.794104e-05,5.1431375e-05,8.29489e-05,0.00010245,0.0001154949,0.0001230769,0.00013220195
45,"CumDeath",4.74965625e-05,4.8732335e-05,5.014664e-05,5.3614025e-05,8.5986e-05,0.00010607425,0.0001196447,0.000127084,0.00013651705
46,"CumDeath",4.94687075e-05,5.0789455e-05,5.229988e-05,5.575935e-05,8.872625e-05,0.0001094615,0.0001235337,0.00013099585,0.000140574325
47,"CumDeath",5.14952325e-05,5.286853e-05,5.434827e-05,5.79197e-05,9.1367e-05,0.0001126675,0.0001267627,0.00013472045,0.00014417705
48,"CumDeath",5.35130025e-05,5.4932275e-05,5.647775e-05,6.00737e-05,9.40093e-05,0.00011583375,0.0001303214,0.0001382685,0.0001477908
49,"CumDeath",5.54857875e-05,5.6959255e-05,5.843354e-05,6.2181575e-05,9.646225e-05,0.00011895575,0.0001336893,0.00014164295,0.00015139915
50,"CumDeath",5.74109775e-05,5.88383e-05,6.040106e-05,6.42224e-05,9.8929e-05,0.00012202175,0.0001368353,0.00014485765,0.00015484335
51,"CumDeath",5.93184425e-05,6.072668e-05,6.235769e-05,6.6238525e-05,0.0001013245,0.0001248475,0.0001400797,0.0001479156,0.00015799235
52,"CumDeath",6.11794675e-05,6.264138e-05,6.43176e-05,6.82567e-05,0.000103452,0.000127462,0.0001431525,0.0001508334,0.000160891275
53,"CumDeath",6.308311e-05,6.4419575e-05,6.615923e-05,7.01558e-05,0.000105504,0.00012987625,0.0001459006,0.0001536131,0.00016365665
54,"CumDeath",6.4918635e-05,6.6125785e-05,6.801894e-05,7.20616e-05,0.0001075595,0.00013223725,0.0001484841,0.0001562688,0.00016630015
55,"CumDeath",6.66897725e-05,6.7909445e-05,6.984288e-05,7.38721e-05,0.000109555,0.00013446925,0.0001511433,0.0001588043,0.000168827075
56,"CumDeath",6.8488685e-05,6.96112e-05,7.162778e-05,7.5654925e-05,0.000111492,0.0001366155,0.0001537119,0.0001612296,0.00017124565
57,"CumDeath",7.020771e-05,7.128674e-05,7.337413e-05,7.7435925e-05,0.0001133735,0.00013868175,0.0001561821,0.00016355345,0.0001735624
58,"CumDeath",7.185882e-05,7.2834465e-05,7.509615e-05,7.9199675e-05,0.0001152285,0.000140669,0.0001584412,0.0001657758,0.00017578585
59,"CumDeath",7.347695e-05,7.436014e-05,7.683617e-05,8.0941475e-05,0.000117042,0.000142586,0.0001605576,0.00016794075,0.000177920575
