Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	207.209	12.9032	4.19184	8.66326	3.64276	6.13565	0.00840591	132.692	13.6985	9.8075	2.30923	0.737936	0.72847	0.224321	20.9762	5.18094	0.371645	0.245476	4.11997	13.3391	38.435	1.10528	65.8951	0.0775002	0.274517	0.162982	0.0548115	0.31546	0.117585	0.0788611	20.9762	38.435	1.10528	65.8951	0.955453	0.0141785	0.000807449	0.000260246	0.00084254	0.000149942	0.000434832	0.0255581	0.00227887	0.000151687	0.224321	0.573791	0.244137	0.0545125	0.313739	0.116943	0.00381737	9.37073	0.0452498	1.47362	1.40798	84.3073	1e-15	0.00119592	0
1	49.6841	14.8362	3.93805	14.3735	3.01299	5.24488	0.00801955	116.189	13.8697	9.25771	1.83784	0.486159	0.754893	0.230195	20.842	6.34402	0.1811	0.364111	5.27221	13.8854	30.647	0.833084	69.9106	0.0674027	0.331896	0.190662	0.0396424	0.41075	0.133367	0.0522376	20.842	30.647	0.833084	69.9106	0.960239	0.0215908	0.000464036	0.00026479	0.000565259	0.000150181	0.000353005	0.0138162	0.00249399	9.08328e-05	0.230195	0.766435	0.363464	0.039572	0.41002	0.13313	0.00406912	12.5266	0.0400367	1.38658	1.33145	142.363	1.39148	0.00283231	7.58857e-05
2	93.3247	15.4714	3.25077	19.3962	3.09689	7.32659	0.00993129	99.2816	11.1257	9.03486	1.76408	0.493462	0.686029	0.341589	20.4635	3.8208	0.0969149	0.331161	1.1152	10.0267	29.5555	0.949401	73.8271	0.0646354	0.322905	0.136489	0.0374692	0.388888	0.17798	0.0228753	20.4635	29.5555	0.949401	73.8271	0.945946	0.0423296	0.000528589	0.000261677	0.000787592	0.000138789	0.000454336	0.00717988	0.0023493	7.605e-05	0.341589	0.901134	0.331134	0.0374662	0.388856	0.177965	0.00375182	18.75	0.0206138	1.48614	1.40581	147.021	1.95873	0.00284591	6.22394e-05
3	732.85	10.4505	3.34484	16.8137	3.83214	7.2134	0.00603615	121.446	12.7684	9.3268	1.30774	0.485018	0.617749	0.169735	20.0549	4.25571	0.0358034	0.350076	3.81137	12.6559	36.6778	0.806974	60.5218	0.0956892	0.260951	0.138631	0.0321246	0.472379	0.292299	0.0275786	20.0549	36.6778	0.806974	60.5218	0.949142	0.0244059	0.000526556	0.0002827	0.000680452	9.28615e-05	0.000378996	0.0224591	0.00234977	9.06771e-05	0.169735	0.938476	0.349532	0.0320746	0.471645	0.291845	0.00251967	14.1191	0.0258818	1.39245	1.32163	113.19	1.12899	0.00274117	8.07675e-05
4	101.629	10.0414	4.01517	9.88551	2.9926	5.12746	0.00734261	124.508	11.5472	8.73663	1.76551	0.638813	0.830173	0.281136	20.7934	6.3744	0.516745	0.166234	3.67239	13.4758	35.4609	1.06678	56.3414	0.0995877	0.334158	0.195028	0.0607014	0.470217	0.0961915	0.0792141	20.7934	35.4609	1.06678	56.3414	0.956812	0.0110864	0.00091198	0.000181539	0.0010149	9.94029e-05	0.000442414	0.0267538	0.00260633	0.000147772	0.281136	0.519075	0.166064	0.0606393	0.469736	0.0960931	0.00436175	10.3601	0.0411181	1.38948	1.32947	177.261	1.85579	0.00298876	0.000128373
5	320.625	10.4655	3.2845	17.1009	2.53715	5.15597	0.00613257	126.392	12.1535	6.75484	1.67282	0.318824	0.933796	0.359141	20.7151	4.55462	0.637946	0.108587	3.8143	13.8984	34.6668	1.1837	62.1242	0.0955521	0.394143	0.19395	0.0440746	0.558217	0.0395763	0.0372512	20.7151	34.6668	1.1837	62.1242	0.938611	0.0182495	0.000942455	0.000114538	0.00132477	7.06581e-05	0.000403787	0.0377676	0.00252634	0.000168347	0.359141	0.520335	0.108404	0.0440004	0.557277	0.0395097	0.0045753	19.1141	0.0193831	1.38822	1.303	159.322	1.77991	0.00289394	0.000149149
6	271.619	18.3958	4.05531	14.636	3.55423	5.78228	0.00562774	128.318	13.9182	10.5413	1.67353	0.245383	0.750797	0.173967	20.7907	6.67316	0.18194	0.336477	4.62591	13.5954	34.7409	0.733051	67.2135	0.0543602	0.281355	0.172942	0.0174772	0.448631	0.148909	0.0479184	20.7907	34.7409	0.733051	67.2135	0.932508	0.0277183	0.000553929	0.000278533	0.000701613	0.000125066	0.000325365	0.0355555	0.00227848	0.000107054	0.173967	0.727462	0.33502	0.0174015	0.446688	0.148264	0.0031734	11.4086	0.0348589	1.38937	1.2956	118.972	1.1543	0.00265845	9.57968e-05
7	552.752	8.80517	4.10635	12.9434	6.20677	5.58669	0.00767566	116.644	9.83919	10.3846	1.85923	0.527919	0.798431	0.131217	20.2142	4.39388	0.199926	0.281366	2.38266	13.4098	30.8169	0.95182	64.9232	0.11357	0.161114	0.178997	0.0405896	0.429442	0.108415	0.0567875	20.2142	30.8169	0.95182	64.9232	0.956635	0.0146533	0.00112421	0.000439987	0.000698531	0.000122785	0.000363604	0.0238037	0.00235727	0.000109726	0.131217	0.66629	0.281327	0.040584	0.429382	0.1084	0.00392803	12.4016	0.037837	1.53579	1.46919	140.61	1.4861	0.00276497	9.49393e-05
8	736.265	12.1494	3.64045	9.21157	5.58949	5.33665	0.0051461	116.723	12.412	9.4719	2.53282	0.20834	0.736645	0.252419	21.0384	4.18682	0.511163	0.182865	4.73711	13.3632	28.7156	1.2142	69.7016	0.0823086	0.178907	0.187383	0.0162029	0.29084	0.103977	0.0740547	21.0384	28.7156	1.2142	69.7016	0.935182	0.0232581	0.00222347	0.000496738	0.00162742	0.000204239	0.000366401	0.0346421	0.00229977	0.000110678	0.252419	0.494751	0.182704	0.0161886	0.290583	0.103885	0.00495946	10.6866	0.0366387	1.57196	1.47007	145.201	1.84525	0.00266356	9.21133e-05
9	44.3164	10.4906	3.2685	12.0163	4.06794	5.53584	0.00925492	86.535	4.70352	8.25524	2.09997	0.728817	0.634151	0.57555	20.5976	5.47855	0.773044	0.12082	6.53337	13.233	32.585	0.905033	73.0144	0.0953234	0.245825	0.180641	0.0559863	0.301981	0.174216	0.0491354	20.5976	32.585	0.905033	73.0144	0.976318	0.00966078	0.00109433	0.000150386	0.000978562	7.18781e-05	0.000339612	0.0086717	0.00264726	9.25752e-05	0.57555	0.65243	0.12082	0.0559863	0.301981	0.174216	0.00607099	11.5319	0.0320574	1.37355	1.34102	115.22	2.21951	0.00276303	7.1215e-05
10	182.565	14.5359	4.44791	12.6537	3.46541	6.16135	0.0101325	128.884	12.3948	8.02339	1.28478	0.568435	0.775872	0.169178	19.3294	4.23952	0.184633	0.222209	4.78568	13.6905	39.8699	0.718173	59.1882	0.0687952	0.288566	0.162302	0.0549684	0.603895	0.174449	0.0570509	19.3294	39.8699	0.718173	59.1882	0.959859	0.0133625	0.000680659	0.000193691	0.000756381	6.82519e-05	0.000392815	0.0225667	0.0020585	0.00016306	0.169178	0.720322	0.221692	0.0548404	0.602489	0.174042	0.00458804	9.69086	0.041095	1.42744	1.37014	134.273	1.75966	0.00243524	0.000144509
11	784.446	7.94106	3.72041	16.5484	5.06894	6.299	0.00734649	119.93	12.6261	11.8199	1.17218	0.206624	0.791317	0.197848	21.1241	4.10208	0.319892	0.287617	3.37246	13.4058	35.8609	1.10985	64.8817	0.125928	0.19728	0.158755	0.013833	0.675081	0.17803	0.0356914	21.1241	35.8609	1.10985	64.8817	0.936719	0.0281933	0.00106494	0.000428802	0.000986886	9.48492e-05	0.000380499	0.0302861	0.00215923	0.000124461	0.197848	0.595528	0.287248	0.0138153	0.674216	0.177802	0.00421018	18.0066	0.0212552	1.58077	1.48073	135.919	1.63524	0.00262129	0.000107994
12	595.294	7.23837	3.40054	10.3057	3.17673	8.30094	0.00927956	117.181	12.8871	10.3898	2.42468	0.32755	0.776805	0.242005	19.3619	3.83859	0.255793	0.359194	7.09944	9.92069	41.6949	1.24633	54.2689	0.138153	0.314789	0.120468	0.0244896	0.320374	0.0920513	0.0397505	19.3619	41.6949	1.24633	54.2689	0.959653	0.0202397	0.000517462	0.00028937	0.000880529	0.000201652	0.000523976	0.0156843	0.00224626	9.61774e-05	0.242005	0.695643	0.358768	0.0244606	0.319995	0.0919422	0.00296022	12.2299	0.0276522	1.49628	1.43591	144.593	1.84179	0.00273351	8.3546e-05
13	764.412	19.7883	2.98963	10.3264	4.71235	6.15204	0.00800535	109.457	8.98076	10.3826	1.79159	0.613671	0.663925	0.228333	20.8167	4.86312	0.22528	0.189139	2.03667	12.8099	24.8396	1.12318	73.1216	0.0505349	0.212208	0.162548	0.0392418	0.370579	0.187585	0.0470597	20.8167	24.8396	1.12318	73.1216	0.951771	0.023087	0.00126537	0.00029514	0.00109534	0.000104188	0.000386466	0.0199844	0.0023214	0.000116444	0.228333	0.716966	0.189134	0.0392407	0.370569	0.18758	0.00472752	11.308	0.0337402	1.53315	1.45921	139.688	1.85207	0.00274054	9.8584e-05
14	458.972	18.6483	4.03608	13.745	4.40224	6.49211	0.00692032	116.742	12.2626	8.60078	2.38452	0.244714	0.710794	0.201958	20.2709	4.97944	0.343304	0.331513	3.95753	13.2814	35.2553	1.18285	65.4752	0.0536242	0.227157	0.154033	0.0202239	0.298087	0.121285	0.0452303	20.2709	35.2553	1.18285	65.4752	0.925112	0.044738	0.000861376	0.000426427	0.000905939	0.000210453	0.000404549	0.0252015	0.00229547	0.000100889	0.201958	0.577422	0.331244	0.0202075	0.297845	0.121186	0.00348256	15.7507	0.026117	1.57885	1.46061	140.094	1.40662	0.00273419	8.66789e-05
15	272.582	10.1566	4.35417	15.5411	3.50646	7.4752	0.00564021	122.246	13.1924	9.88422	1.40852	0.474872	0.682316	0.202714	20.7277	5.23616	0.382681	0.127876	5.77608	13.7462	30.6514	0.869985	65.624	0.0984581	0.285188	0.133776	0.0327808	0.484421	0.225545	0.0374801	20.7277	30.6514	0.869985	65.624	0.949972	0.0198329	0.00120369	0.000175956	0.00166235	6.7076e-05	0.000488694	0.024386	0.00225881	0.00010435	0.202714	0.542947	0.127616	0.0327142	0.483437	0.225086	0.00298405	13.9301	0.0203497	1.48536	1.41105	135.287	1.47275	0.002572	8.90557e-05
16	1988.67	10.7035	3.42299	10.8251	5.76661	6.34557	0.00733723	129.839	13.9273	10.0071	1.80993	0.434218	0.642021	0.151175	17.8723	6.10387	0.085558	0.388365	8.51599	12.5175	43.2621	1.08384	66.6454	0.0934274	0.173412	0.15759	0.0278579	0.354721	0.197786	0.0498314	17.8723	43.2621	1.08384	66.6454	0.935881	0.0237428	0.00105869	0.00066433	0.000806429	0.000194489	0.000443961	0.0358666	0.00230868	0.000142938	0.151175	0.850742	0.386483	0.0277229	0.353003	0.196828	0.00347673	11.5955	0.0423937	1.62746	1.52311	150.807	1.57592	0.00273633	0.000128108
