"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,0
8,"CumDeath",0,0,0,0,0,0,0,0,7.2742117499999e-11
9,"CumDeath",0,0,0,0,0,0,0,0,1.5546805e-09
10,"CumDeath",0,0,0,0,0,0,0,1.79265899999995e-10,7.16244124999994e-09
11,"CumDeath",0,0,0,0,0,0,0,3.59503549999999e-09,1.43499175e-08
12,"CumDeath",0,0,0,0,0,0,1.56093800000001e-09,9.11001999999999e-09,3.79798374999999e-08
13,"CumDeath",0,0,0,0,0,0,9.667092e-09,3.714589e-08,6.40453699999999e-08
14,"CumDeath",0,0,0,0,0,6.9853925e-09,3.502182e-08,6.95930849999997e-08,1.1191245e-07
15,"CumDeath",3.84980575e-11,9.1602795e-11,3.031695e-10,2.5591475e-09,1.111295e-08,3.7784825e-08,9.084049e-08,1.3536035e-07,1.7838445e-07
16,"CumDeath",6.1725305e-09,9.533045e-09,1.337969e-08,2.2949725e-08,4.432195e-08,8.635725e-08,1.678128e-07,2.215311e-07,3.015851e-07
17,"CumDeath",1.36071675e-08,2.0997545e-08,2.950359e-08,4.78296e-08,8.804505e-08,1.5709325e-07,2.666849e-07,3.594276e-07,4.40817625e-07
18,"CumDeath",2.34427775e-08,3.4151195e-08,4.766813e-08,7.62541e-08,1.413025e-07,2.3979275e-07,3.919397e-07,4.98168599999999e-07,6.130748e-07
19,"CumDeath",3.676292e-08,5.3460555e-08,7.418451e-08,1.1631475e-07,2.01765e-07,3.406275e-07,5.442389e-07,6.7536255e-07,8.03334525e-07
20,"CumDeath",5.43399125e-08,7.642016e-08,1.071924e-07,1.65983e-07,2.816645e-07,4.6073025e-07,7.271251e-07,9.096106e-07,1.0371205e-06
21,"CumDeath",8.16858625e-08,1.1130295e-07,1.512764e-07,2.3262525e-07,3.87506e-07,6.1242075e-07,9.554493e-07,1.195663e-06,1.3342055e-06
22,"CumDeath",1.18235975e-07,1.5142585e-07,2.187019e-07,3.1686075e-07,5.3155e-07,8.0927025e-07,1.225632e-06,1.512588e-06,1.72701425e-06
23,"CumDeath",1.66202625e-07,2.074633e-07,2.992011e-07,4.3259475e-07,7.07794e-07,1.04982e-06,1.566087e-06,1.87036449999999e-06,2.2116665e-06
24,"CumDeath",2.24532975e-07,2.855552e-07,4.032249e-07,5.8740725e-07,9.31965e-07,1.3348075e-06,1.99407e-06,2.40574599999999e-06,2.73512575e-06
25,"CumDeath",3.1378065e-07,3.975362e-07,5.123127e-07,7.853925e-07,1.220535e-06,1.7172675e-06,2.468416e-06,3.067612e-06,3.414776e-06
26,"CumDeath",4.0883905e-07,4.9181175e-07,6.518062e-07,1.016775e-06,1.576145e-06,2.22534e-06,3.082974e-06,3.666489e-06,4.3631285e-06
27,"CumDeath",4.926167e-07,6.6368645e-07,8.537e-07,1.3638075e-06,2.025375e-06,2.85473e-06,3.868445e-06,4.5339145e-06,5.55724125e-06
28,"CumDeath",5.884196e-07,8.0222775e-07,1.04896e-06,1.764825e-06,2.645705e-06,3.5734225e-06,4.827695e-06,5.622666e-06,6.61081075e-06
29,"CumDeath",7.2053485e-07,9.4666455e-07,1.348056e-06,2.1855475e-06,3.39815e-06,4.579415e-06,6.030597e-06,6.9874785e-06,8.1095485e-06
30,"CumDeath",8.383714e-07,1.1086095e-06,1.614902e-06,2.681665e-06,4.28573e-06,5.7265475e-06,7.408155e-06,8.519503e-06,9.94795025e-06
31,"CumDeath",9.865593e-07,1.295312e-06,1.863883e-06,3.4756625e-06,5.358945e-06,7.0625925e-06,9.091935e-06,1.0242205e-05,1.18306225e-05
32,"CumDeath",1.11788925e-06,1.4994495e-06,2.135433e-06,4.152225e-06,6.60087e-06,8.6333625e-06,1.084122e-05,1.21817e-05,1.379121e-05
33,"CumDeath",1.26611775e-06,1.7608635e-06,2.447327e-06,5.0357225e-06,8.078315e-06,1.06556e-05,1.276017e-05,1.4969205e-05,1.600288e-05
34,"CumDeath",1.44316825e-06,2.035188e-06,2.813213e-06,5.970655e-06,9.659975e-06,1.300615e-05,1.54525e-05,1.7314495e-05,1.90934875e-05
35,"CumDeath",1.641527e-06,2.319155e-06,3.228427e-06,6.9961175e-06,1.14061e-05,1.5474125e-05,1.883739e-05,2.0213775e-05,2.28917225e-05
36,"CumDeath",1.85443675e-06,2.57461e-06,3.59758e-06,7.9936575e-06,1.30566e-05,1.8206625e-05,2.181914e-05,2.359104e-05,2.5654935e-05
37,"CumDeath",2.06880775e-06,2.8214495e-06,4.089652e-06,9.1240525e-06,1.523795e-05,2.11062e-05,2.512506e-05,2.758206e-05,2.92593775e-05
38,"CumDeath",2.32402875e-06,3.0887545e-06,4.498881e-06,1.05264e-05,1.70848e-05,2.412095e-05,2.920073e-05,3.1519345e-05,3.361153e-05
39,"CumDeath",2.6012735e-06,3.3927815e-06,5.065783e-06,1.1754925e-05,1.8968e-05,2.7080275e-05,3.297396e-05,3.571167e-05,3.89112975e-05
40,"CumDeath",2.90297275e-06,3.766951e-06,5.663077e-06,1.3067525e-05,2.104715e-05,3.011635e-05,3.641477e-05,4.07099e-05,4.33729575e-05
41,"CumDeath",3.24660925e-06,4.124934e-06,6.260398e-06,1.44931e-05,2.304635e-05,3.315855e-05,4.071135e-05,4.531028e-05,4.80721775e-05
42,"CumDeath",3.618032e-06,4.5257895e-06,6.888573e-06,1.5968775e-05,2.506975e-05,3.599935e-05,4.423158e-05,4.904917e-05,5.23276275e-05
43,"CumDeath",4.018301e-06,5.01239e-06,7.442331e-06,1.7470975e-05,2.703565e-05,3.914015e-05,4.816941e-05,5.3043735e-05,5.636083e-05
44,"CumDeath",4.45981675e-06,5.5165485e-06,7.931194e-06,1.8963375e-05,2.90792e-05,4.18955e-05,5.158513e-05,5.67971e-05,6.0798955e-05
45,"CumDeath",4.9189035e-06,5.961275e-06,8.451624e-06,2.0559775e-05,3.120705e-05,4.479775e-05,5.486688e-05,6.0768155e-05,6.4698815e-05
46,"CumDeath",5.39009375e-06,6.4230475e-06,9.125634e-06,2.206585e-05,3.320075e-05,4.7435025e-05,5.819375e-05,6.4619595e-05,6.85243875e-05
47,"CumDeath",5.8969705e-06,6.9015345e-06,9.836617e-06,2.371305e-05,3.520165e-05,5.0184475e-05,6.131119e-05,6.79483e-05,7.24979425e-05
48,"CumDeath",6.4303465e-06,7.3989855e-06,1.042871e-05,2.5377325e-05,3.74146e-05,5.2782725e-05,6.443268e-05,7.1410005e-05,7.6324235e-05
49,"CumDeath",6.95750425e-06,7.9457025e-06,1.104197e-05,2.683235e-05,3.93153e-05,5.5303975e-05,6.791474e-05,7.4731615e-05,7.983793e-05
50,"CumDeath",7.48709025e-06,8.50945e-06,1.166693e-05,2.82361e-05,4.134315e-05,5.771695e-05,7.073201e-05,7.7927295e-05,8.319615e-05
51,"CumDeath",8.05398e-06,9.0886605e-06,1.230029e-05,2.9595325e-05,4.338225e-05,6.022045e-05,7.411547e-05,8.098264e-05,8.6454095e-05
52,"CumDeath",8.63317625e-06,9.5972525e-06,1.289798e-05,3.10363e-05,4.54049e-05,6.25627e-05,7.712396e-05,8.3912665e-05,8.962263e-05
53,"CumDeath",9.222556e-06,1.011462e-05,1.349297e-05,3.2440675e-05,4.722695e-05,6.4761475e-05,7.985225e-05,8.673986e-05,9.2519955e-05
54,"CumDeath",9.819025e-06,1.083704e-05,1.411645e-05,3.38324e-05,4.900965e-05,6.6840525e-05,8.233969e-05,8.94628e-05,9.52398825e-05
55,"CumDeath",1.04083375e-05,1.1472265e-05,1.478922e-05,3.4887275e-05,5.07331e-05,6.877225e-05,8.472135e-05,9.2052245e-05,9.78850025e-05
56,"CumDeath",1.10009425e-05,1.2058955e-05,1.546037e-05,3.5918025e-05,5.241985e-05,7.08699e-05,8.70032e-05,9.474342e-05,0.000100513275
57,"CumDeath",1.159519e-05,1.2567485e-05,1.613661e-05,3.7078025e-05,5.405775e-05,7.2907375e-05,8.919211e-05,9.7346065e-05,0.00010301065
58,"CumDeath",1.2189575e-05,1.3075395e-05,1.678973e-05,3.831095e-05,5.56505e-05,7.47077e-05,9.128812e-05,9.9835585e-05,0.000105386625
59,"CumDeath",1.27825975e-05,1.358148e-05,1.749055e-05,3.9529725e-05,5.70317e-05,7.650095e-05,9.329671e-05,0.000102213,0.000107564825
60,"CumDeath",1.33730675e-05,1.411066e-05,1.814716e-05,4.070025e-05,5.842375e-05,7.8147725e-05,9.521944e-05,0.00010445975,0.0001095585
