"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
1300 888.15 14.7712 3.43956 13.7879 3.1741 6.43056 0.00853396 83.3012 4.8092 7.80026 1.4842 0.474702 0.372822 0.811769 0.5751 19.6876 3.13515 0.411926 0.285087 10.3595 2.90672 44.8975 0.653421 40.4046 8.51016 3.08915 -48.80729 -1041.197 -1090.004
1060 1099.69 14.4553 3.2388 11.1582 3.63078 6.31182 0.0109052 90.3886 7.76021 9.13774 1.75463 0.327031 0.679544 0.749268 0.582738 19.1873 3.68452 0.458234 0.30882 4.05866 4.41551 32.1196 0.741838 37.1069 7.32973 2.58823 -46.08544 -1043.496 -1089.581
1490 847.943 10.8183 3.77694 13.6281 2.79245 6.44668 0.00670312 136.575 28.7008 10.7981 1.8902 0.31641 0.858946 0.789437 0.334369 24.1391 6.91148 0.266516 0.246761 5.596 9.13546 26.0142 0.425213 54.5225 7.20694 3.364 -52.498 -1031.948 -1084.446
630 948.792 17.9489 3.1255 16.4621 3.38261 5.4786 0.00743991 86.7252 4.39311 10.432 1.75161 0.249344 0.563536 0.614418 0.60657 19.3195 4.63159 0.560693 0.287795 3.68562 3.54863 27.3856 0.658684 45.232 8.47344 3.0738 -46.95182 -1043.083 -1090.035
800 2200.22 17.6796 3.3446 11.508 2.99467 10.8179 0.0117919 121.647 38.6007 2.44957 1.34497 0.113531 0.421848 0.671984 0.519005 22.4258 2.79654 0.176075 0.181321 7.87751 7.86717 42.4786 0.561815 23.5148 5.87745 2.55557 -51.50259 -1055.362 -1106.865
950 1055.3 10.3494 3.10511 7.84265 3.63106 6.36347 0.00887611 91.7763 11.084 8.92716 1.75707 0.261655 0.923776 0.61175 0.565592 24.112 5.95347 0.451961 0.22582 6.33791 6.33288 28.8741 0.723916 40.0901 8.31492 3.32701 -52.14017 -1043.192 -1095.332
1730 779.696 8.49803 3.89445 15.7373 2.86054 6.91406 0.00587843 152.18 32.3714 6.61763 1.40847 0.27908 0.687707 0.818656 0.350405 23.916 6.21725 0.245673 0.219042 5.12575 8.61827 47.3379 0.454542 29.3549 7.19911 3.66044 -52.95858 -1029.516 -1082.475
1390 4208.51 8.80609 3.79132 9.54149 4.19492 7.27007 0.00590911 144.446 30.0274 5.02995 2.2266 0.108369 0.490566 0.753423 0.378077 19.3086 5.62831 0.377873 0.128401 11.1937 11.6654 43.9325 0.577521 32.1661 6.34827 3.30077 -49.60606 -1033.939 -1083.545
540 8774.39 8.79508 3.58445 14.4434 2.8617 7.049 0.00434524 178.064 29.8263 8.07018 2.95281 0.450228 0.552203 0.857257 0.309483 23.0874 5.48511 0.261091 0.404448 6.21717 13.5931 41.2131 0.736797 63.1422 7.65125 4.94011 -57.8911 -1033.603 -1091.494
1780 1441.52 12.4867 3.28034 8.06017 5.07177 7.94463 0.010587 88.6692 6.23379 5.55286 1.45269 0.293937 0.644675 0.741828 0.626266 20.2223 5.73779 0.333473 0.203462 3.07236 2.57818 35.5648 0.452236 51.7024 5.22356 2.58719 -46.07798 -1050.565 -1096.643
