iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_T50Testing(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_FAsymp(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
0	578.823	15.7613	2.09155	12.1765	4.88383	14.6073	0.0259202	121.043	24.5754	6.35849	1.94668	0.310804	0.197323	0.631742	0.495101	16.9864	3.58741	0.385282	0.0824074	4.84736	1.81091	24.6177	0.563781	52.4415	0.392007	0.243783	-4.252529e+01	-9.762357e+03	-9.804882e+03
10	2900.35	7.79284	2.71192	14.9635	3.99555	11.2257	0.0476744	114.205	13.5841	2.08626	2.85074	0.0818249	0.376527	0.703346	0.546465	20.2875	5.70852	0.4141	0.108967	8.48806	9.53478	21.5264	0.908605	38.3711	0.392007	4.00862	-5.464058e+01	-1.184873e+03	-1.239513e+03
20	3368.02	12.1994	2.75734	9.09035	2.00867	10.443	0.0172479	114.653	18.045	2.88122	2.06101	0.130287	0.376527	0.783969	0.546465	19.6334	6.35867	0.355265	0.0740061	4.84278	11.5818	29.1291	0.876259	31.0032	5.43892	2.47276	-5.576433e+01	-1.063420e+03	-1.119184e+03
30	3083.61	10.8273	2.75734	9.62941	2.09734	10.443	0.0134836	113.12	21.8142	3.27561	1.23792	0.143184	0.422929	0.719501	0.54408	21.7457	6.01352	0.336696	0.0585773	8.95977	8.39056	30.379	0.792468	27.3582	7.22036	3.25161	-5.503458e+01	-1.054274e+03	-1.109309e+03
40	3173.24	11.7522	2.77784	8.44148	2.09734	10.3747	0.0130445	115.621	20.0269	3.27909	1.23659	0.149951	0.430225	0.705161	0.54408	21.7457	6.41984	0.371292	0.0898786	10.4836	9.71037	29.2776	0.78768	30.1565	3.56151	3.53142	-5.456178e+01	-1.058214e+03	-1.112776e+03
50	2809.08	8.46098	2.82386	14.0853	2.20396	10.3747	0.0130445	113.68	22.3728	3.40731	2.40133	0.07271	0.424862	0.691502	0.551364	22.506	6.18017	0.384681	0.089677	7.23154	9.10624	31.2643	0.834291	26.316	6.2193	2.77753	-5.492503e+01	-1.050475e+03	-1.105400e+03
60	2524.79	9.85886	2.87112	9.50008	2.35679	10.0795	0.0136896	114.579	21.3221	3.40731	2.46785	0.0455678	0.444238	0.629509	0.551364	22.1495	6.22663	0.381978	0.071454	6.95333	12.0705	38.0063	0.904649	27.1008	8.12728	2.8616	-5.795152e+01	-1.050380e+03	-1.108332e+03
70	2508.55	19.6669	2.84189	11.6473	2.20657	10.0908	0.0112045	113.486	21.8531	3.39068	1.89787	0.208743	0.425124	0.749606	0.552505	23.1502	5.25724	0.324942	0.117489	8.35966	7.74153	38.1268	0.865355	26.3307	7.35143	2.5667	-5.586511e+01	-1.047064e+03	-1.102930e+03
80	2234.97	12.2765	2.84189	9.9875	2.24409	10.0908	0.0112045	107.681	20.943	3.39068	1.63154	0.264545	0.42764	0.694217	0.552505	22.6078	5.71771	0.285376	0.105832	7.55025	7.51326	40.1762	0.936966	28.1663	5.21622	3.43462	-5.661709e+01	-1.049067e+03	-1.105684e+03
90	2234.97	16.2946	2.93471	9.02531	2.48807	10.2428	0.00909667	109.836	18.0521	3.26281	1.43013	0.308487	0.366218	0.840809	0.552505	22.6446	4.9881	0.306548	0.0834194	2.69985	2.00368	37.3811	0.698146	36.8489	5.52491	2.06964	-5.179565e+01	-1.057313e+03	-1.109109e+03
